"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr","abl_model"
"BCo",1,0.01,0.025,0.9755,0.0122,0.0188,0.2866,"Optimal",21.244,53.8526,397,5,"no_abl"
"BCo",1,0.01,0.025,0.9755,0.0122,0.0209,0.2866,"Optimal",17.301,49.7734,397,5,"abl_conf"
"BCo",1,0.01,0.025,0.9755,0.0122,0.0188,0.2343,"Optimal",9.541,41.6446,397,5,"abl_supp"
"BCo",1,0.01,0.025,0.9755,0.0122,0.0188,0.2866,"Optimal",12.038,44.1659,397,5,"abl_length"
"BCo",1,0.01,0.025,0.9755,0.0122,0.0188,0.2866,"Optimal",12.376,44.0839,397,5,"abl_mod"
"BCo",1,0.999,0.025,0.9755,0.0122,0.0188,0.2866,"Optimal",10.175,42.3992,397,5,"abl_acc"
"BCo",1,0.01,0.999,0.6082,0.0122,0,0,"Optimal",1.094,32.9125,397,1,"abl_min_cov"
"BCo",1,0.01,0.025,0.9755,0.0122,0.0188,0.2866,"Optimal",40.046,71.9282,397,5,"abl_max_cov"
"BCo",1,0.01,0.025,0.9755,0.0122,0.0167,0.7218,"Optimal",1.33,32.9912,397,4,"abl_overlap"
"BCo",1,0.01,0.025,0.9755,0.0122,0.0209,0.2845,"Optimal",5.008,94.1425,1113,4,"abl_preselect"
"BCo",2,0.01,0.025,0.9755,0.0122,0.0209,0.4979,"Optimal",19.097,53.7327,427,5,"no_abl"
"BCo",2,0.01,0.025,0.9755,0.0122,0.0209,0.4979,"Optimal",14.732,49.1905,427,5,"abl_conf"
"BCo",2,0.01,0.025,0.9755,0.0122,0.0209,0.2448,"Optimal",16.032,51.0171,427,5,"abl_supp"
"BCo",2,0.01,0.025,0.9796,0.0122,0.0167,0.4938,"Optimal",19.465,54.0253,427,5,"abl_length"
"BCo",2,0.01,0.025,0.9755,0.0122,0.0209,0.4979,"Optimal",16.564,51.0963,427,5,"abl_mod"
"BCo",2,0.999,0.025,0.9755,0.0122,0.0314,0.1862,"Optimal",12.211,46.761,427,4,"abl_acc"
"BCo",2,0.01,0.999,0.6082,0.0122,0.0067,0,"Optimal",1.341,35.8331,427,1,"abl_min_cov"
"BCo",2,0.01,0.025,0.9755,0.0122,0.0209,0.4979,"Optimal",148.258,182.3571,427,5,"abl_max_cov"
"BCo",2,0.01,0.025,0.9776,0.0122,0.0209,0.7766,"Optimal",2.977,37.4239,427,4,"abl_overlap"
"BCo",2,0.01,0.025,0.9755,0.0122,0.0209,0.2887,"Optimal",10.944,103.2639,1152,4,"abl_preselect"
"BCo",3,0.01,0.025,0.9755,0.0122,0.0167,0.1736,"Optimal",3.403,35.6268,405,4,"no_abl"
"BCo",3,0.01,0.025,0.9755,0.0122,0.0167,0.1736,"Optimal",16.596,49.2054,405,4,"abl_conf"
"BCo",3,0.01,0.025,0.9755,0.0122,0.0167,0.1736,"Optimal",6.027,38.903,405,4,"abl_supp"
"BCo",3,0.01,0.025,0.9755,0.0122,0.0167,0.1736,"Optimal",19.055,51.5477,405,4,"abl_length"
"BCo",3,0.01,0.025,0.9755,0.0122,0.0167,0.1736,"Optimal",3.671,36.7164,405,4,"abl_mod"
"BCo",3,0.999,0.025,0.9755,0.0122,0.023,0.205,"Optimal",7.579,40.0193,405,4,"abl_acc"
"BCo",3,0.01,0.999,0.6122,0.0122,0.01,0,"Optimal",0.742,33.2823,405,1,"abl_min_cov"
"BCo",3,0.01,0.025,0.9755,0.0122,0.0167,0.1736,"Optimal",12.045,44.3488,405,4,"abl_max_cov"
"BCo",3,0.01,0.025,0.9755,0.0122,0.0209,0.772,"Optimal",1.834,34.44,405,4,"abl_overlap"
"BCo",3,0.01,0.025,0.9755,0.0122,0.0209,0.2594,"Optimal",22.165,110.445,1104,4,"abl_preselect"
"BCo",4,0.01,0.025,0.9755,0.0102,0.0146,0.5,"Optimal",48.045,84.8313,459,5,"no_abl"
"BCo",4,0.01,0.025,0.9755,0.0102,0.0146,0.5,"Optimal",40.26,77.5172,459,5,"abl_conf"
"BCo",4,0.01,0.025,0.9755,0.0102,0.0146,0.159,"Optimal",28.635,65.7195,459,5,"abl_supp"
"BCo",4,0.01,0.025,0.9755,0.0102,0.0146,0.5,"Optimal",24.787,61.9927,459,5,"abl_length"
"BCo",4,0.01,0.025,0.9755,0.0102,0.0146,0.5,"Optimal",27.898,65.2195,459,5,"abl_mod"
"BCo",4,0.999,0.025,0.9755,0.0102,0.0209,0.1653,"Optimal",3.659,40.7133,459,4,"abl_acc"
"BCo",4,0.01,0.999,0.602,0.0102,0,0,"Optimal",1.407,38.0328,459,1,"abl_min_cov"
"BCo",4,0.01,0.025,0.9755,0.0102,0.0146,0.5,"Optimal",146.691,182.9877,459,5,"abl_max_cov"
"BCo",4,0.01,0.025,0.9776,0.0102,0.0188,0.6973,"Optimal",1.347,38.3075,459,4,"abl_overlap"
"BCo",4,0.01,0.025,0.9755,0.0102,0.0146,0.4791,"Optimal",75.836,174.117,1235,5,"abl_preselect"
