"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","abl_model"
"BCo",1,100,1149,397,5,5,"no_abl"
"BCo",1,100,1149,397,5,5,"abl_conf"
"BCo",1,100,1149,397,5,5,"abl_supp"
"BCo",1,100,1149,397,5,5,"abl_length"
"BCo",1,100,1149,397,5,5,"abl_mod"
"BCo",1,100,1149,397,5,5,"abl_acc"
"BCo",1,100,1149,397,1,1,"abl_min_cov"
"BCo",1,100,1149,397,5,5,"abl_max_cov"
"BCo",1,100,1149,397,4,4,"abl_overlap"
"BCo",1,100,1149,1113,4,4,"abl_preselect"
"BCo",2,100,1181,427,5,5,"no_abl"
"BCo",2,100,1181,427,5,5,"abl_conf"
"BCo",2,100,1181,427,5,5,"abl_supp"
"BCo",2,100,1181,427,5,5,"abl_length"
"BCo",2,100,1181,427,5,5,"abl_mod"
"BCo",2,100,1181,427,4,4,"abl_acc"
"BCo",2,100,1181,427,1,1,"abl_min_cov"
"BCo",2,100,1181,427,5,5,"abl_max_cov"
"BCo",2,100,1181,427,4,4,"abl_overlap"
"BCo",2,100,1181,1152,4,4,"abl_preselect"
"BCo",3,100,1138,405,4,4,"no_abl"
"BCo",3,100,1138,405,4,4,"abl_conf"
"BCo",3,100,1138,405,4,4,"abl_supp"
"BCo",3,100,1138,405,4,4,"abl_length"
"BCo",3,100,1138,405,4,4,"abl_mod"
"BCo",3,100,1138,405,4,4,"abl_acc"
"BCo",3,100,1138,405,1,1,"abl_min_cov"
"BCo",3,100,1138,405,4,4,"abl_max_cov"
"BCo",3,100,1138,405,4,4,"abl_overlap"
"BCo",3,100,1138,1104,4,4,"abl_preselect"
"BCo",4,100,1269,459,5,5,"no_abl"
"BCo",4,100,1269,459,5,5,"abl_conf"
"BCo",4,100,1269,459,5,5,"abl_supp"
"BCo",4,100,1269,459,5,5,"abl_length"
"BCo",4,100,1269,459,5,5,"abl_mod"
"BCo",4,100,1269,459,4,4,"abl_acc"
"BCo",4,100,1269,459,1,1,"abl_min_cov"
"BCo",4,100,1269,459,5,5,"abl_max_cov"
"BCo",4,100,1269,459,4,4,"abl_overlap"
"BCo",4,100,1269,1235,5,4,"abl_preselect"
"BCo",5,100,1280,485,4,4,"no_abl"
"BCo",5,100,1280,485,4,4,"abl_conf"
"BCo",5,100,1280,485,4,4,"abl_supp"
"BCo",5,100,1280,485,4,4,"abl_length"
"BCo",5,100,1280,485,4,4,"abl_mod"
"BCo",5,100,1280,485,4,4,"abl_acc"
"BCo",5,100,1280,485,1,1,"abl_min_cov"
"BCo",5,100,1280,485,4,4,"abl_max_cov"
"BCo",5,100,1280,485,4,4,"abl_overlap"
"BCo",5,100,1280,1260,4,4,"abl_preselect"
"BCo",6,100,1241,464,5,5,"no_abl"
"BCo",6,100,1241,464,5,5,"abl_conf"
"BCo",6,100,1241,464,5,5,"abl_supp"
"BCo",6,100,1241,464,5,5,"abl_length"
"BCo",6,100,1241,464,5,5,"abl_mod"
"BCo",6,100,1241,464,4,4,"abl_acc"
"BCo",6,100,1241,464,1,1,"abl_min_cov"
"BCo",6,100,1241,464,5,5,"abl_max_cov"
"BCo",6,100,1241,464,5,5,"abl_overlap"
"BCo",6,100,1241,1214,4,4,"abl_preselect"
"BCo",7,100,1191,387,5,5,"no_abl"
"BCo",7,100,1191,387,5,5,"abl_conf"
"BCo",7,100,1191,387,5,5,"abl_supp"
"BCo",7,100,1191,387,5,5,"abl_length"
"BCo",7,100,1191,387,5,5,"abl_mod"
"BCo",7,100,1191,387,5,5,"abl_acc"
"BCo",7,100,1191,387,1,1,"abl_min_cov"
"BCo",7,100,1191,387,5,5,"abl_max_cov"
"BCo",7,100,1191,387,4,4,"abl_overlap"
"BCo",7,100,1191,1147,4,4,"abl_preselect"
"BCo",8,100,1332,448,5,5,"no_abl"
"BCo",8,100,1332,448,5,4,"abl_conf"
"BCo",8,100,1332,448,5,5,"abl_supp"
"BCo",8,100,1332,448,5,5,"abl_length"
"BCo",8,100,1332,448,5,5,"abl_mod"
"BCo",8,100,1332,448,4,4,"abl_acc"
"BCo",8,100,1332,448,1,1,"abl_min_cov"
"BCo",8,100,1332,448,5,4,"abl_max_cov"
"BCo",8,100,1332,448,5,5,"abl_overlap"
"BCo",8,100,1332,1291,5,5,"abl_preselect"
"BCo",9,100,1179,424,5,5,"no_abl"
"BCo",9,100,1179,424,5,5,"abl_conf"
"BCo",9,100,1179,424,5,5,"abl_supp"
"BCo",9,100,1179,424,5,5,"abl_length"
"BCo",9,100,1179,424,5,5,"abl_mod"
"BCo",9,100,1179,424,5,5,"abl_acc"
"BCo",9,100,1179,424,1,1,"abl_min_cov"
"BCo",9,100,1179,424,5,5,"abl_max_cov"
"BCo",9,100,1179,424,5,5,"abl_overlap"
"BCo",9,100,1179,1142,4,4,"abl_preselect"
"BCo",10,100,1232,444,5,5,"no_abl"
"BCo",10,100,1232,444,5,5,"abl_conf"
"BCo",10,100,1232,444,5,5,"abl_supp"
"BCo",10,100,1232,444,5,5,"abl_length"
"BCo",10,100,1232,444,5,5,"abl_mod"
"BCo",10,100,1232,444,5,5,"abl_acc"
"BCo",10,100,1232,444,1,1,"abl_min_cov"
"BCo",10,100,1232,444,5,5,"abl_max_cov"
"BCo",10,100,1232,444,4,4,"abl_overlap"
"BCo",10,100,1232,1214,4,4,"abl_preselect"
