"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max","abl_model"
"CAR",1,"OptimalRules",4.62,1,4,5,6,6,"no_abl"
"CAR",1,"OPTSTEL",4.26,1,3.5,5,5,6,"no_abl"
"CAR",1,"OptimalRules",4.58,1,4,5,5.75,6,"abl_conf"
"CAR",1,"OPTSTEL",4.26,1,3.5,5,5,6,"abl_conf"
"CAR",1,"OptimalRules",4.69,1,4,5,6,6,"abl_supp"
"CAR",1,"OPTSTEL",4.42,1,4,5,5.5,6,"abl_supp"
"CAR",1,"OptimalRules",4.69,1,4,5,6,6,"abl_length"
"CAR",1,"OPTSTEL",4.48,1,4,5,6,6,"abl_length"
"CAR",1,"OptimalRules",4.69,1,4,5,6,6,"abl_mod"
"CAR",1,"OPTSTEL",4.48,1,4,5,6,6,"abl_mod"
"CAR",1,"OptimalRules",4.1,1,3.75,5,5,6,"abl_acc"
"CAR",1,"OPTSTEL",4.06,1,4,5,5,6,"abl_acc"
"CAR",1,"OptimalRules",1,1,1,1,1,1,"abl_min_cov"
"CAR",1,"OPTSTEL",1,1,1,1,1,1,"abl_min_cov"
"CAR",1,"OptimalRules",4.5,1,4,5,6,6,"abl_max_cov"
"CAR",1,"OPTSTEL",4.29,1,3,5,5,6,"abl_max_cov"
"CAR",1,"OptimalRules",4.62,1,4,5,6,6,"abl_overlap"
"CAR",1,"OPTSTEL",4.26,1,3.5,5,5,6,"abl_overlap"
"CAR",1,"OptimalRules",4.38,1,4,5,5,6,"abl_preselect"
"CAR",1,"OPTSTEL",4.2,1,3.75,5,5,6,"abl_preselect"
"CAR",2,"OptimalRules",4.81,1,5,5,6,6,"no_abl"
"CAR",2,"OPTSTEL",4.19,1,3.75,5,5,6,"no_abl"
"CAR",2,"OptimalRules",4.65,1,4.5,5,6,6,"abl_conf"
"CAR",2,"OPTSTEL",3.88,1,2.75,4.5,5,6,"abl_conf"
"CAR",2,"OptimalRules",4.81,1,5,5,6,6,"abl_supp"
"CAR",2,"OPTSTEL",4.19,1,3.75,5,5,6,"abl_supp"
"CAR",2,"OptimalRules",4.81,1,5,5,6,6,"abl_length"
"CAR",2,"OPTSTEL",4.19,1,3.75,5,5,6,"abl_length"
"CAR",2,"OptimalRules",4.81,1,5,5,6,6,"abl_mod"
"CAR",2,"OPTSTEL",4.19,1,3.75,5,5,6,"abl_mod"
"CAR",2,"OptimalRules",4.62,1,4.25,5,5,6,"abl_acc"
"CAR",2,"OPTSTEL",4.42,1,4,5,5,6,"abl_acc"
"CAR",2,"OptimalRules",1,1,1,1,1,1,"abl_min_cov"
"CAR",2,"OPTSTEL",1,1,1,1,1,1,"abl_min_cov"
"CAR",2,"OptimalRules",4.65,1,4.5,5,5.5,6,"abl_max_cov"
"CAR",2,"OPTSTEL",4.12,1,3,5,5,6,"abl_max_cov"
"CAR",2,"OptimalRules",4.81,1,5,5,6,6,"abl_overlap"
"CAR",2,"OPTSTEL",4.19,1,3.75,5,5,6,"abl_overlap"
"CAR",2,"OptimalRules",4.41,1,4,5,5,6,"abl_preselect"
"CAR",2,"OPTSTEL",4,1,3,5,5,6,"abl_preselect"
"CAR",3,"OptimalRules",4.44,1,4,5,5,6,"no_abl"
"CAR",3,"OPTSTEL",4.27,1,4,5,5,6,"no_abl"
"CAR",3,"OptimalRules",4.45,1,4,5,5,6,"abl_conf"
"CAR",3,"OPTSTEL",4.19,1,4,5,5,6,"abl_conf"
"CAR",3,"OptimalRules",4.5,1,4,5,5,6,"abl_supp"
"CAR",3,"OPTSTEL",4.29,1,4,5,5,6,"abl_supp"
"CAR",3,"OptimalRules",4.5,1,4,5,5,6,"abl_length"
