"data","iter","PS_rules","Opt_rules","abl_model","NA"
"CAR",1,"unacc","unacc","no_abl",NA
"CAR",1,"unacc","unacc","abl_conf",NA
"CAR",1,"unacc","unacc","abl_supp",NA
"CAR",1,"unacc","unacc","abl_length",NA
"CAR",1,"unacc","unacc","abl_mod",NA
"CAR",1,"unacc","acc","abl_acc",NA
"CAR",1,"unacc","unacc","abl_min_cov",NA
"CAR",1,"unacc","acc","abl_max_cov",NA
"CAR",1,"unacc","unacc","abl_overlap",NA
"CAR",1,"unacc","acc","abl_preselect",NA
"CAR",2,"unacc","unacc","no_abl",NA
"CAR",2,"unacc","unacc","abl_conf",NA
"CAR",2,"unacc","unacc","abl_supp",NA
"CAR",2,"unacc","unacc","abl_length",NA
"CAR",2,"unacc","unacc","abl_mod",NA
"CAR",2,"unacc","unacc","abl_acc",NA
"CAR",2,"unacc","unacc","abl_min_cov",NA
"CAR",2,"unacc","unacc","abl_max_cov",NA
"CAR",2,"unacc","unacc","abl_overlap",NA
"CAR",2,"unacc","acc","abl_preselect",NA
"CAR",3,"unacc","unacc","no_abl",NA
"CAR",3,"unacc","unacc","abl_conf",NA
"CAR",3,"unacc","unacc","abl_supp",NA
"CAR",3,"unacc","unacc","abl_length",NA
"CAR",3,"unacc","unacc","abl_mod",NA
"CAR",3,"unacc","unacc","abl_acc",NA
"CAR",3,"unacc","unacc","abl_min_cov",NA
"CAR",3,"unacc","unacc","abl_max_cov",NA
"CAR",3,"unacc","unacc","abl_overlap",NA
"CAR",3,"unacc","acc","abl_preselect",NA
"CAR",4,"unacc","unacc","no_abl",NA
"CAR",4,"unacc","unacc","abl_conf",NA
"CAR",4,"unacc","unacc","abl_supp",NA
"CAR",4,"unacc","unacc","abl_length",NA
"CAR",4,"unacc","unacc","abl_mod",NA
"CAR",4,"unacc","unacc","abl_acc",NA
"CAR",4,"unacc","unacc","abl_min_cov",NA
"CAR",4,"unacc","unacc","abl_max_cov",NA
"CAR",4,"unacc","unacc","abl_overlap",NA
"CAR",4,"unacc","acc","abl_preselect",NA
"CAR",5,"unacc","acc","no_abl",NA
"CAR",5,"unacc","unacc","abl_conf",NA
"CAR",5,"unacc","acc","abl_supp",NA
"CAR",5,"unacc","acc","abl_length",NA
"CAR",5,"unacc","acc","abl_mod",NA
"CAR",5,"unacc","good","abl_acc",NA
"CAR",5,"unacc","unacc","abl_min_cov",NA
"CAR",5,"unacc","acc","abl_max_cov",NA
"CAR",5,"unacc","acc","abl_overlap",NA
"CAR",5,"unacc","acc","abl_preselect",NA
"CAR",6,"unacc","unacc","no_abl",NA
"CAR",6,"unacc","unacc","abl_conf",NA
"CAR",6,"unacc","unacc","abl_supp",NA
"CAR",6,"unacc","unacc","abl_length",NA
"CAR",6,"unacc","unacc","abl_mod",NA
"CAR",6,"unacc","unacc","abl_acc",NA
"CAR",6,"unacc","unacc","abl_min_cov",NA
"CAR",6,"unacc","unacc","abl_max_cov",NA
"CAR",6,"unacc","unacc","abl_overlap",NA
"CAR",6,"unacc","acc","abl_preselect",NA
"CAR",7,"unacc","unacc","no_abl",NA
"CAR",7,"unacc","unacc","abl_conf",NA
"CAR",7,"unacc","unacc","abl_supp",NA
"CAR",7,"unacc","unacc","abl_length",NA
"CAR",7,"unacc","unacc","abl_mod",NA
"CAR",7,"unacc","unacc","abl_acc",NA
"CAR",7,"unacc","unacc","abl_min_cov",NA
"CAR",7,"unacc","unacc","abl_max_cov",NA
"CAR",7,"unacc","unacc","abl_overlap",NA
"CAR",7,"unacc","acc","abl_preselect",NA
"CAR",8,"unacc","unacc","no_abl",NA
"CAR",8,"unacc","unacc","abl_conf",NA
"CAR",8,"unacc","unacc","abl_supp",NA
"CAR",8,"unacc","unacc","abl_length",NA
"CAR",8,"unacc","unacc","abl_mod",NA
"CAR",8,"unacc","unacc","abl_acc",NA
"CAR",8,"unacc","unacc","abl_min_cov",NA
"CAR",8,"unacc","unacc","abl_max_cov",NA
"CAR",8,"unacc","unacc","abl_overlap",NA
"CAR",8,"unacc","acc","abl_preselect",NA
"CAR",9,"acc","unacc","no_abl",NA
"CAR",9,"acc","unacc","abl_conf",NA
"CAR",9,"acc","unacc","abl_supp",NA
"CAR",9,"acc","unacc","abl_length",NA
"CAR",9,"acc","unacc","abl_mod",NA
"CAR",9,"acc","unacc","abl_acc",NA
"CAR",9,"acc","unacc","abl_min_cov",NA
"CAR",9,"acc","unacc","abl_max_cov",NA
"CAR",9,"acc","unacc","abl_overlap",NA
"CAR",9,"unacc","acc","abl_preselect",NA
"CAR",10,"unacc","unacc","no_abl",NA
"CAR",10,"unacc","unacc","abl_conf",NA
"CAR",10,"unacc","unacc","abl_supp",NA
"CAR",10,"unacc","unacc","abl_length",NA
"CAR",10,"unacc","unacc","abl_mod",NA
"CAR",10,"unacc","unacc","abl_acc",NA
"CAR",10,"unacc","unacc","abl_min_cov",NA
"CAR",10,"unacc","unacc","abl_max_cov",NA
"CAR",10,"unacc","unacc","abl_overlap",NA
"CAR",10,"unacc","acc","abl_preselect",NA
