"data","iter","id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used","abl_model"
"Iris",1,1,1,0.333333333333333,1,1,1,0.25,0.0769230769230769,"X[,4] %in% c('(-Inf,0.65]')","'setosa'","V4","no_abl"
"Iris",1,18,0.96875,0.304761904761905,0.914285714285714,1,2,0.25,0.153846153846154,"X[,4] %in% c('(1.7,1.81]','(1.81, Inf]')","'virginica'","V4","no_abl"
"Iris",1,24,1,0.219047619047619,0.657142857142857,1,1,0.25,0.0769230769230769,"X[,3] %in% c('(5.34, Inf]')","'virginica'","V3","no_abl"
"Iris",1,30,1,0.295238095238095,0.885714285714286,2,3,0.5,0.230769230769231,"X[,3] %in% c('(2.49,4.82]') & X[,4] %in% c('(0.65,1.05]','(1.05,1.7]')","'versicolor'","V3,V4","no_abl"
"Iris",1,38,1,0.19047619047619,0.571428571428571,3,8,0.75,0.615384615384615,"X[,2] %in% c('(-Inf,2.25]','(2.25,2.71]','(3.05,3.19]','(3.19, Inf]') & X[,3] %in% c('(2.49,4.82]','(4.82,5.34]') & X[,4] %in% c('(0.65,1.05]','(1.05,1.7]')","'versicolor'","V2,V3,V4","no_abl"
"Iris",1,1,1,0.333333333333333,1,1,1,0.25,0.0769230769230769,"X[,4] %in% c('(-Inf,0.65]')","'setosa'","V4","abl_conf"
"Iris",1,15,0.918918918918919,0.352380952380952,1.05714285714286,1,2,0.25,0.153846153846154,"X[,3] %in% c('(4.82,5.34]','(5.34, Inf]')","'virginica'","V3","abl_conf"
"Iris",1,38,1,0.19047619047619,0.571428571428571,3,8,0.75,0.615384615384615,"X[,2] %in% c('(-Inf,2.25]','(2.25,2.71]','(3.05,3.19]','(3.19, Inf]') & X[,3] %in% c('(2.49,4.82]','(4.82,5.34]') & X[,4] %in% c('(0.65,1.05]','(1.05,1.7]')","'versicolor'","V2,V3,V4","abl_conf"
"Iris",1,62,0.894736842105263,0.361904761904762,1.08571428571429,1,2,0.25,0.153846153846154,"X[,4] %in% c('(0.65,1.05]','(1.05,1.7]')","'versicolor'","V4","abl_conf"
"Iris",1,80,1,0.228571428571429,0.685714285714286,2,5,0.5,0.384615384615385,"X[,2] %in% c('(-Inf,2.25]','(2.71,3.05]','(3.19, Inf]') & X[,3] %in% c('(4.82,5.34]','(5.34, Inf]')","'virginica'","V2,V3","abl_conf"
