"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max","abl_model"
"Iris",1,"OptimalRules",1.6,1,1,1,2,3,"no_abl"
"Iris",1,"OPTSTEL",1.75,1,1,1.5,2.25,3,"no_abl"
"Iris",1,"OptimalRules",1.6,1,1,1,2,3,"abl_conf"
"Iris",1,"OPTSTEL",1.6,1,1,1,2,3,"abl_conf"
"Iris",1,"OptimalRules",1.6,1,1,1,2,3,"abl_supp"
"Iris",1,"OPTSTEL",1.75,1,1,1.5,2.25,3,"abl_supp"
"Iris",1,"OptimalRules",1.6,1,1,1,2,3,"abl_length"
"Iris",1,"OPTSTEL",1.75,1,1,1.5,2.25,3,"abl_length"
"Iris",1,"OptimalRules",1.6,1,1,1,2,3,"abl_mod"
"Iris",1,"OPTSTEL",1.6,1,1,1,2,3,"abl_mod"
"Iris",1,"OptimalRules",1,1,1,1,1,1,"abl_acc"
"Iris",1,"OPTSTEL",1,1,1,1,1,1,"abl_acc"
"Iris",1,"OptimalRules",1,1,1,1,1,1,"abl_min_cov"
"Iris",1,"OPTSTEL",1,1,1,1,1,1,"abl_min_cov"
"Iris",1,"OptimalRules",1.6,1,1,1,2,3,"abl_max_cov"
"Iris",1,"OPTSTEL",1.75,1,1,1.5,2.25,3,"abl_max_cov"
"Iris",1,"OptimalRules",1.6,1,1,1,2,3,"abl_overlap"
"Iris",1,"OPTSTEL",1.75,1,1,1.5,2.25,3,"abl_overlap"
"Iris",1,"OptimalRules",1.6,1,1,1,2,3,"abl_preselect"
"Iris",1,"OPTSTEL",1.75,1,1,1.5,2.25,3,"abl_preselect"
"Iris",2,"OptimalRules",1.33,1,1,1,1.5,2,"no_abl"
"Iris",2,"OPTSTEL",1.5,1,1.25,1.5,1.75,2,"no_abl"
"Iris",2,"OptimalRules",1.33,1,1,1,1.5,2,"abl_conf"
"Iris",2,"OPTSTEL",1.5,1,1.25,1.5,1.75,2,"abl_conf"
"Iris",2,"OptimalRules",1.33,1,1,1,1.5,2,"abl_supp"
"Iris",2,"OPTSTEL",1.5,1,1.25,1.5,1.75,2,"abl_supp"
"Iris",2,"OptimalRules",1.33,1,1,1,1.5,2,"abl_length"
"Iris",2,"OPTSTEL",1.5,1,1.25,1.5,1.75,2,"abl_length"
"Iris",2,"OptimalRules",1.33,1,1,1,1.5,2,"abl_mod"
"Iris",2,"OPTSTEL",1.5,1,1.25,1.5,1.75,2,"abl_mod"
"Iris",2,"OptimalRules",1.33,1,1,1,1.5,2,"abl_acc"
"Iris",2,"OPTSTEL",1.5,1,1.25,1.5,1.75,2,"abl_acc"
"Iris",2,"OptimalRules",1,1,1,1,1,1,"abl_min_cov"
"Iris",2,"OPTSTEL",1,1,1,1,1,1,"abl_min_cov"
"Iris",2,"OptimalRules",1.33,1,1,1,1.5,2,"abl_max_cov"
"Iris",2,"OPTSTEL",1.5,1,1.25,1.5,1.75,2,"abl_max_cov"
