"data","iter","id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used","abl_model"
"anneal",1,33,0.931034482758621,0.0461049284578696,1.03571428571429,1,1,0.166666666666667,0.0526315789473684,"X[,4] %in% c('(78.1, Inf]')","'U'","V4","no_abl"
"anneal",1,35,0.791666666666667,0.0381558028616852,0.347826086956522,6,13,1,0.684210526315789,"X[,2] %in% c('R') & X[,4] %in% c('(-Inf,22.5]','(22.5,47.5]','(47.5,78.1]') & X[,6] %in% c('1','3') & X[,8] %in% c('E') & X[,13] %in% c('(0.696,1.64]','(1.64,3.09]','(3.09, Inf]') & X[,14] %in% c('(-Inf,259]','(259,942]','(942,1.47e+03]')","'2'","V2,V4,V6,V8,V13,V14","no_abl"
"anneal",1,36,0.706896551724138,0.0922098569157393,1.23404255319149,6,17,1,0.894736842105263,"X[,2] %in% c('A','K','M','S','V','W') & X[,4] %in% c('(-Inf,22.5]','(22.5,47.5]','(47.5,78.1]') & X[,6] %in% c('1','3') & X[,8] %in% c('E') & X[,14] %in% c('(-Inf,259]','(259,942]','(942,1.47e+03]') & X[,15] %in% c('(-Inf,348]','(348,824]')","'5'","V2,V4,V6,V8,V14,V15","no_abl"
"anneal",1,38,1,0.343402225755167,0.450939457202505,3,9,0.5,0.473684210526316,"X[,4] %in% c('(-Inf,22.5]','(22.5,47.5]','(47.5,78.1]') & X[,7] %in% c('(-Inf,177]','(177,356]','(356,564]') & X[,8] %in% c('D','F','G')","'3'","V4,V7,V8","no_abl"
"anneal",1,65,0.875,0.0254372019077901,0.231884057971015,6,14,1,0.736842105263158,"X[,2] %in% c('M','V') & X[,4] %in% c('(-Inf,22.5]','(22.5,47.5]','(47.5,78.1]') & X[,6] %in% c('1','2','5') & X[,7] %in% c('(-Inf,177]','(356,564]','(564, Inf]') & X[,13] %in% c('(0.696,1.64]','(1.64,3.09]') & X[,17] %in% c('0')","'2'","V2,V4,V6,V7,V13,V17","no_abl"
"anneal",1,72,1,0.00794912559618442,0.072463768115942,3,6,0.5,0.315789473684211,"X[,2] %in% c('A','K','S','W') & X[,7] %in% c('(356,564]') & X[,14] %in% c('(259,942]')","'2'","V2,V7,V14","no_abl"
"anneal",1,76,1,0.0206677265500795,0.276595744680851,2,2,0.333333333333333,0.105263157894737,"X[,5] %in% c('A') & X[,8] %in% c('E')","'5'","V5,V8","no_abl"
"anneal",1,120,1,0.0158982511923688,0.144927536231884,2,2,0.333333333333333,0.105263157894737,"X[,8] %in% c('E') & X[,14] %in% c('(1.47e+03, Inf]')","'2'","V8,V14","no_abl"
"anneal",1,132,0.993243243243243,0.470588235294118,0.617954070981211,5,15,0.833333333333333,0.789473684210526,"X[,2] %in% c('A','K','M','S','W') & X[,4] %in% c('(-Inf,22.5]','(22.5,47.5]','(47.5,78.1]') & X[,6] %in% c('2','5') & X[,7] %in% c('(-Inf,177]','(177,356]') & X[,14] %in% c('(-Inf,259]','(259,942]','(942,1.47e+03]')","'3'","V2,V4,V6,V7,V14","no_abl"
"anneal",1,134,1,0.0906200317965024,0.118997912317328,2,8,0.333333333333333,0.421052631578947,"X[,2] %in% c('K','M','R','S','V','W') & X[,13] %in% c('(-Inf,0.696]','(3.09, Inf]')","'3'","V2,V13","no_abl"
"anneal",1,175,0.738095238095238,0.133545310015898,0.175365344467641,4,6,0.666666666666667,0.315789473684211,"X[,2] %in% c('R') & X[,6] %in% c('2') & X[,12] %in% c('SHEET') & X[,14] %in% c('(-Inf,259]','(259,942]','(942,1.47e+03]')","'3'","V2,V6,V12,V14","no_abl"
"anneal",1,318,0.862745098039216,0.162162162162162,0.21294363256785,5,12,0.833333333333333,0.631578947368421,"X[,2] %in% c('R') & X[,6] %in% c('1','2','5') & X[,7] %in% c('(-Inf,177]','(356,564]') & X[,14] %in% c('(-Inf,259]','(259,942]','(942,1.47e+03]') & X[,15] %in% c('(-Inf,348]','(348,824]','(2.61e+03,4.5e+03]')","'3'","V2,V6,V7,V14,V15","no_abl"
"anneal",1,33,0.931034482758621,0.0461049284578696,1.03571428571429,1,1,0.166666666666667,0.0526315789473684,"X[,4] %in% c('(78.1, Inf]')","'U'","V4","abl_conf"
"anneal",1,35,0.791666666666667,0.0381558028616852,0.347826086956522,6,13,1,0.684210526315789,"X[,2] %in% c('R') & X[,4] %in% c('(-Inf,22.5]','(22.5,47.5]','(47.5,78.1]') & X[,6] %in% c('1','3') & X[,8] %in% c('E') & X[,13] %in% c('(0.696,1.64]','(1.64,3.09]','(3.09, Inf]') & X[,14] %in% c('(-Inf,259]','(259,942]','(942,1.47e+03]')","'2'","V2,V4,V6,V8,V13,V14","abl_conf"
