"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","abl_model"
"anneal",1,100,3943,409,12,11,"no_abl"
"anneal",1,100,3943,409,12,11,"abl_conf"
"anneal",1,100,3943,409,12,10,"abl_supp"
"anneal",1,100,3943,409,12,12,"abl_length"
"anneal",1,100,3943,409,12,11,"abl_mod"
"anneal",1,100,3943,409,10,10,"abl_acc"
"anneal",1,100,3943,409,1,1,"abl_min_cov"
"anneal",1,100,3943,409,12,11,"abl_max_cov"
"anneal",1,100,3943,409,12,11,"abl_overlap"
"anneal",1,100,3943,3882,11,10,"abl_preselect"
"anneal",2,100,3917,392,12,12,"no_abl"
"anneal",2,100,3917,392,12,12,"abl_conf"
"anneal",2,100,3917,392,12,12,"abl_supp"
"anneal",2,100,3917,392,12,12,"abl_length"
"anneal",2,100,3917,392,12,12,"abl_mod"
"anneal",2,100,3917,392,12,11,"abl_acc"
"anneal",2,100,3917,392,1,1,"abl_min_cov"
"anneal",2,100,3917,392,12,12,"abl_max_cov"
"anneal",2,100,3917,392,12,12,"abl_overlap"
"anneal",2,100,3917,3847,11,11,"abl_preselect"
"anneal",3,100,3972,394,15,12,"no_abl"
"anneal",3,100,3972,394,15,12,"abl_conf"
"anneal",3,100,3972,394,15,12,"abl_supp"
"anneal",3,100,3972,394,15,12,"abl_length"
"anneal",3,100,3972,394,15,12,"abl_mod"
"anneal",3,100,3972,394,10,10,"abl_acc"
"anneal",3,100,3972,394,1,1,"abl_min_cov"
"anneal",3,100,3972,394,15,12,"abl_max_cov"
"anneal",3,100,3972,394,15,12,"abl_overlap"
"anneal",3,100,3972,3904,11,8,"abl_preselect"
"anneal",4,100,3985,383,14,10,"no_abl"
"anneal",4,100,3985,383,14,13,"abl_conf"
"anneal",4,100,3985,383,14,10,"abl_supp"
"anneal",4,100,3985,383,14,10,"abl_length"
"anneal",4,100,3985,383,14,10,"abl_mod"
"anneal",4,100,3985,383,10,9,"abl_acc"
"anneal",4,100,3985,383,1,1,"abl_min_cov"
"anneal",4,100,3985,383,14,10,"abl_max_cov"
"anneal",4,100,3985,383,14,10,"abl_overlap"
"anneal",4,100,3985,3919,12,9,"abl_preselect"
"anneal",5,100,3987,355,12,11,"no_abl"
"anneal",5,100,3987,355,12,11,"abl_conf"
"anneal",5,100,3987,355,12,11,"abl_supp"
"anneal",5,100,3987,355,12,11,"abl_length"
"anneal",5,100,3987,355,12,11,"abl_mod"
"anneal",5,100,3987,355,10,9,"abl_acc"
"anneal",5,100,3987,355,1,1,"abl_min_cov"
"anneal",5,100,3987,355,12,11,"abl_max_cov"
"anneal",5,100,3987,355,12,11,"abl_overlap"
"anneal",5,100,3987,3933,10,9,"abl_preselect"
"anneal",6,100,3909,404,12,11,"no_abl"
"anneal",6,100,3909,404,12,11,"abl_conf"
"anneal",6,100,3909,404,12,11,"abl_supp"
"anneal",6,100,3909,404,12,11,"abl_length"
"anneal",6,100,3909,404,12,11,"abl_mod"
"anneal",6,100,3909,404,9,8,"abl_acc"
"anneal",6,100,3909,404,1,1,"abl_min_cov"
"anneal",6,100,3909,404,12,11,"abl_max_cov"
"anneal",6,100,3909,404,12,11,"abl_overlap"
"anneal",6,100,3909,3825,10,10,"abl_preselect"
"anneal",7,100,4045,393,13,12,"no_abl"
"anneal",7,100,4045,393,13,12,"abl_conf"
"anneal",7,100,4045,393,13,12,"abl_supp"
"anneal",7,100,4045,393,13,12,"abl_length"
"anneal",7,100,4045,393,13,12,"abl_mod"
"anneal",7,100,4045,393,11,10,"abl_acc"
"anneal",7,100,4045,393,1,1,"abl_min_cov"
"anneal",7,100,4045,393,13,12,"abl_max_cov"
"anneal",7,100,4045,393,13,12,"abl_overlap"
"anneal",7,100,4045,3995,13,11,"abl_preselect"
"anneal",8,100,4059,362,11,10,"no_abl"
"anneal",8,100,4059,362,11,10,"abl_conf"
"anneal",8,100,4059,362,11,10,"abl_supp"
"anneal",8,100,4059,362,11,11,"abl_length"
"anneal",8,100,4059,362,11,10,"abl_mod"
"anneal",8,100,4059,362,11,10,"abl_acc"
"anneal",8,100,4059,362,1,1,"abl_min_cov"
"anneal",8,100,4059,362,11,10,"abl_max_cov"
"anneal",8,100,4059,362,11,10,"abl_overlap"
"anneal",8,100,4059,3978,11,10,"abl_preselect"
"anneal",9,100,3718,356,11,10,"no_abl"
"anneal",9,100,3718,356,11,10,"abl_conf"
"anneal",9,100,3718,356,11,11,"abl_supp"
"anneal",9,100,3718,356,11,10,"abl_length"
"anneal",9,100,3718,356,11,10,"abl_mod"
"anneal",9,100,3718,356,10,10,"abl_acc"
"anneal",9,100,3718,356,1,1,"abl_min_cov"
"anneal",9,100,3718,356,11,10,"abl_max_cov"
"anneal",9,100,3718,356,11,10,"abl_overlap"
"anneal",9,100,3718,3648,10,10,"abl_preselect"
"anneal",10,100,4001,401,9,8,"no_abl"
"anneal",10,100,4001,401,12,10,"abl_conf"
"anneal",10,100,4001,401,12,10,"abl_supp"
"anneal",10,100,4001,401,12,10,"abl_length"
"anneal",10,100,4001,401,12,10,"abl_mod"
"anneal",10,100,4001,401,9,8,"abl_acc"
"anneal",10,100,4001,401,1,1,"abl_min_cov"
"anneal",10,100,4001,401,12,10,"abl_max_cov"
"anneal",10,100,4001,401,12,10,"abl_overlap"
"anneal",10,100,4001,3943,12,10,"abl_preselect"
