"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr","abl_model"
"banana",1,0.01,0.025,0.9851,0.2682,0.2747,0.025,"Optimal",87.466,120.2055,53,7,"no_abl"
"banana",1,0.01,0.025,0.9811,0.2682,0.2759,0.1343,"Optimal",155.705,188.5152,53,7,"abl_conf"
"banana",1,0.01,0.025,0.9851,0.2682,0.2747,0.025,"Optimal",106.212,139.1268,53,7,"abl_supp"
"banana",1,0.01,0.025,0.9851,0.2682,0.2747,0.025,"Optimal",121.665,154.9713,53,7,"abl_length"
"banana",1,0.01,0.025,0.9851,0.2682,0.2747,0.025,"Optimal",242.973,276.2818,53,7,"abl_mod"
"banana",1,0.999,0.025,0.9851,0.2682,0.3813,0,"Optimal",1.162,33.9854,53,4,"abl_acc"
"banana",1,0.01,0.999,0.1767,0.2682,0.075,0,"Optimal",2.572,35.9425,53,1,"abl_min_cov"
"banana",1,0.01,0.025,0.9851,0.2682,0.2747,0.025,"Optimal",130.58,164.0371,53,7,"abl_max_cov"
"banana",1,0.01,0.025,0.9851,0.2682,0.2747,0.025,"Optimal",107.291,140.1149,53,7,"abl_overlap"
"banana",1,0.01,0.025,0.9811,0.2682,0.2747,0.025,"Optimal",355.55,409.8691,88,7,"abl_preselect"
"banana",2,0.01,0.025,0.9825,0.259,0.2669,0.0214,"Optimal",69.768,106.6735,59,7,"no_abl"
"banana",2,0.01,0.025,0.9943,0.259,0.2648,0.2629,"Optimal",486.28,523.6577,59,7,"abl_conf"
"banana",2,0.01,0.025,0.9825,0.259,0.2669,0.0214,"Optimal",227.579,264.3538,59,7,"abl_supp"
"banana",2,0.01,0.025,0.9825,0.259,0.2669,0.0214,"Optimal",280.02,316.7481,59,7,"abl_length"
"banana",2,0.01,0.025,0.9825,0.259,0.2669,0.0214,"Optimal",261.644,298.1767,59,7,"abl_mod"
"banana",2,0.999,0.025,0.9825,0.259,0.3753,0,"Optimal",2.273,39.1117,59,4,"abl_acc"
"banana",2,0.01,0.999,0.1806,0.259,0.0701,0,"Optimal",0.939,38.1507,59,1,"abl_min_cov"
"banana",2,0.01,0.025,0.9825,0.259,0.2669,0.0214,"Optimal",82.853,119.6822,59,7,"abl_max_cov"
"banana",2,0.01,0.025,0.9825,0.259,0.2669,0.0214,"Optimal",73.548,110.2636,59,7,"abl_overlap"
"banana",2,0.01,0.025,0.9825,0.259,0.2669,0.0214,"Optimal",762.715,821.8724,96,7,"abl_preselect"
"banana",3,0.01,0.025,0.9825,0.2547,0.2584,0.0247,"Optimal",307.516,346.1402,62,7,"no_abl"
"banana",3,0.01,0.025,0.9949,0.2547,0.2593,0.1612,"Optimal",400.433,439.1811,62,7,"abl_conf"
"banana",3,0.01,0.025,0.9825,0.2547,0.2584,0.0247,"Optimal",237.606,275.9814,62,7,"abl_supp"
"banana",3,0.01,0.025,0.9825,0.2547,0.2584,0.0247,"Optimal",267.673,305.834,62,7,"abl_length"
"banana",3,0.01,0.025,0.9825,0.2547,0.2584,0.0247,"Optimal",348.985,387.5615,62,7,"abl_mod"
"banana",3,0.999,0.025,0.9825,0.2547,0.3797,0,"Optimal",2.277,40.9089,62,4,"abl_acc"
"banana",3,0.01,0.999,0.1782,0.2547,0.0651,0,"Optimal",0.862,39.1315,62,1,"abl_min_cov"
"banana",3,0.01,0.025,0.9825,0.2547,0.2584,0.0247,"Optimal",405.961,444.2163,62,7,"abl_max_cov"
"banana",3,0.01,0.025,0.9825,0.2547,0.2584,0.0247,"Optimal",382.558,421.0596,62,7,"abl_overlap"
