"data","iter","id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used","abl_model"
"banana",1,1,0.567441860465116,0.231805929919137,0.517137702946482,1,1,0.5,0.25,"X[,2] %in% c('(-1.1,-0.359]')","'1'","V2","no_abl"
"banana",1,4,0.825597749648383,0.191644204851752,0.34733756717147,2,4,1,1,"X[,1] %in% c('(-Inf,-1.47]','(-1.47,-0.0156]','(-0.0156,1.2]') & X[,2] %in% c('(0.827,1.86]')","'-1'","V1,V2","no_abl"
"banana",1,13,0.942708333333333,0.0517520215633423,0.0937957987298486,2,2,1,0.5,"X[,1] %in% c('(1.2, Inf]') & X[,2] %in% c('(-0.359,0.827]')","'-1'","V1,V2","no_abl"
"banana",1,20,0.888297872340426,0.0506738544474394,0.113048707155743,2,3,1,0.75,"X[,1] %in% c('(1.2, Inf]') & X[,2] %in% c('(-Inf,-1.1]','(0.827,1.86]')","'1'","V1,V2","no_abl"
"banana",1,27,0.639927073837739,0.295687331536388,0.659651232711966,2,4,1,1,"X[,1] %in% c('(-Inf,-1.47]','(-1.47,-0.0156]','(-0.0156,1.2]') & X[,2] %in% c('(-0.359,0.827]')","'1'","V1,V2","no_abl"
"banana",1,35,0.993865030674847,0.0439353099730458,0.0980156343956705,2,3,1,0.75,"X[,1] %in% c('(-Inf,-1.47]') & X[,2] %in% c('(-Inf,-1.1]','(-1.1,-0.359]')","'1'","V1,V2","no_abl"
"banana",1,38,0.851923076923077,0.140161725067385,0.254030288226673,2,3,1,0.75,"X[,1] %in% c('(-1.47,-0.0156]','(-0.0156,1.2]') & X[,2] %in% c('(-Inf,-1.1]')","'-1'","V1,V2","no_abl"
"banana",1,5,0.880281690140845,0.0382749326145553,0.0853878532772099,2,2,1,0.5,"X[,1] %in% c('(1.2, Inf]') & X[,2] %in% c('(0.827,1.86]')","'1'","V1,V2","abl_conf"
"banana",1,16,0.924961715160796,0.176010781671159,0.319003419638495,2,3,1,0.75,"X[,1] %in% c('(-1.47,-0.0156]') & X[,2] %in% c('(-Inf,-1.1]','(0.827,1.86]')","'-1'","V1,V2","abl_conf"
"banana",1,29,0.550607287449393,0.133153638814016,0.24132877381534,2,3,1,0.75,"X[,1] %in% c('(-1.47,-0.0156]','(1.2, Inf]') & X[,2] %in% c('(-1.1,-0.359]')","'-1'","V1,V2","abl_conf"
"banana",1,34,0.678974358974359,0.262803234501348,0.586289837642814,2,3,1,0.75,"X[,1] %in% c('(-1.47,-0.0156]','(-0.0156,1.2]') & X[,2] %in% c('(-0.359,0.827]')","'1'","V1,V2","abl_conf"
"banana",1,35,0.993865030674847,0.0439353099730458,0.0980156343956705,2,3,1,0.75,"X[,1] %in% c('(-Inf,-1.47]') & X[,2] %in% c('(-Inf,-1.1]','(-1.1,-0.359]')","'1'","V1,V2","abl_conf"
"banana",1,45,0.629213483146067,0.215902964959569,0.391304347826087,2,4,1,1,"X[,1] %in% c('(-Inf,-1.47]','(-0.0156,1.2]','(1.2, Inf]') & X[,2] %in% c('(-0.359,0.827]')","'-1'","V1,V2","abl_conf"
