"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","abl_model"
"banana",1,0.6257,13.0234,15.9132,87.466,120.2055,"no_abl"
"banana",1,0.6257,13.0234,15.9132,155.705,188.5152,"abl_conf"
"banana",1,0.6257,13.0234,15.9132,106.212,139.1268,"abl_supp"
"banana",1,0.6257,13.0234,15.9132,121.665,154.9713,"abl_length"
"banana",1,0.6257,13.0234,15.9132,242.973,276.2818,"abl_mod"
"banana",1,0.6257,13.0234,15.9132,1.162,33.9854,"abl_acc"
"banana",1,0.6257,13.0234,15.9132,2.572,35.9425,"abl_min_cov"
"banana",1,0.6257,13.0234,15.9132,130.58,164.0371,"abl_max_cov"
"banana",1,0.6257,13.0234,15.9132,107.291,140.1149,"abl_overlap"
"banana",1,0.6257,0.2222,24.5391,355.55,409.8691,"abl_preselect"
"banana",2,0.6017,15.9007,17.9013,69.768,106.6735,"no_abl"
"banana",2,0.6017,15.9007,17.9013,486.28,523.6577,"abl_conf"
"banana",2,0.6017,15.9007,17.9013,227.579,264.3538,"abl_supp"
"banana",2,0.6017,15.9007,17.9013,280.02,316.7481,"abl_length"
"banana",2,0.6017,15.9007,17.9013,261.644,298.1767,"abl_mod"
"banana",2,0.6017,15.9007,17.9013,2.273,39.1117,"abl_acc"
"banana",2,0.6017,15.9007,17.9013,0.939,38.1507,"abl_min_cov"
"banana",2,0.6017,15.9007,17.9013,82.853,119.6822,"abl_max_cov"
"banana",2,0.6017,15.9007,17.9013,73.548,110.2636,"abl_overlap"
"banana",2,0.6017,0.2405,26.2349,762.715,821.8724,"abl_preselect"
"banana",3,0.6378,18.2997,18.587,307.516,346.1402,"no_abl"
"banana",3,0.6378,18.2997,18.587,400.433,439.1811,"abl_conf"
"banana",3,0.6378,18.2997,18.587,237.606,275.9814,"abl_supp"
"banana",3,0.6378,18.2997,18.587,267.673,305.834,"abl_length"
"banana",3,0.6378,18.2997,18.587,348.985,387.5615,"abl_mod"
"banana",3,0.6378,18.2997,18.587,2.277,40.9089,"abl_acc"
"banana",3,0.6378,18.2997,18.587,0.862,39.1315,"abl_min_cov"
"banana",3,0.6378,18.2997,18.587,405.961,444.2163,"abl_max_cov"
"banana",3,0.6378,18.2997,18.587,382.558,421.0596,"abl_overlap"
"banana",3,0.6378,0.2438,26.7123,768.664,828.842,"abl_preselect"
"banana",4,0.6329,20.146,19.2752,373.675,413.9827,"no_abl"
"banana",4,0.6329,20.146,19.2752,704.358,744.1596,"abl_conf"
"banana",4,0.6329,20.146,19.2752,324.48,363.8568,"abl_supp"
"banana",4,0.6329,20.146,19.2752,248.404,288.443,"abl_length"
"banana",4,0.6329,20.146,19.2752,122.217,161.8159,"abl_mod"
"banana",4,0.6329,20.146,19.2752,1.53,41.0686,"abl_acc"
"banana",4,0.6329,20.146,19.2752,42.068,82.2373,"abl_min_cov"
"banana",4,0.6329,20.146,19.2752,358.422,398.168,"abl_max_cov"
"banana",4,0.6329,20.146,19.2752,107.116,146.717,"abl_overlap"
"banana",4,0.6329,0.2699,26.2626,407.151,466.2496,"abl_preselect"
"banana",5,0.6706,17.6253,18.5192,262.783,301.2241,"no_abl"
"banana",5,0.6706,17.6253,18.5192,502.689,541.0867,"abl_conf"
"banana",5,0.6706,17.6253,18.5192,159.035,197.7713,"abl_supp"
"banana",5,0.6706,17.6253,18.5192,241.22,279.9332,"abl_length"
"banana",5,0.6706,17.6253,18.5192,228.069,266.7396,"abl_mod"
"banana",5,0.6706,17.6253,18.5192,2.073,40.7101,"abl_acc"
"banana",5,0.6706,17.6253,18.5192,5.008,43.9442,"abl_min_cov"
"banana",5,0.6706,17.6253,18.5192,265.911,304.9665,"abl_max_cov"
"banana",5,0.6706,17.6253,18.5192,223.952,262.5195,"abl_overlap"
"banana",5,0.6706,0.2469,27.234,878.739,939.997,"abl_preselect"
"banana",6,0.707,17.4919,17.4615,210.329,245.35,"no_abl"
"banana",6,0.707,17.4919,17.4615,516.838,552.0118,"abl_conf"
"banana",6,0.707,17.4919,17.4615,204.143,239.1251,"abl_supp"
"banana",6,0.707,17.4919,17.4615,225.719,260.639,"abl_length"
"banana",6,0.707,17.4919,17.4615,296.112,331.0329,"abl_mod"
"banana",6,0.707,17.4919,17.4615,2.48,37.2253,"abl_acc"
"banana",6,0.707,17.4919,17.4615,2.572,37.2226,"abl_min_cov"
"banana",6,0.707,17.4919,17.4615,358.645,393.2644,"abl_max_cov"
"banana",6,0.707,17.4919,17.4615,383.358,417.9638,"abl_overlap"
"banana",6,0.707,0.2324,25.7894,187.581,245.2669,"abl_preselect"
"banana",7,0.7658,18.1726,17.4341,475.485,510.4645,"no_abl"
"banana",7,0.7658,18.1726,17.4341,277.377,312.711,"abl_conf"
"banana",7,0.7658,18.1726,17.4341,270.092,305.1476,"abl_supp"
"banana",7,0.7658,18.1726,17.4341,77.886,112.9075,"abl_length"
"banana",7,0.7658,18.1726,17.4341,363.719,398.4833,"abl_mod"
"banana",7,0.7658,18.1726,17.4341,1.408,36.6726,"abl_acc"
"banana",7,0.7658,18.1726,17.4341,33.923,68.8402,"abl_min_cov"
"banana",7,0.7658,18.1726,17.4341,318.943,353.8012,"abl_max_cov"
"banana",7,0.7658,18.1726,17.4341,408.434,443.3394,"abl_overlap"
"banana",7,0.7658,0.2458,27.2081,391.789,452.4202,"abl_preselect"
"banana",8,0.6526,17.426,18.3217,415.579,452.5043,"no_abl"
"banana",8,0.6526,17.426,18.3217,513.15,549.7661,"abl_conf"
"banana",8,0.6526,17.426,18.3217,222.739,259.5652,"abl_supp"
"banana",8,0.6526,17.426,18.3217,538.422,575.0975,"abl_length"
"banana",8,0.6526,17.426,18.3217,474.699,511.0284,"abl_mod"
"banana",8,0.6526,17.426,18.3217,2.388,39.1479,"abl_acc"
"banana",8,0.6526,17.426,18.3217,33.678,70.8113,"abl_min_cov"
"banana",8,0.6526,17.426,18.3217,461.874,498.9293,"abl_max_cov"
"banana",8,0.6526,17.426,18.3217,361.515,398.2857,"abl_overlap"
"banana",8,0.6526,0.2313,25.7906,202.458,260.215,"abl_preselect"
"banana",9,0.6417,19.4011,19.2343,375.333,414.8745,"no_abl"
"banana",9,0.6417,19.4011,19.2343,430.775,470.456,"abl_conf"
"banana",9,0.6417,19.4011,19.2343,335.727,375.3949,"abl_supp"
"banana",9,0.6417,19.4011,19.2343,407.172,446.8264,"abl_length"
