"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","abl_model"
"banana",1,100,1048,53,7,7,"no_abl"
"banana",1,100,1048,53,7,7,"abl_conf"
"banana",1,100,1048,53,7,7,"abl_supp"
"banana",1,100,1048,53,7,7,"abl_length"
"banana",1,100,1048,53,7,7,"abl_mod"
"banana",1,100,1048,53,4,4,"abl_acc"
"banana",1,100,1048,53,1,1,"abl_min_cov"
"banana",1,100,1048,53,7,7,"abl_max_cov"
"banana",1,100,1048,53,7,7,"abl_overlap"
"banana",1,100,1048,88,7,7,"abl_preselect"
"banana",2,100,1026,59,7,7,"no_abl"
"banana",2,100,1026,59,7,7,"abl_conf"
"banana",2,100,1026,59,7,7,"abl_supp"
"banana",2,100,1026,59,7,7,"abl_length"
"banana",2,100,1026,59,7,7,"abl_mod"
"banana",2,100,1026,59,4,4,"abl_acc"
"banana",2,100,1026,59,1,1,"abl_min_cov"
"banana",2,100,1026,59,7,7,"abl_max_cov"
"banana",2,100,1026,59,7,7,"abl_overlap"
"banana",2,100,1026,96,7,7,"abl_preselect"
"banana",3,100,1049,62,7,7,"no_abl"
"banana",3,100,1049,62,7,7,"abl_conf"
"banana",3,100,1049,62,7,7,"abl_supp"
"banana",3,100,1049,62,7,7,"abl_length"
"banana",3,100,1049,62,7,7,"abl_mod"
"banana",3,100,1049,62,4,4,"abl_acc"
"banana",3,100,1049,62,1,1,"abl_min_cov"
"banana",3,100,1049,62,7,7,"abl_max_cov"
"banana",3,100,1049,62,7,7,"abl_overlap"
"banana",3,100,1049,97,7,7,"abl_preselect"
"banana",4,100,1044,64,7,7,"no_abl"
"banana",4,100,1044,64,7,7,"abl_conf"
"banana",4,100,1044,64,7,7,"abl_supp"
"banana",4,100,1044,64,7,7,"abl_length"
"banana",4,100,1044,64,7,7,"abl_mod"
"banana",4,100,1044,64,4,4,"abl_acc"
"banana",4,100,1044,64,1,1,"abl_min_cov"
"banana",4,100,1044,64,7,7,"abl_max_cov"
"banana",4,100,1044,64,7,7,"abl_overlap"
"banana",4,100,1044,96,7,7,"abl_preselect"
"banana",5,100,1088,62,7,7,"no_abl"
"banana",5,100,1088,62,7,7,"abl_conf"
"banana",5,100,1088,62,7,7,"abl_supp"
"banana",5,100,1088,62,7,7,"abl_length"
"banana",5,100,1088,62,7,7,"abl_mod"
"banana",5,100,1088,62,4,4,"abl_acc"
"banana",5,100,1088,62,1,1,"abl_min_cov"
"banana",5,100,1088,62,7,7,"abl_max_cov"
"banana",5,100,1088,62,7,7,"abl_overlap"
"banana",5,100,1088,98,7,7,"abl_preselect"
"banana",6,100,1070,56,7,7,"no_abl"
"banana",6,100,1070,56,7,7,"abl_conf"
"banana",6,100,1070,56,7,6,"abl_supp"
"banana",6,100,1070,56,7,7,"abl_length"
"banana",6,100,1070,56,7,7,"abl_mod"
"banana",6,100,1070,56,4,4,"abl_acc"
"banana",6,100,1070,56,1,1,"abl_min_cov"
"banana",6,100,1070,56,7,7,"abl_max_cov"
"banana",6,100,1070,56,7,7,"abl_overlap"
"banana",6,100,1070,93,7,7,"abl_preselect"
"banana",7,100,1059,56,7,7,"no_abl"
"banana",7,100,1059,56,7,6,"abl_conf"
"banana",7,100,1059,56,7,7,"abl_supp"
"banana",7,100,1059,56,7,7,"abl_length"
"banana",7,100,1059,56,7,7,"abl_mod"
"banana",7,100,1059,56,4,4,"abl_acc"
"banana",7,100,1059,56,1,1,"abl_min_cov"
"banana",7,100,1059,56,7,7,"abl_max_cov"
"banana",7,100,1059,56,7,7,"abl_overlap"
"banana",7,100,1059,99,6,5,"abl_preselect"
"banana",8,100,1035,59,7,7,"no_abl"
"banana",8,100,1035,59,7,4,"abl_conf"
"banana",8,100,1035,59,7,7,"abl_supp"
"banana",8,100,1035,59,7,7,"abl_length"
"banana",8,100,1035,59,7,7,"abl_mod"
"banana",8,100,1035,59,4,4,"abl_acc"
"banana",8,100,1035,59,1,1,"abl_min_cov"
"banana",8,100,1035,59,7,7,"abl_max_cov"
"banana",8,100,1035,59,7,7,"abl_overlap"
"banana",8,100,1035,93,6,5,"abl_preselect"
"banana",9,100,1041,64,7,7,"no_abl"
"banana",9,100,1041,64,7,7,"abl_conf"
"banana",9,100,1041,64,7,7,"abl_supp"
"banana",9,100,1041,64,7,7,"abl_length"
"banana",9,100,1041,64,7,7,"abl_mod"
"banana",9,100,1041,64,4,4,"abl_acc"
"banana",9,100,1041,64,1,1,"abl_min_cov"
"banana",9,100,1041,64,7,7,"abl_max_cov"
"banana",9,100,1041,64,7,7,"abl_overlap"
"banana",9,100,1041,106,7,7,"abl_preselect"
"banana",10,100,1086,63,7,6,"no_abl"
"banana",10,100,1086,63,7,7,"abl_conf"
"banana",10,100,1086,63,7,6,"abl_supp"
"banana",10,100,1086,63,7,6,"abl_length"
"banana",10,100,1086,63,7,7,"abl_mod"
"banana",10,100,1086,63,4,4,"abl_acc"
"banana",10,100,1086,63,1,1,"abl_min_cov"
"banana",10,100,1086,63,7,6,"abl_max_cov"
"banana",10,100,1086,63,7,6,"abl_overlap"
"banana",10,100,1086,105,7,7,"abl_preselect"
