"data","iter","PS_rules","Opt_rules","abl_model","NA"
"banknote",1,"0","1","no_abl",NA
"banknote",1,"0","1","abl_conf",NA
"banknote",1,"0","1","abl_supp",NA
"banknote",1,"0","1","abl_length",NA
"banknote",1,"0","1","abl_mod",NA
"banknote",1,"0","1","abl_acc",NA
"banknote",1,"0","1","abl_min_cov",NA
"banknote",1,"0","1","abl_max_cov",NA
"banknote",1,"0","1","abl_overlap",NA
"banknote",1,"0","1","abl_preselect",NA
"banknote",2,"0","0","no_abl",NA
"banknote",2,"0","0","abl_conf",NA
"banknote",2,"0","1","abl_supp",NA
"banknote",2,"0","0","abl_length",NA
"banknote",2,"0","0","abl_mod",NA
"banknote",2,"0","1","abl_acc",NA
"banknote",2,"0","1","abl_min_cov",NA
"banknote",2,"0","0","abl_max_cov",NA
"banknote",2,"0","0","abl_overlap",NA
"banknote",2,"0","0","abl_preselect",NA
"banknote",3,"0","0","no_abl",NA
"banknote",3,"0","0","abl_conf",NA
"banknote",3,"0","0","abl_supp",NA
"banknote",3,"0","0","abl_length",NA
"banknote",3,"0","0","abl_mod",NA
"banknote",3,"0","0","abl_acc",NA
"banknote",3,"0","1","abl_min_cov",NA
"banknote",3,"0","0","abl_max_cov",NA
"banknote",3,"0","0","abl_overlap",NA
"banknote",3,"0","0","abl_preselect",NA
"banknote",4,"0","1","no_abl",NA
"banknote",4,"0","1","abl_conf",NA
"banknote",4,"0","1","abl_supp",NA
"banknote",4,"0","1","abl_length",NA
"banknote",4,"0","1","abl_mod",NA
"banknote",4,"0","1","abl_acc",NA
"banknote",4,"0","1","abl_min_cov",NA
"banknote",4,"0","1","abl_max_cov",NA
"banknote",4,"0","1","abl_overlap",NA
"banknote",4,"0","1","abl_preselect",NA
"banknote",5,"0","0","no_abl",NA
"banknote",5,"0","0","abl_conf",NA
"banknote",5,"0","0","abl_supp",NA
"banknote",5,"0","0","abl_length",NA
"banknote",5,"0","0","abl_mod",NA
"banknote",5,"0","0","abl_acc",NA
"banknote",5,"0","1","abl_min_cov",NA
"banknote",5,"0","0","abl_max_cov",NA
"banknote",5,"0","0","abl_overlap",NA
"banknote",5,"0","0","abl_preselect",NA
"banknote",6,"0","0","no_abl",NA
"banknote",6,"0","0","abl_conf",NA
"banknote",6,"0","0","abl_supp",NA
"banknote",6,"0","0","abl_length",NA
"banknote",6,"0","0","abl_mod",NA
"banknote",6,"0","0","abl_acc",NA
"banknote",6,"0","1","abl_min_cov",NA
"banknote",6,"0","0","abl_max_cov",NA
"banknote",6,"0","0","abl_overlap",NA
"banknote",6,"0","0","abl_preselect",NA
"banknote",7,"0","1","no_abl",NA
"banknote",7,"0","1","abl_conf",NA
"banknote",7,"0","1","abl_supp",NA
"banknote",7,"0","1","abl_length",NA
"banknote",7,"0","1","abl_mod",NA
"banknote",7,"0","1","abl_acc",NA
"banknote",7,"0","1","abl_min_cov",NA
"banknote",7,"0","1","abl_max_cov",NA
"banknote",7,"0","1","abl_overlap",NA
"banknote",7,"0","0","abl_preselect",NA
"banknote",8,"0","0","no_abl",NA
"banknote",8,"0","0","abl_conf",NA
"banknote",8,"0","0","abl_supp",NA
"banknote",8,"0","0","abl_length",NA
"banknote",8,"0","0","abl_mod",NA
"banknote",8,"0","0","abl_acc",NA
"banknote",8,"0","1","abl_min_cov",NA
"banknote",8,"0","0","abl_max_cov",NA
"banknote",8,"0","0","abl_overlap",NA
"banknote",8,"0","0","abl_preselect",NA
"banknote",9,"0","1","no_abl",NA
"banknote",9,"0","1","abl_conf",NA
"banknote",9,"0","1","abl_supp",NA
"banknote",9,"0","1","abl_length",NA
"banknote",9,"0","1","abl_mod",NA
"banknote",9,"0","1","abl_acc",NA
"banknote",9,"0","1","abl_min_cov",NA
"banknote",9,"0","1","abl_max_cov",NA
"banknote",9,"0","1","abl_overlap",NA
"banknote",9,"0","0","abl_preselect",NA
"banknote",10,"0","0","no_abl",NA
"banknote",10,"0","0","abl_conf",NA
"banknote",10,"0","0","abl_supp",NA
"banknote",10,"0","0","abl_length",NA
"banknote",10,"0","0","abl_mod",NA
"banknote",10,"0","1","abl_acc",NA
"banknote",10,"0","1","abl_min_cov",NA
"banknote",10,"0","0","abl_max_cov",NA
"banknote",10,"0","0","abl_overlap",NA
"banknote",10,"0","0","abl_preselect",NA
