"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","abl_model"
"cryotherapy",1,100,1234,441,7,6,"no_abl"
"cryotherapy",1,100,1234,441,7,5,"abl_conf"
"cryotherapy",1,100,1234,441,7,6,"abl_supp"
"cryotherapy",1,100,1234,441,7,6,"abl_length"
"cryotherapy",1,100,1234,441,7,6,"abl_mod"
"cryotherapy",1,100,1234,441,4,3,"abl_acc"
"cryotherapy",1,100,1234,441,1,1,"abl_min_cov"
"cryotherapy",1,100,1234,441,7,6,"abl_max_cov"
"cryotherapy",1,100,1234,441,7,6,"abl_overlap"
"cryotherapy",1,100,1234,1109,7,6,"abl_preselect"
"cryotherapy",2,100,1204,485,7,7,"no_abl"
"cryotherapy",2,100,1204,485,7,7,"abl_conf"
"cryotherapy",2,100,1204,485,7,7,"abl_supp"
"cryotherapy",2,100,1204,485,7,7,"abl_length"
"cryotherapy",2,100,1204,485,7,7,"abl_mod"
"cryotherapy",2,100,1204,485,5,4,"abl_acc"
"cryotherapy",2,100,1204,485,1,1,"abl_min_cov"
"cryotherapy",2,100,1204,485,7,7,"abl_max_cov"
"cryotherapy",2,100,1204,485,7,7,"abl_overlap"
"cryotherapy",2,100,1204,1097,7,7,"abl_preselect"
"cryotherapy",3,100,1129,408,6,6,"no_abl"
"cryotherapy",3,100,1129,408,6,6,"abl_conf"
"cryotherapy",3,100,1129,408,6,6,"abl_supp"
"cryotherapy",3,100,1129,408,6,6,"abl_length"
"cryotherapy",3,100,1129,408,6,6,"abl_mod"
"cryotherapy",3,100,1129,408,4,3,"abl_acc"
"cryotherapy",3,100,1129,408,1,1,"abl_min_cov"
"cryotherapy",3,100,1129,408,6,6,"abl_max_cov"
"cryotherapy",3,100,1129,408,6,6,"abl_overlap"
"cryotherapy",3,100,1129,990,6,6,"abl_preselect"
"cryotherapy",4,100,1390,494,9,9,"no_abl"
"cryotherapy",4,100,1390,494,9,9,"abl_conf"
"cryotherapy",4,100,1390,494,9,9,"abl_supp"
"cryotherapy",4,100,1390,494,9,9,"abl_length"
"cryotherapy",4,100,1390,494,9,9,"abl_mod"
"cryotherapy",4,100,1390,494,4,3,"abl_acc"
"cryotherapy",4,100,1390,494,1,1,"abl_min_cov"
"cryotherapy",4,100,1390,494,9,9,"abl_max_cov"
"cryotherapy",4,100,1390,494,9,9,"abl_overlap"
"cryotherapy",4,100,1390,1292,9,9,"abl_preselect"
"cryotherapy",5,100,1147,414,8,7,"no_abl"
"cryotherapy",5,100,1147,414,8,7,"abl_conf"
"cryotherapy",5,100,1147,414,8,7,"abl_supp"
"cryotherapy",5,100,1147,414,8,7,"abl_length"
"cryotherapy",5,100,1147,414,8,7,"abl_mod"
"cryotherapy",5,100,1147,414,5,5,"abl_acc"
"cryotherapy",5,100,1147,414,1,1,"abl_min_cov"
"cryotherapy",5,100,1147,414,8,7,"abl_max_cov"
"cryotherapy",5,100,1147,414,8,7,"abl_overlap"
"cryotherapy",5,100,1147,1024,8,7,"abl_preselect"
"cryotherapy",6,100,1275,480,7,7,"no_abl"
"cryotherapy",6,100,1275,480,7,7,"abl_conf"
"cryotherapy",6,100,1275,480,7,7,"abl_supp"
"cryotherapy",6,100,1275,480,7,7,"abl_length"
"cryotherapy",6,100,1275,480,7,7,"abl_mod"
"cryotherapy",6,100,1275,480,5,5,"abl_acc"
"cryotherapy",6,100,1275,480,1,1,"abl_min_cov"
"cryotherapy",6,100,1275,480,7,7,"abl_max_cov"
"cryotherapy",6,100,1275,480,7,7,"abl_overlap"
"cryotherapy",6,100,1275,1177,7,7,"abl_preselect"
"cryotherapy",7,100,1302,465,8,8,"no_abl"
"cryotherapy",7,100,1302,465,8,7,"abl_conf"
"cryotherapy",7,100,1302,465,8,8,"abl_supp"
"cryotherapy",7,100,1302,465,8,7,"abl_length"
"cryotherapy",7,100,1302,465,8,8,"abl_mod"
"cryotherapy",7,100,1302,465,5,5,"abl_acc"
"cryotherapy",7,100,1302,465,1,1,"abl_min_cov"
"cryotherapy",7,100,1302,465,8,8,"abl_max_cov"
"cryotherapy",7,100,1302,465,8,8,"abl_overlap"
"cryotherapy",7,100,1302,1208,8,8,"abl_preselect"
"cryotherapy",8,100,1101,397,7,6,"no_abl"
"cryotherapy",8,100,1101,397,7,6,"abl_conf"
"cryotherapy",8,100,1101,397,7,6,"abl_supp"
"cryotherapy",8,100,1101,397,7,6,"abl_length"
"cryotherapy",8,100,1101,397,7,6,"abl_mod"
"cryotherapy",8,100,1101,397,4,3,"abl_acc"
"cryotherapy",8,100,1101,397,1,1,"abl_min_cov"
"cryotherapy",8,100,1101,397,7,6,"abl_max_cov"
"cryotherapy",8,100,1101,397,7,6,"abl_overlap"
"cryotherapy",8,100,1101,967,7,7,"abl_preselect"
"cryotherapy",9,100,1223,421,8,7,"no_abl"
"cryotherapy",9,100,1223,421,8,7,"abl_conf"
"cryotherapy",9,100,1223,421,8,7,"abl_supp"
"cryotherapy",9,100,1223,421,8,7,"abl_length"
"cryotherapy",9,100,1223,421,8,7,"abl_mod"
"cryotherapy",9,100,1223,421,3,3,"abl_acc"
"cryotherapy",9,100,1223,421,1,1,"abl_min_cov"
"cryotherapy",9,100,1223,421,8,7,"abl_max_cov"
"cryotherapy",9,100,1223,421,8,7,"abl_overlap"
"cryotherapy",9,100,1223,1071,8,7,"abl_preselect"
"cryotherapy",10,100,1275,454,7,7,"no_abl"
