"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max","abl_model"
"cryotherapy",1,"OptimalRules",2.57,2,2,2,3,4,"no_abl"
"cryotherapy",1,"OPTSTEL",2.67,2,2,2.5,3,4,"no_abl"
"cryotherapy",1,"OptimalRules",2.86,2,2,3,3.5,4,"abl_conf"
"cryotherapy",1,"OPTSTEL",2.6,2,2,2,3,4,"abl_conf"
"cryotherapy",1,"OptimalRules",2.57,2,2,2,3,4,"abl_supp"
"cryotherapy",1,"OPTSTEL",2.67,2,2,2.5,3,4,"abl_supp"
"cryotherapy",1,"OptimalRules",3.14,2,2,3,3.5,6,"abl_length"
"cryotherapy",1,"OPTSTEL",3.33,2,2.25,3,3.75,6,"abl_length"
"cryotherapy",1,"OptimalRules",2.57,2,2,2,3,4,"abl_mod"
"cryotherapy",1,"OPTSTEL",2.67,2,2,2.5,3,4,"abl_mod"
"cryotherapy",1,"OptimalRules",1.75,1,1,1.5,2.25,3,"abl_acc"
"cryotherapy",1,"OPTSTEL",2,1,1.5,2,2.5,3,"abl_acc"
"cryotherapy",1,"OptimalRules",2,2,2,2,2,2,"abl_min_cov"
"cryotherapy",1,"OPTSTEL",2,2,2,2,2,2,"abl_min_cov"
"cryotherapy",1,"OptimalRules",2.57,2,2,2,3,4,"abl_max_cov"
"cryotherapy",1,"OPTSTEL",2.67,2,2,2.5,3,4,"abl_max_cov"
"cryotherapy",1,"OptimalRules",2.57,2,2,2,3,4,"abl_overlap"
"cryotherapy",1,"OPTSTEL",2.67,2,2,2.5,3,4,"abl_overlap"
"cryotherapy",1,"OptimalRules",2.57,2,2,2,3,4,"abl_preselect"
"cryotherapy",1,"OPTSTEL",2.67,2,2,2.5,3,4,"abl_preselect"
"cryotherapy",2,"OptimalRules",2.43,2,2,2,3,3,"no_abl"
"cryotherapy",2,"OPTSTEL",2.43,2,2,2,3,3,"no_abl"
"cryotherapy",2,"OptimalRules",2.43,2,2,2,3,3,"abl_conf"
"cryotherapy",2,"OPTSTEL",2.43,2,2,2,3,3,"abl_conf"
"cryotherapy",2,"OptimalRules",2.29,1,2,2,2.5,4,"abl_supp"
"cryotherapy",2,"OPTSTEL",2.29,1,2,2,2.5,4,"abl_supp"
"cryotherapy",2,"OptimalRules",2.43,2,2,2,3,3,"abl_length"
"cryotherapy",2,"OPTSTEL",2.43,2,2,2,3,3,"abl_length"
"cryotherapy",2,"OptimalRules",2.43,2,2,2,3,3,"abl_mod"
"cryotherapy",2,"OPTSTEL",2.43,2,2,2,3,3,"abl_mod"
"cryotherapy",2,"OptimalRules",2.6,1,2,3,3,4,"abl_acc"
"cryotherapy",2,"OPTSTEL",2.5,1,1.75,2.5,3.25,4,"abl_acc"
"cryotherapy",2,"OptimalRules",2,2,2,2,2,2,"abl_min_cov"
"cryotherapy",2,"OPTSTEL",2,2,2,2,2,2,"abl_min_cov"
"cryotherapy",2,"OptimalRules",2.43,2,2,2,3,3,"abl_max_cov"
"cryotherapy",2,"OPTSTEL",2.43,2,2,2,3,3,"abl_max_cov"
"cryotherapy",2,"OptimalRules",2.29,1,2,2,3,3,"abl_overlap"
"cryotherapy",2,"OPTSTEL",2.29,1,2,2,3,3,"abl_overlap"
"cryotherapy",2,"OptimalRules",2.29,1,2,2,3,3,"abl_preselect"
"cryotherapy",2,"OPTSTEL",2.29,1,2,2,3,3,"abl_preselect"
"cryotherapy",3,"OptimalRules",2.67,1,2,2.5,3.75,4,"no_abl"
"cryotherapy",3,"OPTSTEL",2.67,1,2,2.5,3.75,4,"no_abl"
"cryotherapy",3,"OptimalRules",3,1,3,3,3,5,"abl_conf"
"cryotherapy",3,"OPTSTEL",3,1,3,3,3,5,"abl_conf"
"cryotherapy",3,"OptimalRules",2.67,1,2,2.5,3.75,4,"abl_supp"
"cryotherapy",3,"OPTSTEL",2.67,1,2,2.5,3.75,4,"abl_supp"
"cryotherapy",3,"OptimalRules",3,1,2.25,3.5,4,4,"abl_length"
"cryotherapy",3,"OPTSTEL",3,1,2.25,3.5,4,4,"abl_length"
"cryotherapy",3,"OptimalRules",2.67,1,2,2.5,3.75,4,"abl_mod"
"cryotherapy",3,"OPTSTEL",2.67,1,2,2.5,3.75,4,"abl_mod"
"cryotherapy",3,"OptimalRules",2.75,1,2.5,3,3.25,4,"abl_acc"
"cryotherapy",3,"OPTSTEL",2.33,1,2,3,3,3,"abl_acc"
"cryotherapy",3,"OptimalRules",1,1,1,1,1,1,"abl_min_cov"
"cryotherapy",3,"OPTSTEL",1,1,1,1,1,1,"abl_min_cov"
"cryotherapy",3,"OptimalRules",2.67,1,2,2.5,3.75,4,"abl_max_cov"
"cryotherapy",3,"OPTSTEL",2.67,1,2,2.5,3.75,4,"abl_max_cov"
"cryotherapy",3,"OptimalRules",2.67,1,2,2.5,3.75,4,"abl_overlap"
"cryotherapy",3,"OPTSTEL",2.67,1,2,2.5,3.75,4,"abl_overlap"
"cryotherapy",3,"OptimalRules",2.67,1,2,2.5,3.75,4,"abl_preselect"
"cryotherapy",3,"OPTSTEL",2.67,1,2,2.5,3.75,4,"abl_preselect"
"cryotherapy",4,"OptimalRules",3.22,2,2,3,4,5,"no_abl"
"cryotherapy",4,"OPTSTEL",3.22,2,2,3,4,5,"no_abl"
"cryotherapy",4,"OptimalRules",3.11,1,2,3,4,5,"abl_conf"
"cryotherapy",4,"OPTSTEL",3.11,1,2,3,4,5,"abl_conf"
"cryotherapy",4,"OptimalRules",3.22,2,2,3,4,5,"abl_supp"
"cryotherapy",4,"OPTSTEL",3.22,2,2,3,4,5,"abl_supp"
"cryotherapy",4,"OptimalRules",3.33,2,3,3,4,5,"abl_length"
"cryotherapy",4,"OPTSTEL",3.33,2,3,3,4,5,"abl_length"
"cryotherapy",4,"OptimalRules",3.22,2,2,3,4,5,"abl_mod"
"cryotherapy",4,"OPTSTEL",3.22,2,2,3,4,5,"abl_mod"
"cryotherapy",4,"OptimalRules",2,1,1,1.5,2.5,4,"abl_acc"
"cryotherapy",4,"OPTSTEL",2.33,1,1.5,2,3,4,"abl_acc"
"cryotherapy",4,"OptimalRules",3,3,3,3,3,3,"abl_min_cov"
"cryotherapy",4,"OPTSTEL",3,3,3,3,3,3,"abl_min_cov"
