"data","iter","PS_rules","Opt_rules","abl_model","NA"
"cryotherapy",1,"1","1","no_abl",NA
"cryotherapy",1,"1","1","abl_conf",NA
"cryotherapy",1,"1","1","abl_supp",NA
"cryotherapy",1,"1","1","abl_length",NA
"cryotherapy",1,"1","1","abl_mod",NA
"cryotherapy",1,"1","1","abl_acc",NA
"cryotherapy",1,"1","0","abl_min_cov",NA
"cryotherapy",1,"1","1","abl_max_cov",NA
"cryotherapy",1,"1","1","abl_overlap",NA
"cryotherapy",1,"1","1","abl_preselect",NA
"cryotherapy",2,"1","0","no_abl",NA
"cryotherapy",2,"1","0","abl_conf",NA
"cryotherapy",2,"1","0","abl_supp",NA
"cryotherapy",2,"1","0","abl_length",NA
"cryotherapy",2,"1","0","abl_mod",NA
"cryotherapy",2,"1","1","abl_acc",NA
"cryotherapy",2,"1","1","abl_min_cov",NA
"cryotherapy",2,"1","0","abl_max_cov",NA
"cryotherapy",2,"1","0","abl_overlap",NA
"cryotherapy",2,"1","0","abl_preselect",NA
"cryotherapy",3,"1","1","no_abl",NA
"cryotherapy",3,"1","0","abl_conf",NA
"cryotherapy",3,"1","1","abl_supp",NA
"cryotherapy",3,"1","1","abl_length",NA
"cryotherapy",3,"1","1","abl_mod",NA
"cryotherapy",3,"1","0","abl_acc",NA
"cryotherapy",3,"1","0","abl_min_cov",NA
"cryotherapy",3,"1","1","abl_max_cov",NA
"cryotherapy",3,"1","1","abl_overlap",NA
"cryotherapy",3,"1","1","abl_preselect",NA
"cryotherapy",4,"1","1","no_abl",NA
"cryotherapy",4,"1","1","abl_conf",NA
"cryotherapy",4,"1","1","abl_supp",NA
"cryotherapy",4,"1","1","abl_length",NA
"cryotherapy",4,"1","1","abl_mod",NA
"cryotherapy",4,"1","0","abl_acc",NA
"cryotherapy",4,"1","0","abl_min_cov",NA
"cryotherapy",4,"1","1","abl_max_cov",NA
"cryotherapy",4,"1","1","abl_overlap",NA
"cryotherapy",4,"1","1","abl_preselect",NA
"cryotherapy",5,"1","1","no_abl",NA
"cryotherapy",5,"1","1","abl_conf",NA
"cryotherapy",5,"1","1","abl_supp",NA
"cryotherapy",5,"1","1","abl_length",NA
"cryotherapy",5,"1","1","abl_mod",NA
"cryotherapy",5,"1","0","abl_acc",NA
"cryotherapy",5,"1","1","abl_min_cov",NA
"cryotherapy",5,"1","1","abl_max_cov",NA
"cryotherapy",5,"1","0","abl_overlap",NA
"cryotherapy",5,"1","1","abl_preselect",NA
"cryotherapy",6,"1","0","no_abl",NA
"cryotherapy",6,"1","0","abl_conf",NA
"cryotherapy",6,"1","0","abl_supp",NA
"cryotherapy",6,"1","0","abl_length",NA
"cryotherapy",6,"1","0","abl_mod",NA
"cryotherapy",6,"1","0","abl_acc",NA
"cryotherapy",6,"1","0","abl_min_cov",NA
"cryotherapy",6,"1","0","abl_max_cov",NA
"cryotherapy",6,"1","0","abl_overlap",NA
"cryotherapy",6,"1","0","abl_preselect",NA
"cryotherapy",7,"1","0","no_abl",NA
"cryotherapy",7,"1","1","abl_conf",NA
"cryotherapy",7,"1","0","abl_supp",NA
"cryotherapy",7,"1","1","abl_length",NA
"cryotherapy",7,"1","0","abl_mod",NA
"cryotherapy",7,"1","0","abl_acc",NA
"cryotherapy",7,"1","0","abl_min_cov",NA
"cryotherapy",7,"1","0","abl_max_cov",NA
"cryotherapy",7,"1","0","abl_overlap",NA
"cryotherapy",7,"1","0","abl_preselect",NA
"cryotherapy",8,"1","0","no_abl",NA
"cryotherapy",8,"1","0","abl_conf",NA
"cryotherapy",8,"1","0","abl_supp",NA
"cryotherapy",8,"1","0","abl_length",NA
"cryotherapy",8,"1","0","abl_mod",NA
"cryotherapy",8,"1","1","abl_acc",NA
"cryotherapy",8,"1","1","abl_min_cov",NA
"cryotherapy",8,"1","0","abl_max_cov",NA
"cryotherapy",8,"1","0","abl_overlap",NA
"cryotherapy",8,"1","1","abl_preselect",NA
"cryotherapy",9,"1","1","no_abl",NA
"cryotherapy",9,"1","1","abl_conf",NA
"cryotherapy",9,"1","1","abl_supp",NA
"cryotherapy",9,"1","1","abl_length",NA
"cryotherapy",9,"1","1","abl_mod",NA
"cryotherapy",9,"1","0","abl_acc",NA
"cryotherapy",9,"1","1","abl_min_cov",NA
"cryotherapy",9,"1","1","abl_max_cov",NA
"cryotherapy",9,"1","1","abl_overlap",NA
"cryotherapy",9,"1","1","abl_preselect",NA
"cryotherapy",10,"1","0","no_abl",NA
"cryotherapy",10,"1","0","abl_conf",NA
"cryotherapy",10,"1","0","abl_supp",NA
"cryotherapy",10,"1","0","abl_length",NA
"cryotherapy",10,"1","0","abl_mod",NA
"cryotherapy",10,"1","0","abl_acc",NA
"cryotherapy",10,"1","1","abl_min_cov",NA
"cryotherapy",10,"1","0","abl_max_cov",NA
"cryotherapy",10,"1","0","abl_overlap",NA
"cryotherapy",10,"1","0","abl_preselect",NA
