"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr","abl_model"
"derma",1,0.01,0.025,0.9765,0,0.004,0.2088,"Optimal",0.538,18.6543,432,9,"no_abl"
"derma",1,0.01,0.025,0.9765,0,0.008,0.2129,"Optimal",0.575,18.6289,432,9,"abl_conf"
"derma",1,0.01,0.025,0.9765,0,0.004,0.2088,"Optimal",0.495,18.9135,432,9,"abl_supp"
"derma",1,0.01,0.025,0.9765,0,0.004,0.2088,"Optimal",0.514,18.6943,432,9,"abl_length"
"derma",1,0.01,0.025,0.9765,0,0.004,0.2088,"Optimal",0.495,18.7568,432,9,"abl_mod"
"derma",1,0.999,0.025,0.9765,0,0.0241,0.3775,"Optimal",0.463,18.907,432,9,"abl_acc"
"derma",1,0.01,0.999,0.298,0,0,0,"Optimal",0.194,18.4605,432,1,"abl_min_cov"
"derma",1,0.01,0.025,0.9765,0,0.004,0.2088,"Optimal",1.242,19.4616,432,9,"abl_max_cov"
"derma",1,0.01,0.025,0.9765,0,0.004,0.2088,"Optimal",0.495,18.8419,432,9,"abl_overlap"
"derma",1,0.01,0.025,0.9765,0,0.004,0.0321,"Optimal",1.325,99.0721,2327,7,"abl_preselect"
"derma",2,0.01,0.025,0.9765,0,0.008,0.1767,"Optimal",5.618,27.3793,517,10,"no_abl"
"derma",2,0.01,0.025,0.9804,0,0.008,0.176,"Optimal",4.739,26.4245,517,10,"abl_conf"
"derma",2,0.01,0.025,0.9765,0,0.008,0.1165,"Optimal",4.379,26.1143,517,10,"abl_supp"
"derma",2,0.01,0.025,0.9804,0,0.008,0.184,"Optimal",5.266,27.1271,517,10,"abl_length"
"derma",2,0.01,0.025,0.9765,0,0.008,0.1767,"Optimal",4.74,26.3465,517,10,"abl_mod"
"derma",2,0.999,0.025,0.9765,0,0.0321,0.1044,"Optimal",0.305,22.1077,517,7,"abl_acc"
"derma",2,0.01,0.999,0.2627,0,0,0,"Optimal",0.237,22.0083,517,1,"abl_min_cov"
"derma",2,0.01,0.025,0.9765,0,0.008,0.1767,"Optimal",6.565,28.2481,517,10,"abl_max_cov"
"derma",2,0.01,0.025,0.9765,0,0.008,0.1767,"Optimal",5.269,27.0634,517,10,"abl_overlap"
"derma",2,0.01,0.025,0.9765,0,0.008,0.1165,"Optimal",3.06,104.9421,2436,8,"abl_preselect"
"derma",3,0.01,0.025,0.9765,0,0.008,0.1084,"Optimal",0.982,22.2742,508,11,"no_abl"
"derma",3,0.01,0.025,0.9765,0,0.008,0.1084,"Optimal",0.922,22.3595,508,11,"abl_conf"
"derma",3,0.01,0.025,0.9765,0,0.008,0.1084,"Optimal",1.581,23.111,508,11,"abl_supp"
"derma",3,0.01,0.025,0.9765,0,0.008,0.1084,"Optimal",0.71,22.0784,508,11,"abl_length"
"derma",3,0.01,0.025,0.9765,0,0.008,0.1124,"Optimal",0.851,22.1108,508,11,"abl_mod"
"derma",3,0.999,0.025,0.9765,0,0.0321,0.3614,"Optimal",0.877,22.5074,508,10,"abl_acc"
"derma",3,0.01,0.999,0.2941,0,0,0,"Optimal",0.146,21.4975,508,1,"abl_min_cov"
"derma",3,0.01,0.025,0.9765,0,0.008,0.1084,"Optimal",2.24,23.9249,508,11,"abl_max_cov"
"derma",3,0.01,0.025,0.9765,0,0.008,0.1084,"Optimal",1.118,22.279,508,11,"abl_overlap"
"derma",3,0.01,0.025,0.9765,0,0.008,0.1245,"Optimal",3.117,106.7938,2472,9,"abl_preselect"
"derma",4,0.01,0.025,0.9802,0,0.0081,0.4798,"Optimal",1.137,20.9273,483,11,"no_abl"
"derma",4,0.01,0.025,0.9802,0,0.0081,0.4798,"Optimal",1.495,21.4644,483,11,"abl_conf"
"derma",4,0.01,0.025,0.9763,0,0.004,0.3563,"Optimal",1.48,21.8668,483,11,"abl_supp"
"derma",4,0.01,0.025,0.9763,0,0.004,0.4939,"Optimal",1.197,21.5037,483,11,"abl_length"
"derma",4,0.01,0.025,0.9802,0,0.0081,0.4839,"Optimal",1.219,21.6381,483,11,"abl_mod"
"derma",4,0.999,0.025,0.9763,0,0.0405,0.3441,"Optimal",0.604,21.0362,483,9,"abl_acc"
"derma",4,0.01,0.999,0.2964,0,0,0,"Optimal",0.185,20.1974,483,1,"abl_min_cov"
"derma",4,0.01,0.025,0.9802,0,0.0081,0.4798,"Optimal",2.247,22.3022,483,11,"abl_max_cov"
"derma",4,0.01,0.025,0.9802,0,0.0081,0.4798,"Optimal",1.024,21.313,483,11,"abl_overlap"
"derma",4,0.01,0.025,0.9765,0,0.008,0.3454,"Optimal",2.764,105.2798,2457,8,"abl_preselect"
"derma",5,0.01,0.025,0.9764,0,0.0081,0.1573,"Optimal",0.594,21.9195,507,10,"no_abl"
"derma",5,0.01,0.025,0.9764,0,0.0081,0.1452,"Optimal",0.539,21.7832,507,10,"abl_conf"
"derma",5,0.01,0.025,0.9764,0,0.0081,0.1452,"Optimal",0.509,21.7886,507,10,"abl_supp"
"derma",5,0.01,0.025,0.9764,0,0.0081,0.1573,"Optimal",0.535,22.0837,507,10,"abl_length"
"derma",5,0.01,0.025,0.9764,0,0.0081,0.1613,"Optimal",0.583,21.8318,507,10,"abl_mod"
"derma",5,0.999,0.025,0.9764,0,0.0242,0.4637,"Optimal",1.076,22.5449,507,10,"abl_acc"
"derma",5,0.01,0.999,0.3031,0,0,0,"Optimal",0.223,21.4411,507,1,"abl_min_cov"
"derma",5,0.01,0.025,0.9764,0,0.0081,0.1573,"Optimal",0.648,21.6728,507,10,"abl_max_cov"
