"data","iter","pred_set","pred_sub_set","method","fidelity","fidelity_macroPrecision","fidelity_macroRecall","fidelity_macroF1","fidelity_correct","fidelity_macroPrecision_correct","fidelity_macroRecall_correct","fidelity_macroF1_correct","fidelity_incorrect","fidelity_macroPrecision_incorrect","fidelity_macroRecall_incorrect","fidelity_macroF1_incorrect","abl_model"
"derma",1,"train","all","OptimalRules",0.992156862745098,0.994014326366402,0.991222070223438,0.992574897693432,0.992156862745098,0.994014326366402,0.991222070223438,0.992574897693432,NA,NA,NA,NA,"no_abl"
"derma",1,"train","covered","OptimalRules",0.995983935742972,0.99789029535865,0.995614035087719,0.996716206652512,0.995983935742972,0.99789029535865,0.995614035087719,0.996716206652512,NA,NA,NA,NA,"no_abl"
"derma",1,"train","notcovered","OptimalRules",0.833333333333333,0.833333333333333,0.5,0.909090909090909,0.833333333333333,0.833333333333333,0.5,0.909090909090909,NA,NA,NA,NA,"no_abl"
"derma",1,"test","all","OptimalRules",0.954954954954955,0.965277777777778,0.949134199134199,0.952683647102252,0.953703703703704,0.962121212121212,0.946386946386946,0.948956840261188,1,1,1,1,"no_abl"
"derma",1,"test","covered","OptimalRules",1,1,1,1,1,1,1,1,1,1,1,1,"no_abl"
"derma",1,"test","notcovered","OptimalRules",0.545454545454545,0.545454545454545,0.333333333333333,0.705882352941176,0.444444444444444,0.444444444444444,0.333333333333333,0.615384615384615,1,1,1,1,"no_abl"
"derma",1,"train","all","OPTSTEL",0.988235294117647,0.989130434782609,0.990824534942182,0.989729958118353,0.988235294117647,0.989130434782609,0.990824534942182,0.989729958118353,NA,NA,NA,NA,"no_abl"
"derma",1,"train","covered","OPTSTEL",1,1,1,1,1,1,1,1,NA,NA,NA,NA,"no_abl"
"derma",1,"train","notcovered","OPTSTEL",0.666666666666667,0.666666666666667,0.333333333333333,0.8,0.666666666666667,0.666666666666667,0.333333333333333,0.8,NA,NA,NA,NA,"no_abl"
"derma",1,"test","all","OPTSTEL",0.936936936936937,0.955128205128205,0.939330277565572,0.941087061087061,0.935185185185185,0.951388888888889,0.936583024818319,0.936818572025359,1,1,1,1,"no_abl"
"derma",1,"test","covered","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1,"no_abl"
"derma",1,"test","notcovered","OPTSTEL",0.461538461538462,0.461538461538462,0.25,0.631578947368421,0.363636363636364,0.363636363636364,0.25,0.533333333333333,1,1,1,1,"no_abl"
"derma",1,"train","all","OptimalRules",0.992156862745098,0.994014326366402,0.991222070223438,0.992574897693432,0.992156862745098,0.994014326366402,0.991222070223438,0.992574897693432,NA,NA,NA,NA,"abl_conf"
"derma",1,"train","covered","OptimalRules",0.995983935742972,0.99789029535865,0.995614035087719,0.996716206652512,0.995983935742972,0.99789029535865,0.995614035087719,0.996716206652512,NA,NA,NA,NA,"abl_conf"
"derma",1,"train","notcovered","OptimalRules",0.833333333333333,0.833333333333333,0.5,0.909090909090909,0.833333333333333,0.833333333333333,0.5,0.909090909090909,NA,NA,NA,NA,"abl_conf"
"derma",1,"test","all","OptimalRules",0.945945945945946,0.96,0.921356421356421,0.934184704184704,0.944444444444444,0.956521739130435,0.918609168609169,0.930172846477194,1,1,1,1,"abl_conf"
"derma",1,"test","covered","OptimalRules",1,1,1,1,1,1,1,1,1,1,1,1,"abl_conf"
"derma",1,"test","notcovered","OptimalRules",0.5,0.5,0.25,0.666666666666667,0.4,0.4,0.25,0.571428571428572,1,1,1,1,"abl_conf"
"derma",1,"train","all","OPTSTEL",0.988235294117647,0.989130434782609,0.990824534942182,0.989729958118353,0.988235294117647,0.989130434782609,0.990824534942182,0.989729958118353,NA,NA,NA,NA,"abl_conf"
"derma",1,"train","covered","OPTSTEL",1,1,1,1,1,1,1,1,NA,NA,NA,NA,"abl_conf"
"derma",1,"train","notcovered","OPTSTEL",0.666666666666667,0.666666666666667,0.333333333333333,0.8,0.666666666666667,0.666666666666667,0.333333333333333,0.8,NA,NA,NA,NA,"abl_conf"
"derma",1,"test","all","OPTSTEL",0.927927927927928,0.950617283950617,0.911552499787794,0.922875964615095,0.925925925925926,0.946666666666667,0.908805247040541,0.918376309680658,1,1,1,1,"abl_conf"
"derma",1,"test","covered","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1,"abl_conf"
"derma",1,"test","notcovered","OPTSTEL",0.428571428571429,0.428571428571429,0.2,0.6,0.333333333333333,0.333333333333333,0.2,0.5,1,1,1,1,"abl_conf"
"derma",1,"train","all","OptimalRules",0.992156862745098,0.994014326366402,0.991222070223438,0.992574897693432,0.992156862745098,0.994014326366402,0.991222070223438,0.992574897693432,NA,NA,NA,NA,"abl_supp"
"derma",1,"train","covered","OptimalRules",0.995983935742972,0.99789029535865,0.995614035087719,0.996716206652512,0.995983935742972,0.99789029535865,0.995614035087719,0.996716206652512,NA,NA,NA,NA,"abl_supp"
"derma",1,"train","notcovered","OptimalRules",0.833333333333333,0.833333333333333,0.5,0.909090909090909,0.833333333333333,0.833333333333333,0.5,0.909090909090909,NA,NA,NA,NA,"abl_supp"
"derma",1,"test","all","OptimalRules",0.954954954954955,0.965277777777778,0.949134199134199,0.952683647102252,0.953703703703704,0.962121212121212,0.946386946386946,0.948956840261188,1,1,1,1,"abl_supp"
"derma",1,"test","covered","OptimalRules",1,1,1,1,1,1,1,1,1,1,1,1,"abl_supp"
"derma",1,"test","notcovered","OptimalRules",0.545454545454545,0.545454545454545,0.333333333333333,0.705882352941176,0.444444444444444,0.444444444444444,0.333333333333333,0.615384615384615,1,1,1,1,"abl_supp"
"derma",1,"train","all","OPTSTEL",0.988235294117647,0.989130434782609,0.990824534942182,0.989729958118353,0.988235294117647,0.989130434782609,0.990824534942182,0.989729958118353,NA,NA,NA,NA,"abl_supp"
"derma",1,"train","covered","OPTSTEL",1,1,1,1,1,1,1,1,NA,NA,NA,NA,"abl_supp"
"derma",1,"train","notcovered","OPTSTEL",0.666666666666667,0.666666666666667,0.333333333333333,0.8,0.666666666666667,0.666666666666667,0.333333333333333,0.8,NA,NA,NA,NA,"abl_supp"
"derma",1,"test","all","OPTSTEL",0.936936936936937,0.955128205128205,0.939330277565572,0.941087061087061,0.935185185185185,0.951388888888889,0.936583024818319,0.936818572025359,1,1,1,1,"abl_supp"
"derma",1,"test","covered","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1,"abl_supp"
"derma",1,"test","notcovered","OPTSTEL",0.461538461538462,0.461538461538462,0.25,0.631578947368421,0.363636363636364,0.363636363636364,0.25,0.533333333333333,1,1,1,1,"abl_supp"
"derma",1,"train","all","OptimalRules",0.992156862745098,0.994014326366402,0.991222070223438,0.992574897693432,0.992156862745098,0.994014326366402,0.991222070223438,0.992574897693432,NA,NA,NA,NA,"abl_length"
"derma",1,"train","covered","OptimalRules",0.995983935742972,0.99789029535865,0.995614035087719,0.996716206652512,0.995983935742972,0.99789029535865,0.995614035087719,0.996716206652512,NA,NA,NA,NA,"abl_length"
"derma",1,"train","notcovered","OptimalRules",0.833333333333333,0.833333333333333,0.5,0.909090909090909,0.833333333333333,0.833333333333333,0.5,0.909090909090909,NA,NA,NA,NA,"abl_length"
"derma",1,"test","all","OptimalRules",0.954954954954955,0.965277777777778,0.949134199134199,0.952683647102252,0.953703703703704,0.962121212121212,0.946386946386946,0.948956840261188,1,1,1,1,"abl_length"
"derma",1,"test","covered","OptimalRules",1,1,1,1,1,1,1,1,1,1,1,1,"abl_length"
"derma",1,"test","notcovered","OptimalRules",0.545454545454545,0.545454545454545,0.333333333333333,0.705882352941176,0.444444444444444,0.444444444444444,0.333333333333333,0.615384615384615,1,1,1,1,"abl_length"
"derma",1,"train","all","OPTSTEL",0.988235294117647,0.989130434782609,0.990824534942182,0.989729958118353,0.988235294117647,0.989130434782609,0.990824534942182,0.989729958118353,NA,NA,NA,NA,"abl_length"
