"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max","abl_model"
"derma",1,"OptimalRules",3.56,2,2,3,4,6,"no_abl"
"derma",1,"OPTSTEL",3.62,2,2,3.5,4.5,6,"no_abl"
"derma",1,"OptimalRules",3.33,2,2,3,4,6,"abl_conf"
"derma",1,"OPTSTEL",3.38,2,2,2.5,4.5,6,"abl_conf"
"derma",1,"OptimalRules",3.56,2,2,3,4,6,"abl_supp"
"derma",1,"OPTSTEL",3.62,2,2,3.5,4.5,6,"abl_supp"
"derma",1,"OptimalRules",3.56,2,2,3,4,6,"abl_length"
"derma",1,"OPTSTEL",3.62,2,2,3.5,4.5,6,"abl_length"
"derma",1,"OptimalRules",3.56,2,2,3,4,6,"abl_mod"
"derma",1,"OPTSTEL",3.62,2,2,3.5,4.5,6,"abl_mod"
"derma",1,"OptimalRules",3.33,2,2,3,4,6,"abl_acc"
"derma",1,"OPTSTEL",3.29,2,2,2,4.5,6,"abl_acc"
"derma",1,"OptimalRules",2,2,2,2,2,2,"abl_min_cov"
"derma",1,"OPTSTEL",2,2,2,2,2,2,"abl_min_cov"
"derma",1,"OptimalRules",3.56,2,2,3,4,6,"abl_max_cov"
"derma",1,"OPTSTEL",3.62,2,2,3.5,4.5,6,"abl_max_cov"
"derma",1,"OptimalRules",3.56,2,2,3,4,6,"abl_overlap"
"derma",1,"OPTSTEL",3.62,2,2,3.5,4.5,6,"abl_overlap"
"derma",1,"OptimalRules",3.14,1,2,2,3.5,8,"abl_preselect"
"derma",1,"OPTSTEL",3.14,1,2,2,3.5,8,"abl_preselect"
"derma",2,"OptimalRules",3.4,1,3,3,4,6,"no_abl"
"derma",2,"OPTSTEL",3.38,1,2.75,3,4.25,6,"no_abl"
"derma",2,"OptimalRules",3.3,1,2.25,3,4,6,"abl_conf"
"derma",2,"OPTSTEL",3.25,1,2,3,4.25,6,"abl_conf"
"derma",2,"OptimalRules",3.4,1,3,3,4,6,"abl_supp"
"derma",2,"OPTSTEL",3.5,1,2.75,3.5,4.25,6,"abl_supp"
"derma",2,"OptimalRules",3.6,1,3,3.5,4.75,6,"abl_length"
"derma",2,"OPTSTEL",3.5,1,2.75,3.5,4.25,6,"abl_length"
"derma",2,"OptimalRules",3.4,1,3,3,4,6,"abl_mod"
"derma",2,"OPTSTEL",3.38,1,2.75,3,4.25,6,"abl_mod"
"derma",2,"OptimalRules",3.29,1,2.5,3,4,6,"abl_acc"
"derma",2,"OPTSTEL",3.29,1,2.5,3,4,6,"abl_acc"
