"data","iter","PS_rules","Opt_rules","abl_model","NA"
"derma",1,"1","2","no_abl",NA
"derma",1,"1","2","abl_conf",NA
"derma",1,"1","2","abl_supp",NA
"derma",1,"1","2","abl_length",NA
"derma",1,"1","2","abl_mod",NA
"derma",1,"1","4","abl_acc",NA
"derma",1,"1","3","abl_min_cov",NA
"derma",1,"1","2","abl_max_cov",NA
"derma",1,"1","2","abl_overlap",NA
"derma",1,"1","1","abl_preselect",NA
"derma",2,"1","4","no_abl",NA
"derma",2,"1","4","abl_conf",NA
"derma",2,"1","2","abl_supp",NA
"derma",2,"1","4","abl_length",NA
"derma",2,"1","4","abl_mod",NA
"derma",2,"1","4","abl_acc",NA
"derma",2,"1","3","abl_min_cov",NA
"derma",2,"1","4","abl_max_cov",NA
"derma",2,"1","4","abl_overlap",NA
"derma",2,"1","2","abl_preselect",NA
"derma",3,"1","2","no_abl",NA
"derma",3,"1","2","abl_conf",NA
"derma",3,"1","2","abl_supp",NA
"derma",3,"1","2","abl_length",NA
"derma",3,"1","2","abl_mod",NA
"derma",3,"1","2","abl_acc",NA
"derma",3,"1","3","abl_min_cov",NA
"derma",3,"1","2","abl_max_cov",NA
"derma",3,"1","2","abl_overlap",NA
"derma",3,"1","1","abl_preselect",NA
"derma",4,"2","2","no_abl",NA
"derma",4,"2","2","abl_conf",NA
"derma",4,"2","2","abl_supp",NA
"derma",4,"2","2","abl_length",NA
"derma",4,"2","2","abl_mod",NA
"derma",4,"2","2","abl_acc",NA
"derma",4,"2","2","abl_min_cov",NA
"derma",4,"2","2","abl_max_cov",NA
"derma",4,"2","2","abl_overlap",NA
"derma",4,"1","4","abl_preselect",NA
"derma",5,"2","4","no_abl",NA
"derma",5,"2","2","abl_conf",NA
"derma",5,"2","2","abl_supp",NA
"derma",5,"2","4","abl_length",NA
"derma",5,"2","4","abl_mod",NA
"derma",5,"2","2","abl_acc",NA
"derma",5,"2","3","abl_min_cov",NA
"derma",5,"2","4","abl_max_cov",NA
"derma",5,"2","4","abl_overlap",NA
"derma",5,"1","2","abl_preselect",NA
"derma",6,"1","2","no_abl",NA
"derma",6,"1","2","abl_conf",NA
"derma",6,"1","4","abl_supp",NA
"derma",6,"1","2","abl_length",NA
"derma",6,"1","2","abl_mod",NA
"derma",6,"1","2","abl_acc",NA
"derma",6,"1","3","abl_min_cov",NA
"derma",6,"1","2","abl_max_cov",NA
"derma",6,"1","2","abl_overlap",NA
"derma",6,"1","4","abl_preselect",NA
"derma",7,"2","2","no_abl",NA
"derma",7,"2","2","abl_conf",NA
"derma",7,"2","2","abl_supp",NA
"derma",7,"2","2","abl_length",NA
"derma",7,"2","2","abl_mod",NA
"derma",7,"2","2","abl_acc",NA
"derma",7,"2","2","abl_min_cov",NA
"derma",7,"2","2","abl_max_cov",NA
"derma",7,"2","2","abl_overlap",NA
"derma",7,"1","2","abl_preselect",NA
"derma",8,"1","2","no_abl",NA
"derma",8,"1","2","abl_conf",NA
"derma",8,"1","2","abl_supp",NA
"derma",8,"1","2","abl_length",NA
"derma",8,"1","2","abl_mod",NA
"derma",8,"1","4","abl_acc",NA
"derma",8,"1","3","abl_min_cov",NA
"derma",8,"1","2","abl_max_cov",NA
"derma",8,"1","2","abl_overlap",NA
"derma",8,"1","2","abl_preselect",NA
"derma",9,"2","2","no_abl",NA
"derma",9,"2","2","abl_conf",NA
"derma",9,"2","2","abl_supp",NA
"derma",9,"2","2","abl_length",NA
"derma",9,"2","2","abl_mod",NA
"derma",9,"2","2","abl_acc",NA
"derma",9,"2","3","abl_min_cov",NA
"derma",9,"2","2","abl_max_cov",NA
"derma",9,"2","2","abl_overlap",NA
"derma",9,"1","2","abl_preselect",NA
"derma",10,"1","2","no_abl",NA
"derma",10,"1","2","abl_conf",NA
"derma",10,"1","2","abl_supp",NA
"derma",10,"1","2","abl_length",NA
"derma",10,"1","2","abl_mod",NA
"derma",10,"1","1","abl_acc",NA
"derma",10,"1","3","abl_min_cov",NA
"derma",10,"1","2","abl_max_cov",NA
"derma",10,"1","2","abl_overlap",NA
"derma",10,"1","2","abl_preselect",NA
