"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr","abl_model"
"glass",1,0.01,0.025,0.9799,0.0537,0.0616,0.4247,"Optimal",2.34,15.9419,556,23,"no_abl"
"glass",1,0.01,0.025,0.9799,0.0537,0.0616,0.4658,"Optimal",2.855,16.4917,556,23,"abl_conf"
"glass",1,0.01,0.025,0.9799,0.0537,0.0616,0.2877,"Optimal",1.47,15.2244,556,23,"abl_supp"
"glass",1,0.01,0.025,0.9799,0.0537,0.0616,0.4247,"Optimal",3.015,16.8218,556,23,"abl_length"
"glass",1,0.01,0.025,0.9799,0.0537,0.0616,0.4315,"Optimal",3.308,17.1008,556,23,"abl_mod"
"glass",1,0.999,0.025,0.9799,0.0537,0.1918,0.1849,"Optimal",0.228,13.9523,556,11,"abl_acc"
"glass",1,0.01,0.999,0.1141,0.0537,0,0,"Optimal",0.046,13.7103,556,1,"abl_min_cov"
"glass",1,0.01,0.025,0.9799,0.0537,0.0616,0.4247,"Optimal",2.716,16.4604,556,23,"abl_max_cov"
"glass",1,0.01,0.025,0.9799,0.0537,0.0616,0.4247,"Optimal",2.183,16.036,556,23,"abl_overlap"
"glass",1,0.01,0.025,0.9799,0.0537,0.0616,0.1986,"Optimal",3.458,87.1417,3415,20,"abl_preselect"
"glass",2,0.01,0.025,0.9799,0.0872,0.0959,0.3356,"Optimal",0.581,12.7383,499,24,"no_abl"
"glass",2,0.01,0.025,0.9799,0.0872,0.0959,0.3562,"Optimal",0.528,12.7666,499,24,"abl_conf"
"glass",2,0.01,0.025,0.9799,0.0872,0.0959,0.2945,"Optimal",0.35,12.6533,499,24,"abl_supp"
"glass",2,0.01,0.025,0.9799,0.0872,0.0959,0.3356,"Optimal",0.423,12.6939,499,24,"abl_length"
"glass",2,0.01,0.025,0.9799,0.0872,0.0959,0.3425,"Optimal",0.622,12.9676,499,24,"abl_mod"
"glass",2,0.999,0.025,0.9799,0.0872,0.2329,0.3562,"Optimal",0.411,12.7305,499,11,"abl_acc"
"glass",2,0.01,0.999,0.1275,0.0872,0,0,"Optimal",0.058,12.3403,499,1,"abl_min_cov"
"glass",2,0.01,0.025,0.9799,0.0872,0.0959,0.3356,"Optimal",0.745,13.0695,499,24,"abl_max_cov"
"glass",2,0.01,0.025,0.9799,0.0872,0.0959,0.3356,"Optimal",0.399,12.746,499,24,"abl_overlap"
"glass",2,0.01,0.025,0.9799,0.0872,0.0959,0.2192,"Optimal",6.902,90.6709,3377,21,"abl_preselect"
"glass",3,0.01,0.025,0.9799,0.0537,0.0616,0.3973,"Optimal",1.32,14.8916,556,24,"no_abl"
"glass",3,0.01,0.025,0.9799,0.0537,0.0616,0.4041,"Optimal",1.192,14.8206,556,24,"abl_conf"
"glass",3,0.01,0.025,0.9799,0.0537,0.0616,0.3425,"Optimal",1.122,14.9111,556,24,"abl_supp"
"glass",3,0.01,0.025,0.9799,0.0537,0.0616,0.3973,"Optimal",1.376,15.0103,556,24,"abl_length"
"glass",3,0.01,0.025,0.9799,0.0537,0.0616,0.3973,"Optimal",1.778,15.3492,556,24,"abl_mod"
"glass",3,0.999,0.025,0.9799,0.0537,0.2123,0.3767,"Optimal",0.169,13.9527,556,10,"abl_acc"
"glass",3,0.01,0.999,0.1007,0.0537,0,0,"Optimal",0.09,13.8753,556,1,"abl_min_cov"
"glass",3,0.01,0.025,0.9799,0.0537,0.0616,0.3973,"Optimal",1.553,15.3189,556,24,"abl_max_cov"
"glass",3,0.01,0.025,0.9799,0.0537,0.0616,0.3973,"Optimal",1.681,15.4385,556,24,"abl_overlap"
"glass",3,0.01,0.025,0.9799,0.0537,0.0616,0.3356,"Optimal",8.382,94.9798,3462,20,"abl_preselect"
"glass",4,0.01,0.025,0.9799,0.0671,0.0753,0.226,"Optimal",0.334,15.0788,603,17,"no_abl"
"glass",4,0.01,0.025,0.9799,0.0671,0.0753,0.2603,"Optimal",0.514,15.7519,603,17,"abl_conf"
"glass",4,0.01,0.025,0.9799,0.0671,0.0753,0.0753,"Optimal",0.339,15.0548,603,17,"abl_supp"
"glass",4,0.01,0.025,0.9799,0.0671,0.0753,0.226,"Optimal",0.415,15.2144,603,17,"abl_length"
"glass",4,0.01,0.025,0.9799,0.0671,0.0753,0.226,"Optimal",0.344,15.3794,603,17,"abl_mod"
"glass",4,0.999,0.025,0.9799,0.0671,0.1986,0.1301,"Optimal",0.103,14.9529,603,11,"abl_acc"
"glass",4,0.01,0.999,0.1074,0.0671,0,0,"Optimal",0.1,14.9614,603,1,"abl_min_cov"
"glass",4,0.01,0.025,0.9799,0.0671,0.0753,0.226,"Optimal",0.48,15.2006,603,17,"abl_max_cov"
"glass",4,0.01,0.025,0.9799,0.0671,0.0753,0.226,"Optimal",0.348,15.1731,603,17,"abl_overlap"
"glass",4,0.01,0.025,0.9664,0.0671,0.0833,0.1875,"Optimal",4.271,90.7664,3449,11,"abl_preselect"
"glass",5,0.01,0.025,0.9799,0.047,0.0548,0.137,"Optimal",0.951,15.8425,606,19,"no_abl"
"glass",5,0.01,0.025,0.9799,0.047,0.0548,0.137,"Optimal",1.342,16.3661,606,19,"abl_conf"
"glass",5,0.01,0.025,0.9799,0.047,0.0548,0.137,"Optimal",1.227,16.1476,606,19,"abl_supp"
"glass",5,0.01,0.025,0.9799,0.047,0.0548,0.137,"Optimal",0.627,15.6957,606,19,"abl_length"
"glass",5,0.01,0.025,0.9799,0.047,0.0548,0.137,"Optimal",0.582,15.5025,606,19,"abl_mod"
"glass",5,0.999,0.025,0.9799,0.047,0.1918,0.3699,"Optimal",0.146,15.0254,606,11,"abl_acc"
"glass",5,0.01,0.999,0.1074,0.047,0,0,"Optimal",0.081,15.0807,606,1,"abl_min_cov"
"glass",5,0.01,0.025,0.9799,0.047,0.0548,0.137,"Optimal",0.956,15.9694,606,19,"abl_max_cov"
"glass",5,0.01,0.025,0.9799,0.047,0.0548,0.137,"Optimal",0.724,15.6518,606,19,"abl_overlap"
"glass",5,0.01,0.025,0.9799,0.047,0.0548,0.1164,"Optimal",2.84,87.6469,3460,18,"abl_preselect"
"glass",6,0.01,0.025,0.9799,0.0671,0.0753,0.3356,"Optimal",0.735,14.0983,544,23,"no_abl"
"glass",6,0.01,0.025,0.9799,0.0671,0.0753,0.363,"Optimal",0.76,13.9687,544,23,"abl_conf"
"glass",6,0.01,0.025,0.9799,0.0671,0.0753,0.3356,"Optimal",0.714,14,544,23,"abl_supp"
"glass",6,0.01,0.025,0.9799,0.0671,0.0753,0.3493,"Optimal",0.954,14.2366,544,23,"abl_length"
"glass",6,0.01,0.025,0.9799,0.0671,0.0753,0.3356,"Optimal",1.093,14.5332,544,23,"abl_mod"
"glass",6,0.999,0.025,0.9799,0.0671,0.1918,0.0342,"Optimal",0.105,13.5439,544,11,"abl_acc"
"glass",6,0.01,0.999,0.1141,0.0671,0,0,"Optimal",0.095,13.6293,544,1,"abl_min_cov"
"glass",6,0.01,0.025,0.9799,0.0671,0.0753,0.3356,"Optimal",0.879,14.3899,544,23,"abl_max_cov"
"glass",6,0.01,0.025,0.9799,0.0671,0.0753,0.3356,"Optimal",0.67,13.9418,544,23,"abl_overlap"
"glass",6,0.01,0.025,0.9799,0.0671,0.0753,0.1986,"Optimal",3.494,90.9089,3570,20,"abl_preselect"
"glass",7,0.01,0.025,0.9799,0.094,0.1027,0.2466,"Optimal",0.623,13.1244,508,19,"no_abl"
"glass",7,0.01,0.025,0.9799,0.094,0.1027,0.2466,"Optimal",0.975,13.6091,508,19,"abl_conf"
"glass",7,0.01,0.025,0.9799,0.094,0.1027,0.2397,"Optimal",0.439,12.8851,508,19,"abl_supp"
"glass",7,0.01,0.025,0.9799,0.094,0.1027,0.2466,"Optimal",0.585,13.1864,508,19,"abl_length"
"glass",7,0.01,0.025,0.9799,0.094,0.1027,0.2534,"Optimal",0.47,13.1566,508,19,"abl_mod"
"glass",7,0.999,0.025,0.9799,0.094,0.2192,0.2329,"Optimal",0.389,12.9387,508,11,"abl_acc"
"glass",7,0.01,0.999,0.1141,0.094,0,0,"Optimal",0.067,12.6238,508,1,"abl_min_cov"
"glass",7,0.01,0.025,0.9799,0.094,0.1027,0.2466,"Optimal",0.712,13.1851,508,19,"abl_max_cov"
"glass",7,0.01,0.025,0.9799,0.094,0.1027,0.2466,"Optimal",0.708,13.1555,508,19,"abl_overlap"
"glass",7,0.01,0.025,0.9799,0.094,0.1027,0.1301,"Optimal",3.574,84.4621,3297,17,"abl_preselect"
"glass",8,0.01,0.025,0.9799,0.0537,0.0616,0.2466,"Optimal",1.065,13.7089,520,20,"no_abl"
"glass",8,0.01,0.025,0.9799,0.0537,0.0616,0.2466,"Optimal",1.406,14.1154,520,20,"abl_conf"
"glass",8,0.01,0.025,0.9799,0.0537,0.0616,0.2466,"Optimal",1.115,13.9452,520,20,"abl_supp"
"glass",8,0.01,0.025,0.9799,0.0537,0.0616,0.2603,"Optimal",1.006,13.7252,520,20,"abl_length"
"glass",8,0.01,0.025,0.9799,0.0537,0.0616,0.2466,"Optimal",1.346,14.2311,520,20,"abl_mod"
"glass",8,0.999,0.025,0.9799,0.0537,0.2671,0.3014,"Optimal",0.178,13.0114,520,11,"abl_acc"
"glass",8,0.01,0.999,0.2215,0.0537,0.0606,0,"Optimal",0.057,12.9388,520,1,"abl_min_cov"
"glass",8,0.01,0.025,0.9799,0.0537,0.0616,0.2466,"Optimal",1.441,14.1511,520,20,"abl_max_cov"
"glass",8,0.01,0.025,0.9799,0.0537,0.0616,0.2466,"Optimal",1.165,13.9308,520,20,"abl_overlap"
"glass",8,0.01,0.025,0.9799,0.0537,0.0616,0.274,"Optimal",2.778,86.5588,3413,19,"abl_preselect"
"glass",9,0.01,0.025,0.9799,0.0671,0.0753,0.3288,"Optimal",2.669,16.929,586,22,"no_abl"
"glass",9,0.01,0.025,0.9799,0.0671,0.0753,0.411,"Optimal",2.514,16.9911,586,22,"abl_conf"
"glass",9,0.01,0.025,0.9799,0.0671,0.0753,0.2055,"Optimal",1.672,16.1163,586,22,"abl_supp"
"glass",9,0.01,0.025,0.9799,0.0671,0.0753,0.3425,"Optimal",4.537,18.8875,586,22,"abl_length"
"glass",9,0.01,0.025,0.9799,0.0671,0.0753,0.3288,"Optimal",4.993,19.4274,586,22,"abl_mod"
"glass",9,0.999,0.025,0.9799,0.0671,0.1986,0.1849,"Optimal",0.181,14.4484,586,11,"abl_acc"
"glass",9,0.01,0.999,0.1074,0.0671,0,0,"Optimal",0.095,14.3666,586,1,"abl_min_cov"
"glass",9,0.01,0.025,0.9799,0.0671,0.0753,0.3356,"Optimal",2.426,16.7169,586,22,"abl_max_cov"
"glass",9,0.01,0.025,0.9799,0.0671,0.0753,0.3288,"Optimal",3.263,17.6039,586,22,"abl_overlap"
"glass",9,0.01,0.025,0.9799,0.0671,0.0753,0.1507,"Optimal",10.229,95.8107,3469,19,"abl_preselect"
"glass",10,0.01,0.025,0.9799,0.0537,0.0616,0.411,"Optimal",1.703,16.5703,603,25,"no_abl"
"glass",10,0.01,0.025,0.9799,0.0537,0.0616,0.411,"Optimal",4.329,19.2222,603,25,"abl_conf"
"glass",10,0.01,0.025,0.9799,0.0537,0.0616,0.411,"Optimal",1.237,16.165,603,25,"abl_supp"
"glass",10,0.01,0.025,0.9799,0.0537,0.0616,0.4247,"Optimal",1.525,16.4202,603,25,"abl_length"
"glass",10,0.01,0.025,0.9799,0.0537,0.0616,0.411,"Optimal",1.02,15.9724,603,25,"abl_mod"
"glass",10,0.999,0.025,0.9799,0.0537,0.2397,0.2397,"Optimal",0.432,15.5146,603,12,"abl_acc"
"glass",10,0.01,0.999,0.1007,0.0537,0,0,"Optimal",0.091,15.2074,603,1,"abl_min_cov"
"glass",10,0.01,0.025,0.9799,0.0537,0.0616,0.411,"Optimal",3.161,18.1485,603,25,"abl_max_cov"
"glass",10,0.01,0.025,0.9799,0.0537,0.0616,0.411,"Optimal",1.227,16.0253,603,25,"abl_overlap"
"glass",10,0.01,0.025,0.9799,0.0537,0.0616,0.3219,"Optimal",17.371,106.0316,3621,24,"abl_preselect"
