"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr","abl_model"
"haberman",1,0.01,0.025,0.9767,0.2279,0.2333,0.2905,"Optimal",0.202,9.6309,267,4,"no_abl"
"haberman",1,0.01,0.025,0.9767,0.2279,0.2333,0.2905,"Optimal",0.188,9.7494,267,4,"abl_conf"
"haberman",1,0.01,0.025,0.9814,0.2279,0.2322,0.2654,"Optimal",0.214,9.7482,267,4,"abl_supp"
"haberman",1,0.01,0.025,0.9767,0.2279,0.2333,0.2905,"Optimal",0.296,9.8869,267,4,"abl_length"
"haberman",1,0.01,0.025,0.9767,0.2279,0.2333,0.2905,"Optimal",0.183,9.6433,267,4,"abl_mod"
"haberman",1,0.999,0.025,0.9814,0.2279,0.2607,0,"Optimal",0.059,9.5931,267,3,"abl_acc"
"haberman",1,0.01,0.999,0.4372,0.2279,0.1489,0,"Optimal",0.108,9.695,267,1,"abl_min_cov"
"haberman",1,0.01,0.025,0.9767,0.2279,0.2333,0.2905,"Optimal",0.193,9.7677,267,4,"abl_max_cov"
"haberman",1,0.01,0.025,0.9767,0.2279,0.2333,0.2905,"Optimal",0.248,9.7512,267,4,"abl_overlap"
"haberman",1,0.01,0.025,0.9767,0.2279,0.2333,0.2905,"Optimal",0.414,27.69,772,4,"abl_preselect"
"haberman",2,0.01,0.025,0.9907,0.2372,0.2347,0.3052,"Optimal",0.264,9.1526,250,4,"no_abl"
"haberman",2,0.01,0.025,0.9907,0.2372,0.2347,0.3052,"Optimal",0.289,9.3203,250,4,"abl_conf"
"haberman",2,0.01,0.025,0.9814,0.2372,0.2275,0,"Optimal",0.307,9.1056,250,4,"abl_supp"
"haberman",2,0.01,0.025,0.9907,0.2372,0.2347,0.3052,"Optimal",0.253,9.1495,250,4,"abl_length"
"haberman",2,0.01,0.025,0.9907,0.2372,0.2347,0.3052,"Optimal",0.279,9.3021,250,4,"abl_mod"
"haberman",2,0.999,0.025,0.9814,0.2372,0.2559,0,"Optimal",0.071,9.1022,250,3,"abl_acc"
"haberman",2,0.01,0.999,0.4651,0.2372,0.14,0,"Optimal",0.084,8.9474,250,1,"abl_min_cov"
"haberman",2,0.01,0.025,0.9907,0.2372,0.2347,0.3052,"Optimal",0.331,9.1822,250,4,"abl_max_cov"
"haberman",2,0.01,0.025,0.9907,0.2372,0.2347,0.3052,"Optimal",0.291,9.1881,250,4,"abl_overlap"
"haberman",2,0.01,0.025,0.9953,0.2372,0.2383,0.3037,"Optimal",0.555,25.1653,690,4,"abl_preselect"
"haberman",3,0.01,0.025,0.9814,0.2465,0.2559,0,"Optimal",0.089,9.767,268,3,"no_abl"
"haberman",3,0.01,0.025,0.9814,0.2465,0.2559,0,"Optimal",0.1,9.7171,268,3,"abl_conf"
"haberman",3,0.01,0.025,0.9814,0.2465,0.2559,0,"Optimal",0.074,9.6561,268,3,"abl_supp"
"haberman",3,0.01,0.025,0.9814,0.2465,0.2559,0,"Optimal",0.073,9.6429,268,3,"abl_length"
"haberman",3,0.01,0.025,0.9814,0.2465,0.2559,0,"Optimal",0.073,9.6747,268,3,"abl_mod"
"haberman",3,0.999,0.025,0.9814,0.2465,0.2559,0,"Optimal",0.066,9.6503,268,3,"abl_acc"
"haberman",3,0.01,0.999,0.4698,0.2465,0.1386,0,"Optimal",0.091,9.7121,268,1,"abl_min_cov"
