"data","iter","pred_set","pred_sub_set","method","fidelity","fidelity_macroPrecision","fidelity_macroRecall","fidelity_macroF1","fidelity_correct","fidelity_macroPrecision_correct","fidelity_macroRecall_correct","fidelity_macroF1_correct","fidelity_incorrect","fidelity_macroPrecision_incorrect","fidelity_macroRecall_incorrect","fidelity_macroF1_incorrect","abl_model"
"haberman",1,"train","all","OptimalRules",0.990697674418605,0.96623743718593,0.96623743718593,0.96623743718593,0.987951807228916,0.95508658008658,0.95508658008658,0.95508658008658,1,1,1,1,"no_abl"
"haberman",1,"train","covered","OptimalRules",0.990476190476191,0.966172680412371,0.966172680412371,0.966172680412371,0.987730061349693,0.955022075055188,0.955022075055188,0.955022075055188,1,1,1,1,"no_abl"
"haberman",1,"train","notcovered","OptimalRules",1,1,1,1,1,1,1,1,1,1,1,1,"no_abl"
"haberman",1,"test","all","OptimalRules",0.989010989010989,0.994252873563218,0.9,0.94155427103404,1,1,1,1,0.96,0.978260869565217,0.833333333333333,0.888888888888889,"no_abl"
"haberman",1,"test","covered","OptimalRules",1,1,1,1,1,1,1,1,1,1,1,1,"no_abl"
"haberman",1,"test","notcovered","OptimalRules",0.8,0.8,0.5,0.888888888888889,NA,NA,NA,NA,0.8,0.8,0.5,0.888888888888889,"no_abl"
"haberman",1,"train","all","OPTSTEL",0.990697674418605,0.96623743718593,0.96623743718593,0.96623743718593,0.987951807228916,0.95508658008658,0.95508658008658,0.95508658008658,1,1,1,1,"no_abl"
"haberman",1,"train","covered","OPTSTEL",0.990476190476191,0.966172680412371,0.966172680412371,0.966172680412371,0.987730061349693,0.955022075055188,0.955022075055188,0.955022075055188,1,1,1,1,"no_abl"
"haberman",1,"train","notcovered","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1,"no_abl"
"haberman",1,"test","all","OPTSTEL",0.989010989010989,0.994252873563218,0.9,0.94155427103404,1,1,1,1,0.96,0.978260869565217,0.833333333333333,0.888888888888889,"no_abl"
"haberman",1,"test","covered","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1,"no_abl"
"haberman",1,"test","notcovered","OPTSTEL",0.8,0.8,0.5,0.888888888888889,NA,NA,NA,NA,0.8,0.8,0.5,0.888888888888889,"no_abl"
"haberman",1,"train","all","OptimalRules",0.990697674418605,0.96623743718593,0.96623743718593,0.96623743718593,0.987951807228916,0.95508658008658,0.95508658008658,0.95508658008658,1,1,1,1,"abl_conf"
"haberman",1,"train","covered","OptimalRules",0.990476190476191,0.966172680412371,0.966172680412371,0.966172680412371,0.987730061349693,0.955022075055188,0.955022075055188,0.955022075055188,1,1,1,1,"abl_conf"
