"data","iter","PS_rules","Opt_rules","abl_model","NA"
"haberman",1,"1","1","no_abl",NA
"haberman",1,"1","1","abl_conf",NA
"haberman",1,"1","1","abl_supp",NA
"haberman",1,"1","1","abl_length",NA
"haberman",1,"1","1","abl_mod",NA
"haberman",1,"1","1","abl_acc",NA
"haberman",1,"1","1","abl_min_cov",NA
"haberman",1,"1","1","abl_max_cov",NA
"haberman",1,"1","1","abl_overlap",NA
"haberman",1,"1","1","abl_preselect",NA
"haberman",2,"1","1","no_abl",NA
"haberman",2,"1","1","abl_conf",NA
"haberman",2,"1","2","abl_supp",NA
"haberman",2,"1","1","abl_length",NA
"haberman",2,"1","1","abl_mod",NA
"haberman",2,"1","2","abl_acc",NA
"haberman",2,"1","1","abl_min_cov",NA
"haberman",2,"1","1","abl_max_cov",NA
"haberman",2,"1","1","abl_overlap",NA
"haberman",2,"1","1","abl_preselect",NA
"haberman",3,"1","2","no_abl",NA
"haberman",3,"1","2","abl_conf",NA
"haberman",3,"1","2","abl_supp",NA
"haberman",3,"1","2","abl_length",NA
"haberman",3,"1","2","abl_mod",NA
"haberman",3,"1","2","abl_acc",NA
"haberman",3,"1","1","abl_min_cov",NA
"haberman",3,"1","2","abl_max_cov",NA
"haberman",3,"1","2","abl_overlap",NA
"haberman",3,"1","2","abl_preselect",NA
"haberman",4,"1","2","no_abl",NA
"haberman",4,"1","1","abl_conf",NA
"haberman",4,"1","2","abl_supp",NA
"haberman",4,"1","2","abl_length",NA
"haberman",4,"1","2","abl_mod",NA
"haberman",4,"1","1","abl_acc",NA
"haberman",4,"1","1","abl_min_cov",NA
"haberman",4,"1","2","abl_max_cov",NA
"haberman",4,"1","2","abl_overlap",NA
"haberman",4,"1","2","abl_preselect",NA
"haberman",5,"1","1","no_abl",NA
"haberman",5,"1","1","abl_conf",NA
"haberman",5,"1","2","abl_supp",NA
"haberman",5,"1","1","abl_length",NA
"haberman",5,"1","1","abl_mod",NA
"haberman",5,"1","2","abl_acc",NA
"haberman",5,"1","1","abl_min_cov",NA
"haberman",5,"1","1","abl_max_cov",NA
"haberman",5,"1","1","abl_overlap",NA
"haberman",5,"1","1","abl_preselect",NA
"haberman",6,"1","1","no_abl",NA
"haberman",6,"1","1","abl_conf",NA
"haberman",6,"1","1","abl_supp",NA
"haberman",6,"1","1","abl_length",NA
"haberman",6,"1","1","abl_mod",NA
"haberman",6,"1","1","abl_acc",NA
"haberman",6,"1","1","abl_min_cov",NA
"haberman",6,"1","1","abl_max_cov",NA
"haberman",6,"1","1","abl_overlap",NA
"haberman",6,"1","1","abl_preselect",NA
"haberman",7,"1","1","no_abl",NA
"haberman",7,"1","2","abl_conf",NA
"haberman",7,"1","1","abl_supp",NA
"haberman",7,"1","1","abl_length",NA
"haberman",7,"1","1","abl_mod",NA
"haberman",7,"1","1","abl_acc",NA
"haberman",7,"1","1","abl_min_cov",NA
"haberman",7,"1","1","abl_max_cov",NA
"haberman",7,"1","2","abl_overlap",NA
"haberman",7,"1","1","abl_preselect",NA
"haberman",8,"1","1","no_abl",NA
"haberman",8,"1","1","abl_conf",NA
"haberman",8,"1","1","abl_supp",NA
"haberman",8,"1","1","abl_length",NA
"haberman",8,"1","1","abl_mod",NA
"haberman",8,"1","2","abl_acc",NA
"haberman",8,"1","1","abl_min_cov",NA
"haberman",8,"1","1","abl_max_cov",NA
"haberman",8,"1","1","abl_overlap",NA
"haberman",8,"1","1","abl_preselect",NA
"haberman",9,"1","1","no_abl",NA
"haberman",9,"1","1","abl_conf",NA
"haberman",9,"1","1","abl_supp",NA
"haberman",9,"1","1","abl_length",NA
"haberman",9,"1","1","abl_mod",NA
"haberman",9,"1","1","abl_acc",NA
"haberman",9,"1","1","abl_min_cov",NA
"haberman",9,"1","1","abl_max_cov",NA
"haberman",9,"1","1","abl_overlap",NA
"haberman",9,"1","1","abl_preselect",NA
"haberman",10,"1","2","no_abl",NA
"haberman",10,"1","2","abl_conf",NA
"haberman",10,"1","2","abl_supp",NA
"haberman",10,"1","2","abl_length",NA
"haberman",10,"1","2","abl_mod",NA
"haberman",10,"1","1","abl_acc",NA
"haberman",10,"1","1","abl_min_cov",NA
"haberman",10,"1","2","abl_max_cov",NA
"haberman",10,"1","2","abl_overlap",NA
"haberman",10,"1","2","abl_preselect",NA
