"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","abl_model"
"heart",1,1.9935,6.3221,10.686,52.354,77.6275,"no_abl"
"heart",1,1.9935,6.3221,10.686,64.791,90.5246,"abl_conf"
"heart",1,1.9935,6.3221,10.686,41.591,67.1521,"abl_supp"
"heart",1,1.9935,6.3221,10.686,45.703,71.3011,"abl_length"
"heart",1,1.9935,6.3221,10.686,61.132,86.7167,"abl_mod"
"heart",1,1.9935,6.3221,10.686,1.001,26.4643,"abl_acc"
"heart",1,1.9935,6.3221,10.686,0.397,25.9579,"abl_min_cov"
"heart",1,1.9935,6.3221,10.686,163.68,189.1776,"abl_max_cov"
"heart",1,1.9935,6.3221,10.686,34.283,59.6917,"abl_overlap"
"heart",1,1.9935,4.814,46.5454,158.057,233.157,"abl_preselect"
"heart",2,1.8814,7.3645,11.0125,26.147,53.3649,"no_abl"
"heart",2,1.8814,7.3645,11.0125,41.002,68.2553,"abl_conf"
"heart",2,1.8814,7.3645,11.0125,19.471,46.3023,"abl_supp"
"heart",2,1.8814,7.3645,11.0125,23.928,50.9669,"abl_length"
"heart",2,1.8814,7.3645,11.0125,22.438,49.8493,"abl_mod"
"heart",2,1.8814,7.3645,11.0125,0.632,27.94,"abl_acc"
"heart",2,1.8814,7.3645,11.0125,0.261,27.6076,"abl_min_cov"
"heart",2,1.8814,7.3645,11.0125,55.019,82.043,"abl_max_cov"
"heart",2,1.8814,7.3645,11.0125,16.537,43.4852,"abl_overlap"
"heart",2,1.8814,4.2554,39.1336,42.739,115.8086,"abl_preselect"
"heart",3,2.0714,7.0046,11.4017,232.35,259.8202,"no_abl"
"heart",3,2.0714,7.0046,11.4017,212.289,240.0632,"abl_conf"
"heart",3,2.0714,7.0046,11.4017,64.854,92.7007,"abl_supp"
"heart",3,2.0714,7.0046,11.4017,183.187,211.0822,"abl_length"
"heart",3,2.0714,7.0046,11.4017,159.138,187.4491,"abl_mod"
"heart",3,2.0714,7.0046,11.4017,1.578,29.4827,"abl_acc"
"heart",3,2.0714,7.0046,11.4017,0.268,27.9524,"abl_min_cov"
"heart",3,2.0714,7.0046,11.4017,373.725,401.6695,"abl_max_cov"
"heart",3,2.0714,7.0046,11.4017,106.065,133.7953,"abl_overlap"
"heart",3,2.0714,5.1183,42.1903,631.442,709.8934,"abl_preselect"
"heart",4,1.8118,6.356,11.1383,62.366,89.1148,"no_abl"
"heart",4,1.8118,6.356,11.1383,154.978,181.6469,"abl_conf"
"heart",4,1.8118,6.356,11.1383,41.735,68.5994,"abl_supp"
"heart",4,1.8118,6.356,11.1383,56.582,83.0019,"abl_length"
"heart",4,1.8118,6.356,11.1383,42.575,69.1518,"abl_mod"
"heart",4,1.8118,6.356,11.1383,0.392,26.9995,"abl_acc"
"heart",4,1.8118,6.356,11.1383,0.275,26.9384,"abl_min_cov"
"heart",4,1.8118,6.356,11.1383,134.993,161.7404,"abl_max_cov"
"heart",4,1.8118,6.356,11.1383,54.104,81.1726,"abl_overlap"
"heart",4,1.8118,4.0804,39.0519,91.737,161.0321,"abl_preselect"
"heart",5,2.0682,6.7445,11.2675,126.818,154.2956,"no_abl"
"heart",5,2.0682,6.7445,11.2675,254.293,281.2974,"abl_conf"
"heart",5,2.0682,6.7445,11.2675,105.877,133.0953,"abl_supp"
"heart",5,2.0682,6.7445,11.2675,179.187,206.4036,"abl_length"
"heart",5,2.0682,6.7445,11.2675,246.472,273.9478,"abl_mod"
"heart",5,2.0682,6.7445,11.2675,1.384,28.6091,"abl_acc"
"heart",5,2.0682,6.7445,11.2675,0.274,27.7393,"abl_min_cov"
"heart",5,2.0682,6.7445,11.2675,186.917,214.2826,"abl_max_cov"
"heart",5,2.0682,6.7445,11.2675,108.425,135.6476,"abl_overlap"
"heart",5,2.0682,4.2134,37.2953,247.291,317.2061,"abl_preselect"
"heart",6,2.0749,7.2681,11.9291,67.407,96.733,"no_abl"
"heart",6,2.0749,7.2681,11.9291,67.335,96.2454,"abl_conf"
"heart",6,2.0749,7.2681,11.9291,31.531,60.6017,"abl_supp"
"heart",6,2.0749,7.2681,11.9291,27.102,55.7567,"abl_length"
"heart",6,2.0749,7.2681,11.9291,25.112,53.9134,"abl_mod"
"heart",6,2.0749,7.2681,11.9291,1.209,30.2257,"abl_acc"
"heart",6,2.0749,7.2681,11.9291,0.27,29.1763,"abl_min_cov"
"heart",6,2.0749,7.2681,11.9291,98.912,127.5272,"abl_max_cov"
"heart",6,2.0749,7.2681,11.9291,47.859,76.9202,"abl_overlap"
"heart",6,2.0749,4.7722,42.2702,47.466,124.9424,"abl_preselect"
"heart",7,2.2312,6.319,11.211,15.572,42.8838,"no_abl"
"heart",7,2.2312,6.319,11.211,25.714,52.5156,"abl_conf"
"heart",7,2.2312,6.319,11.211,12.972,40.0818,"abl_supp"
"heart",7,2.2312,6.319,11.211,16.893,44.3876,"abl_length"
"heart",7,2.2312,6.319,11.211,14.109,41.3076,"abl_mod"
"heart",7,2.2312,6.319,11.211,1.286,28.3233,"abl_acc"
"heart",7,2.2312,6.319,11.211,0.278,27.7669,"abl_min_cov"
"heart",7,2.2312,6.319,11.211,12.104,39.2455,"abl_max_cov"
"heart",7,2.2312,6.319,11.211,8.429,35.9999,"abl_overlap"
"heart",7,2.2312,4.3962,38.2195,49.352,121.9364,"abl_preselect"
"heart",8,2.0766,6.9163,11.2956,159.801,186.484,"no_abl"
"heart",8,2.0766,6.9163,11.2956,183.899,210.6524,"abl_conf"
"heart",8,2.0766,6.9163,11.2956,102.109,128.5415,"abl_supp"
"heart",8,2.0766,6.9163,11.2956,179.493,206.1273,"abl_length"
"heart",8,2.0766,6.9163,11.2956,170.03,196.5424,"abl_mod"
"heart",8,2.0766,6.9163,11.2956,1.049,27.8535,"abl_acc"
"heart",8,2.0766,6.9163,11.2956,0.176,26.7991,"abl_min_cov"
"heart",8,2.0766,6.9163,11.2956,433.767,460.2892,"abl_max_cov"
"heart",8,2.0766,6.9163,11.2956,189.09,215.5096,"abl_overlap"
"heart",8,2.0766,5.0144,44.5552,423.229,500.9694,"abl_preselect"
"heart",9,1.9157,7.1423,10.7182,111.028,136.8038,"no_abl"
"heart",9,1.9157,7.1423,10.7182,135.527,161.3079,"abl_conf"
"heart",9,1.9157,7.1423,10.7182,35.143,60.9485,"abl_supp"
"heart",9,1.9157,7.1423,10.7182,89.384,115.358,"abl_length"
"heart",9,1.9157,7.1423,10.7182,154.147,180.0416,"abl_mod"
"heart",9,1.9157,7.1423,10.7182,4.218,30.2487,"abl_acc"
"heart",9,1.9157,7.1423,10.7182,0.26,25.9629,"abl_min_cov"
"heart",9,1.9157,7.1423,10.7182,50.746,76.4331,"abl_max_cov"
"heart",9,1.9157,7.1423,10.7182,64.283,89.9244,"abl_overlap"
"heart",9,1.9157,4.3824,39.075,74.995,147.0673,"abl_preselect"
"heart",10,2.0753,6.7819,10.7265,171.777,197.6817,"no_abl"
"heart",10,2.0753,6.7819,10.7265,599.294,625.2238,"abl_conf"
"heart",10,2.0753,6.7819,10.7265,210.392,236.1813,"abl_supp"
"heart",10,2.0753,6.7819,10.7265,169.443,195.4807,"abl_length"
"heart",10,2.0753,6.7819,10.7265,412.508,438.6458,"abl_mod"
"heart",10,2.0753,6.7819,10.7265,3.293,29.3867,"abl_acc"
"heart",10,2.0753,6.7819,10.7265,0.265,26.1982,"abl_min_cov"
"heart",10,2.0753,6.7819,10.7265,277.84,303.6164,"abl_max_cov"
"heart",10,2.0753,6.7819,10.7265,131.379,157.1943,"abl_overlap"
"heart",10,2.0753,4.8759,43.0488,575.79,652.9179,"abl_preselect"
