"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","abl_model"
"heart",1,100,2429,818,14,14,"no_abl"
"heart",1,100,2429,818,14,14,"abl_conf"
"heart",1,100,2429,818,14,14,"abl_supp"
"heart",1,100,2429,818,14,14,"abl_length"
"heart",1,100,2429,818,14,14,"abl_mod"
"heart",1,100,2429,818,8,8,"abl_acc"
"heart",1,100,2429,818,1,1,"abl_min_cov"
"heart",1,100,2429,818,14,14,"abl_max_cov"
"heart",1,100,2429,818,14,14,"abl_overlap"
"heart",1,100,2429,2415,14,14,"abl_preselect"
"heart",2,100,2360,873,11,11,"no_abl"
"heart",2,100,2360,873,11,10,"abl_conf"
"heart",2,100,2360,873,11,11,"abl_supp"
"heart",2,100,2360,873,11,11,"abl_length"
"heart",2,100,2360,873,11,11,"abl_mod"
"heart",2,100,2360,873,8,7,"abl_acc"
"heart",2,100,2360,873,1,1,"abl_min_cov"
"heart",2,100,2360,873,11,10,"abl_max_cov"
"heart",2,100,2360,873,11,11,"abl_overlap"
"heart",2,100,2360,2345,11,11,"abl_preselect"
"heart",3,100,2526,894,13,13,"no_abl"
"heart",3,100,2526,894,13,13,"abl_conf"
"heart",3,100,2526,894,13,13,"abl_supp"
"heart",3,100,2526,894,13,13,"abl_length"
"heart",3,100,2526,894,13,13,"abl_mod"
"heart",3,100,2526,894,9,9,"abl_acc"
"heart",3,100,2526,894,1,1,"abl_min_cov"
"heart",3,100,2526,894,13,13,"abl_max_cov"
"heart",3,100,2526,894,13,13,"abl_overlap"
"heart",3,100,2526,2492,13,13,"abl_preselect"
"heart",4,100,2283,856,12,12,"no_abl"
"heart",4,100,2283,856,12,12,"abl_conf"
"heart",4,100,2283,856,12,12,"abl_supp"
"heart",4,100,2283,856,12,12,"abl_length"
"heart",4,100,2283,856,12,12,"abl_mod"
"heart",4,100,2283,856,8,8,"abl_acc"
"heart",4,100,2283,856,1,1,"abl_min_cov"
"heart",4,100,2283,856,12,12,"abl_max_cov"
"heart",4,100,2283,856,12,12,"abl_overlap"
"heart",4,100,2283,2254,12,12,"abl_preselect"
"heart",5,100,2273,876,13,13,"no_abl"
"heart",5,100,2273,876,13,13,"abl_conf"
"heart",5,100,2273,876,13,13,"abl_supp"
"heart",5,100,2273,876,13,13,"abl_length"
"heart",5,100,2273,876,13,13,"abl_mod"
"heart",5,100,2273,876,8,7,"abl_acc"
"heart",5,100,2273,876,1,1,"abl_min_cov"
"heart",5,100,2273,876,12,12,"abl_max_cov"
"heart",5,100,2273,876,13,13,"abl_overlap"
"heart",5,100,2273,2238,13,13,"abl_preselect"
"heart",6,100,2520,929,12,12,"no_abl"
"heart",6,100,2520,929,12,12,"abl_conf"
"heart",6,100,2520,929,12,12,"abl_supp"
"heart",6,100,2520,929,12,12,"abl_length"
"heart",6,100,2520,929,12,12,"abl_mod"
"heart",6,100,2520,929,9,8,"abl_acc"
"heart",6,100,2520,929,1,1,"abl_min_cov"
"heart",6,100,2520,929,12,12,"abl_max_cov"
"heart",6,100,2520,929,12,12,"abl_overlap"
"heart",6,100,2520,2486,12,12,"abl_preselect"
"heart",7,100,2361,871,11,11,"no_abl"
"heart",7,100,2361,871,11,11,"abl_conf"
"heart",7,100,2361,871,11,11,"abl_supp"
"heart",7,100,2361,871,11,11,"abl_length"
"heart",7,100,2361,871,11,11,"abl_mod"
"heart",7,100,2361,871,8,8,"abl_acc"
"heart",7,100,2361,871,1,1,"abl_min_cov"
"heart",7,100,2361,871,11,11,"abl_max_cov"
"heart",7,100,2361,871,11,11,"abl_overlap"
"heart",7,100,2361,2339,11,11,"abl_preselect"
"heart",8,100,2543,852,15,15,"no_abl"
"heart",8,100,2543,852,15,15,"abl_conf"
"heart",8,100,2543,852,15,15,"abl_supp"
"heart",8,100,2543,852,15,15,"abl_length"
"heart",8,100,2543,852,15,15,"abl_mod"
"heart",8,100,2543,852,10,10,"abl_acc"
"heart",8,100,2543,852,1,1,"abl_min_cov"
"heart",8,100,2543,852,15,15,"abl_max_cov"
"heart",8,100,2543,852,15,15,"abl_overlap"
"heart",8,100,2543,2521,15,14,"abl_preselect"
"heart",9,100,2358,830,13,13,"no_abl"
"heart",9,100,2358,830,13,13,"abl_conf"
"heart",9,100,2358,830,13,13,"abl_supp"
"heart",9,100,2358,830,13,13,"abl_length"
"heart",9,100,2358,830,13,13,"abl_mod"
"heart",9,100,2358,830,9,9,"abl_acc"
"heart",9,100,2358,830,1,1,"abl_min_cov"
"heart",9,100,2358,830,12,12,"abl_max_cov"
"heart",9,100,2358,830,13,13,"abl_overlap"
"heart",9,100,2358,2336,12,12,"abl_preselect"
"heart",10,100,2500,829,14,14,"no_abl"
"heart",10,100,2500,829,14,14,"abl_conf"
"heart",10,100,2500,829,14,14,"abl_supp"
"heart",10,100,2500,829,14,14,"abl_length"
"heart",10,100,2500,829,14,14,"abl_mod"
"heart",10,100,2500,829,10,8,"abl_acc"
"heart",10,100,2500,829,1,1,"abl_min_cov"
"heart",10,100,2500,829,14,14,"abl_max_cov"
"heart",10,100,2500,829,14,14,"abl_overlap"
"heart",10,100,2500,2476,14,14,"abl_preselect"
