"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr","abl_model"
"mammographic",1,0.01,0.025,0.9762,0.1441,0.1476,0.0015,"Optimal",0.356,63.4861,559,10,"no_abl"
"mammographic",1,0.01,0.025,0.9762,0.1441,0.1476,0.0015,"Optimal",0.314,64.125,559,10,"abl_conf"
"mammographic",1,0.01,0.025,0.9762,0.1441,0.1476,0.0015,"Optimal",0.329,63.2895,559,10,"abl_supp"
"mammographic",1,0.01,0.025,0.9762,0.1441,0.1476,0.0015,"Optimal",0.31,61.7717,559,10,"abl_length"
"mammographic",1,0.01,0.025,0.9762,0.1441,0.1476,0.0015,"Optimal",0.317,62.7821,559,10,"abl_mod"
"mammographic",1,0.999,0.025,0.9762,0.1441,0.1476,0.0015,"Optimal",0.268,62.1075,559,10,"abl_acc"
"mammographic",1,0.01,0.999,0.3358,0.1441,0.0752,0,"Optimal",0.514,62.5042,559,1,"abl_min_cov"
"mammographic",1,0.01,0.025,0.9762,0.1441,0.1476,0.0015,"Optimal",0.42,62.4349,559,10,"abl_max_cov"
"mammographic",1,0.01,0.025,0.9762,0.1441,0.1476,0.0015,"Optimal",0.284,62.1532,559,10,"abl_overlap"
"mammographic",1,0.01,0.025,0.9762,0.1441,0.1537,0.3151,"Optimal",3.861,347.757,3099,9,"abl_preselect"
"mammographic",2,0.01,0.025,0.9762,0.1441,0.1522,0.344,"Optimal",0.921,66.9404,590,10,"no_abl"
"mammographic",2,0.01,0.025,0.9762,0.1441,0.1522,0.3242,"Optimal",0.958,65.8854,590,10,"abl_conf"
"mammographic",2,0.01,0.025,0.9762,0.1441,0.1476,0.0472,"Optimal",1.038,66.5324,590,10,"abl_supp"
"mammographic",2,0.01,0.025,0.9762,0.1441,0.1522,0.344,"Optimal",1.203,66.5211,590,10,"abl_length"
"mammographic",2,0.01,0.025,0.9762,0.1441,0.1522,0.344,"Optimal",0.734,66.0424,590,10,"abl_mod"
"mammographic",2,0.999,0.025,0.9762,0.1441,0.1522,0.344,"Optimal",0.843,67.5759,590,10,"abl_acc"
"mammographic",2,0.01,0.999,0.3001,0.1441,0.0842,0,"Optimal",0.547,65.9292,590,1,"abl_min_cov"
"mammographic",2,0.01,0.025,0.9762,0.1441,0.1522,0.344,"Optimal",3.593,68.6057,590,10,"abl_max_cov"
"mammographic",2,0.01,0.025,0.9762,0.1441,0.1522,0.344,"Optimal",0.883,65.8792,590,10,"abl_overlap"
"mammographic",2,0.01,0.025,0.9614,0.1441,0.1623,0.323,"Optimal",18.916,348.6553,2960,5,"abl_preselect"
"mammographic",3,0.01,0.025,0.9777,0.1367,0.1413,0.1429,"Optimal",2.171,66.4977,582,10,"no_abl"
"mammographic",3,0.01,0.025,0.9762,0.1367,0.1461,0.2131,"Optimal",1.726,66.7002,582,10,"abl_conf"
"mammographic",3,0.01,0.025,0.9777,0.1367,0.1413,0.1429,"Optimal",2.734,68.396,582,10,"abl_supp"
"mammographic",3,0.01,0.025,0.9777,0.1367,0.1413,0.1429,"Optimal",2.917,67.8177,582,10,"abl_length"
"mammographic",3,0.01,0.025,0.9777,0.1367,0.1413,0.1429,"Optimal",2.29,66.9425,582,10,"abl_mod"
"mammographic",3,0.999,0.025,0.9792,0.1367,0.1593,0.2428,"Optimal",0.386,65.8323,582,9,"abl_acc"
"mammographic",3,0.01,0.999,0.2675,0.1367,0.0611,0,"Optimal",0.448,64.4218,582,1,"abl_min_cov"
