"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max","abl_model"
"mammographic",1,"OptimalRules",3.7,2,3,3.5,5,5,"no_abl"
"mammographic",1,"OPTSTEL",3.7,2,3,3.5,5,5,"no_abl"
"mammographic",1,"OptimalRules",3.7,2,3,3.5,5,5,"abl_conf"
"mammographic",1,"OPTSTEL",3.7,2,3,3.5,5,5,"abl_conf"
"mammographic",1,"OptimalRules",3.7,2,3,3.5,5,5,"abl_supp"
"mammographic",1,"OPTSTEL",3.7,2,3,3.5,5,5,"abl_supp"
"mammographic",1,"OptimalRules",3.7,2,3,3.5,5,5,"abl_length"
"mammographic",1,"OPTSTEL",3.7,2,3,3.5,5,5,"abl_length"
"mammographic",1,"OptimalRules",3.7,2,3,3.5,5,5,"abl_mod"
"mammographic",1,"OPTSTEL",3.7,2,3,3.5,5,5,"abl_mod"
"mammographic",1,"OptimalRules",3.7,2,3,3.5,5,5,"abl_acc"
"mammographic",1,"OPTSTEL",3.7,2,3,3.5,5,5,"abl_acc"
"mammographic",1,"OptimalRules",3,3,3,3,3,3,"abl_min_cov"
"mammographic",1,"OPTSTEL",3,3,3,3,3,3,"abl_min_cov"
"mammographic",1,"OptimalRules",3.7,2,3,3.5,5,5,"abl_max_cov"
"mammographic",1,"OPTSTEL",3.7,2,3,3.5,5,5,"abl_max_cov"
"mammographic",1,"OptimalRules",3.7,2,3,3.5,5,5,"abl_overlap"
"mammographic",1,"OPTSTEL",3.7,2,3,3.5,5,5,"abl_overlap"
"mammographic",1,"OptimalRules",3.44,2,3,3,4,5,"abl_preselect"
"mammographic",1,"OPTSTEL",3.38,2,3,3,4,5,"abl_preselect"
"mammographic",2,"OptimalRules",3.1,1,3,3,3.75,4,"no_abl"
"mammographic",2,"OPTSTEL",3,1,3,3,3,4,"no_abl"
"mammographic",2,"OptimalRules",3,1,3,3,3,4,"abl_conf"
"mammographic",2,"OPTSTEL",2.89,1,3,3,3,4,"abl_conf"
