"data","iter","PS_rules","Opt_rules","abl_model","NA"
"mammographic",1,"0","0","no_abl",NA
"mammographic",1,"0","0","abl_conf",NA
"mammographic",1,"0","0","abl_supp",NA
"mammographic",1,"0","0","abl_length",NA
"mammographic",1,"0","0","abl_mod",NA
"mammographic",1,"0","0","abl_acc",NA
"mammographic",1,"0","1","abl_min_cov",NA
"mammographic",1,"0","0","abl_max_cov",NA
"mammographic",1,"0","0","abl_overlap",NA
"mammographic",1,"0","0","abl_preselect",NA
"mammographic",2,"0","1","no_abl",NA
"mammographic",2,"0","1","abl_conf",NA
"mammographic",2,"0","0","abl_supp",NA
"mammographic",2,"0","1","abl_length",NA
"mammographic",2,"0","1","abl_mod",NA
"mammographic",2,"0","1","abl_acc",NA
"mammographic",2,"0","1","abl_min_cov",NA
"mammographic",2,"0","1","abl_max_cov",NA
"mammographic",2,"0","1","abl_overlap",NA
"mammographic",2,"0","0","abl_preselect",NA
"mammographic",3,"0","0","no_abl",NA
"mammographic",3,"0","0","abl_conf",NA
"mammographic",3,"0","0","abl_supp",NA
"mammographic",3,"0","0","abl_length",NA
"mammographic",3,"0","0","abl_mod",NA
"mammographic",3,"0","0","abl_acc",NA
"mammographic",3,"0","0","abl_min_cov",NA
"mammographic",3,"0","0","abl_max_cov",NA
"mammographic",3,"0","0","abl_overlap",NA
"mammographic",3,"0","0","abl_preselect",NA
"mammographic",4,"0","0","no_abl",NA
"mammographic",4,"0","0","abl_conf",NA
"mammographic",4,"0","0","abl_supp",NA
"mammographic",4,"0","0","abl_length",NA
"mammographic",4,"0","0","abl_mod",NA
"mammographic",4,"0","0","abl_acc",NA
"mammographic",4,"0","0","abl_min_cov",NA
"mammographic",4,"0","0","abl_max_cov",NA
"mammographic",4,"0","0","abl_overlap",NA
"mammographic",4,"0","0","abl_preselect",NA
"mammographic",5,"0","0","no_abl",NA
"mammographic",5,"0","0","abl_conf",NA
"mammographic",5,"0","0","abl_supp",NA
"mammographic",5,"0","0","abl_length",NA
"mammographic",5,"0","0","abl_mod",NA
"mammographic",5,"0","1","abl_acc",NA
"mammographic",5,"0","0","abl_min_cov",NA
"mammographic",5,"0","0","abl_max_cov",NA
"mammographic",5,"0","0","abl_overlap",NA
"mammographic",5,"0","0","abl_preselect",NA
"mammographic",6,"0","1","no_abl",NA
"mammographic",6,"0","1","abl_conf",NA
"mammographic",6,"0","1","abl_supp",NA
"mammographic",6,"0","1","abl_length",NA
"mammographic",6,"0","1","abl_mod",NA
"mammographic",6,"0","1","abl_acc",NA
"mammographic",6,"0","1","abl_min_cov",NA
"mammographic",6,"0","1","abl_max_cov",NA
"mammographic",6,"0","0","abl_overlap",NA
"mammographic",6,"0","0","abl_preselect",NA
"mammographic",7,"0","1","no_abl",NA
"mammographic",7,"0","0","abl_conf",NA
"mammographic",7,"0","0","abl_supp",NA
"mammographic",7,"0","1","abl_length",NA
"mammographic",7,"0","1","abl_mod",NA
"mammographic",7,"0","1","abl_acc",NA
"mammographic",7,"0","1","abl_min_cov",NA
"mammographic",7,"0","1","abl_max_cov",NA
"mammographic",7,"0","1","abl_overlap",NA
"mammographic",7,"0","1","abl_preselect",NA
"mammographic",8,"0","0","no_abl",NA
"mammographic",8,"0","0","abl_conf",NA
"mammographic",8,"0","0","abl_supp",NA
"mammographic",8,"0","0","abl_length",NA
"mammographic",8,"0","0","abl_mod",NA
"mammographic",8,"0","0","abl_acc",NA
"mammographic",8,"0","1","abl_min_cov",NA
"mammographic",8,"0","0","abl_max_cov",NA
"mammographic",8,"0","0","abl_overlap",NA
"mammographic",8,"0","0","abl_preselect",NA
"mammographic",9,"0","1","no_abl",NA
"mammographic",9,"0","1","abl_conf",NA
"mammographic",9,"0","1","abl_supp",NA
"mammographic",9,"0","1","abl_length",NA
"mammographic",9,"0","1","abl_mod",NA
"mammographic",9,"0","1","abl_acc",NA
"mammographic",9,"0","1","abl_min_cov",NA
"mammographic",9,"0","1","abl_max_cov",NA
"mammographic",9,"0","1","abl_overlap",NA
"mammographic",9,"0","1","abl_preselect",NA
"mammographic",10,"0","0","no_abl",NA
"mammographic",10,"0","0","abl_conf",NA
"mammographic",10,"0","0","abl_supp",NA
"mammographic",10,"0","0","abl_length",NA
"mammographic",10,"0","0","abl_mod",NA
"mammographic",10,"0","0","abl_acc",NA
"mammographic",10,"0","1","abl_min_cov",NA
"mammographic",10,"0","0","abl_max_cov",NA
"mammographic",10,"0","0","abl_overlap",NA
"mammographic",10,"0","1","abl_preselect",NA
