"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr","abl_model"
"newthyroid",1,0.01,0.025,0.98,0.04,0.0476,0.4966,"Optimal",0.356,8.4533,324,5,"no_abl"
"newthyroid",1,0.01,0.025,0.98,0.04,0.0476,0.4966,"Optimal",0.407,8.4486,324,5,"abl_conf"
"newthyroid",1,0.01,0.025,0.98,0.04,0.0476,0.4966,"Optimal",0.235,8.3393,324,5,"abl_supp"
"newthyroid",1,0.01,0.025,0.98,0.04,0.0476,0.4966,"Optimal",0.439,8.5036,324,5,"abl_length"
"newthyroid",1,0.01,0.025,0.98,0.04,0.0476,0.4966,"Optimal",0.28,8.2569,324,5,"abl_mod"
"newthyroid",1,0.999,0.025,0.98,0.04,0.068,0.415,"Optimal",0.075,8.0619,324,4,"abl_acc"
"newthyroid",1,0.01,0.999,0.6733,0.04,0.0495,0,"Optimal",0.073,8.0566,324,1,"abl_min_cov"
"newthyroid",1,0.01,0.025,0.98,0.04,0.0476,0.4966,"Optimal",0.268,8.3162,324,5,"abl_max_cov"
"newthyroid",1,0.01,0.025,0.98,0.04,0.0476,0.6599,"Optimal",0.206,8.2994,324,5,"abl_overlap"
"newthyroid",1,0.01,0.025,0.98,0.04,0.0476,0.4966,"Optimal",0.982,28.8489,1113,5,"abl_preselect"
"newthyroid",2,0.01,0.025,0.9867,0.04,0.0473,0.5,"Optimal",0.551,7.4006,276,6,"no_abl"
"newthyroid",2,0.01,0.025,0.98,0.04,0.0476,0.4966,"Optimal",0.409,7.3296,276,6,"abl_conf"
"newthyroid",2,0.01,0.025,0.98,0.04,0.0408,0.3946,"Optimal",0.682,7.5789,276,6,"abl_supp"
"newthyroid",2,0.01,0.025,0.9867,0.04,0.0473,0.5,"Optimal",0.625,7.4974,276,6,"abl_length"
"newthyroid",2,0.01,0.025,0.9867,0.04,0.0473,0.5,"Optimal",0.594,7.5598,276,6,"abl_mod"
"newthyroid",2,0.999,0.025,0.98,0.04,0.0884,0,"Optimal",0.064,6.9676,276,4,"abl_acc"
"newthyroid",2,0.01,0.999,0.5467,0.04,0.0366,0,"Optimal",0.057,6.9615,276,1,"abl_min_cov"
"newthyroid",2,0.01,0.025,0.9867,0.04,0.0473,0.5,"Optimal",0.89,7.7973,276,6,"abl_max_cov"
"newthyroid",2,0.01,0.025,0.9867,0.04,0.0473,0.5068,"Optimal",0.63,7.5081,276,6,"abl_overlap"
"newthyroid",2,0.01,0.025,0.9867,0.04,0.0473,0.5,"Optimal",0.9,26.4206,1028,6,"abl_preselect"
"newthyroid",3,0.01,0.025,0.98,0.0467,0.0544,0.4626,"Optimal",0.47,8.5434,327,6,"no_abl"
"newthyroid",3,0.01,0.025,0.98,0.0467,0.0544,0.4626,"Optimal",0.437,8.5004,327,6,"abl_conf"
"newthyroid",3,0.01,0.025,0.98,0.0467,0.0544,0.4626,"Optimal",0.27,8.4922,327,6,"abl_supp"
"newthyroid",3,0.01,0.025,0.98,0.0467,0.0544,0.4626,"Optimal",0.42,8.5982,327,6,"abl_length"
"newthyroid",3,0.01,0.025,0.98,0.0467,0.0544,0.4626,"Optimal",0.346,8.5061,327,6,"abl_mod"
"newthyroid",3,0.999,0.025,0.98,0.0467,0.0884,0.4354,"Optimal",0.198,8.3453,327,5,"abl_acc"
"newthyroid",3,0.01,0.999,0.5867,0.0467,0.0341,0,"Optimal",0.131,8.254,327,1,"abl_min_cov"
"newthyroid",3,0.01,0.025,0.98,0.0467,0.0544,0.4626,"Optimal",0.485,8.5186,327,6,"abl_max_cov"
"newthyroid",3,0.01,0.025,0.98,0.0467,0.0544,0.585,"Optimal",0.309,8.4898,327,6,"abl_overlap"
