"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","abl_model"
"newthyroid",1,1.1136,2.7234,4.2138,0.356,8.4533,"no_abl"
"newthyroid",1,1.1136,2.7234,4.2138,0.407,8.4486,"abl_conf"
"newthyroid",1,1.1136,2.7234,4.2138,0.235,8.3393,"abl_supp"
"newthyroid",1,1.1136,2.7234,4.2138,0.439,8.5036,"abl_length"
"newthyroid",1,1.1136,2.7234,4.2138,0.28,8.2569,"abl_mod"
"newthyroid",1,1.1136,2.7234,4.2138,0.075,8.0619,"abl_acc"
"newthyroid",1,1.1136,2.7234,4.2138,0.073,8.0566,"abl_min_cov"
"newthyroid",1,1.1136,2.7234,4.2138,0.268,8.3162,"abl_max_cov"
"newthyroid",1,1.1136,2.7234,4.2138,0.206,8.2994,"abl_overlap"
"newthyroid",1,1.1136,1.1621,14.3212,0.982,28.8489,"abl_preselect"
"newthyroid",2,1.0818,2.5896,3.5878,0.551,7.4006,"no_abl"
"newthyroid",2,1.0818,2.5896,3.5878,0.409,7.3296,"abl_conf"
"newthyroid",2,1.0818,2.5896,3.5878,0.682,7.5789,"abl_supp"
"newthyroid",2,1.0818,2.5896,3.5878,0.625,7.4974,"abl_length"
"newthyroid",2,1.0818,2.5896,3.5878,0.594,7.5598,"abl_mod"
"newthyroid",2,1.0818,2.5896,3.5878,0.064,6.9676,"abl_acc"
"newthyroid",2,1.0818,2.5896,3.5878,0.057,6.9615,"abl_min_cov"
"newthyroid",2,1.0818,2.5896,3.5878,0.89,7.7973,"abl_max_cov"
"newthyroid",2,1.0818,2.5896,3.5878,0.63,7.5081,"abl_overlap"
"newthyroid",2,1.0818,1.0708,13.1585,0.9,26.4206,"abl_preselect"
"newthyroid",3,1.2835,2.9611,4.2078,0.47,8.5434,"no_abl"
"newthyroid",3,1.2835,2.9611,4.2078,0.437,8.5004,"abl_conf"
"newthyroid",3,1.2835,2.9611,4.2078,0.27,8.4922,"abl_supp"
"newthyroid",3,1.2835,2.9611,4.2078,0.42,8.5982,"abl_length"
"newthyroid",3,1.2835,2.9611,4.2078,0.346,8.5061,"abl_mod"
"newthyroid",3,1.2835,2.9611,4.2078,0.198,8.3453,"abl_acc"
"newthyroid",3,1.2835,2.9611,4.2078,0.131,8.254,"abl_min_cov"
"newthyroid",3,1.2835,2.9611,4.2078,0.485,8.5186,"abl_max_cov"
"newthyroid",3,1.2835,2.9611,4.2078,0.309,8.4898,"abl_overlap"
"newthyroid",3,1.2835,1.3022,15.8988,0.785,31.6946,"abl_preselect"
"newthyroid",4,0.9991,2.5537,3.837,0.542,7.8641,"no_abl"
"newthyroid",4,0.9991,2.5537,3.837,0.437,7.8728,"abl_conf"
"newthyroid",4,0.9991,2.5537,3.837,0.504,7.9616,"abl_supp"
"newthyroid",4,0.9991,2.5537,3.837,0.666,8.0271,"abl_length"
"newthyroid",4,0.9991,2.5537,3.837,0.361,7.7377,"abl_mod"
