"data","iter","pred_set","pred_sub_set","method","fidelity","fidelity_macroPrecision","fidelity_macroRecall","fidelity_macroF1","fidelity_correct","fidelity_macroPrecision_correct","fidelity_macroRecall_correct","fidelity_macroF1_correct","fidelity_incorrect","fidelity_macroPrecision_incorrect","fidelity_macroRecall_incorrect","fidelity_macroF1_incorrect","abl_model"
"newthyroid",1,"train","all","OptimalRules",0.973333333333333,0.988200589970501,0.934920634920635,0.959783467678205,0.979166666666667,0.990654205607477,0.95,0.969169795310978,0.833333333333333,0.833333333333333,0.5,0.909090909090909,"no_abl"
"newthyroid",1,"train","covered","OptimalRules",0.986394557823129,0.993939393939394,0.965789473684211,0.979385878468447,0.985915492957746,0.993650793650794,0.965789473684211,0.979238854238854,1,1,1,1,"no_abl"
"newthyroid",1,"train","notcovered","OptimalRules",0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.666666666666667,0,0,0,NA,"no_abl"
"newthyroid",1,"test","all","OptimalRules",0.969230769230769,0.986111111111111,0.924603174603175,0.952774022154226,0.983333333333333,0.992424242424242,0.952380952380952,0.970527556734453,0.8,0.875,0.75,0.761904761904762,"no_abl"
"newthyroid",1,"test","covered","OptimalRules",0.984126984126984,0.992753623188406,0.972222222222222,0.981844242713808,1,1,1,1,0.75,0.833333333333333,0.75,0.733333333333333,"no_abl"
"newthyroid",1,"test","notcovered","OptimalRules",0.5,0.5,0.5,0.666666666666667,0,0,0,NA,1,1,1,1,"no_abl"
"newthyroid",1,"train","all","OPTSTEL",0.973333333333333,0.988200589970501,0.934920634920635,0.959783467678205,0.979166666666667,0.990654205607477,0.95,0.969169795310978,0.833333333333333,0.833333333333333,0.5,0.909090909090909,"no_abl"
"newthyroid",1,"train","covered","OPTSTEL",0.986394557823129,0.993939393939394,0.965789473684211,0.979385878468447,0.985915492957746,0.993650793650794,0.965789473684211,0.979238854238854,1,1,1,1,"no_abl"
"newthyroid",1,"train","notcovered","OPTSTEL",0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.666666666666667,0,0,0,NA,"no_abl"
"newthyroid",1,"test","all","OPTSTEL",0.984615384615385,0.99290780141844,0.952380952380952,0.970774744968293,0.983333333333333,0.992424242424242,0.952380952380952,0.970527556734453,1,1,1,1,"no_abl"
"newthyroid",1,"test","covered","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1,"no_abl"
"newthyroid",1,"test","notcovered","OPTSTEL",0.5,0.5,0.5,0.666666666666667,0,0,0,NA,1,1,1,1,"no_abl"
"newthyroid",1,"train","all","OptimalRules",0.973333333333333,0.988200589970501,0.934920634920635,0.959783467678205,0.979166666666667,0.990654205607477,0.95,0.969169795310978,0.833333333333333,0.833333333333333,0.5,0.909090909090909,"abl_conf"
"newthyroid",1,"train","covered","OptimalRules",0.986394557823129,0.993939393939394,0.965789473684211,0.979385878468447,0.985915492957746,0.993650793650794,0.965789473684211,0.979238854238854,1,1,1,1,"abl_conf"
"newthyroid",1,"train","notcovered","OptimalRules",0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.666666666666667,0,0,0,NA,"abl_conf"
"newthyroid",1,"test","all","OptimalRules",0.969230769230769,0.986111111111111,0.924603174603175,0.952774022154226,0.983333333333333,0.992424242424242,0.952380952380952,0.970527556734453,0.8,0.875,0.75,0.761904761904762,"abl_conf"
"newthyroid",1,"test","covered","OptimalRules",0.984126984126984,0.992753623188406,0.972222222222222,0.981844242713808,1,1,1,1,0.75,0.833333333333333,0.75,0.733333333333333,"abl_conf"
"newthyroid",1,"test","notcovered","OptimalRules",0.5,0.5,0.5,0.666666666666667,0,0,0,NA,1,1,1,1,"abl_conf"
"newthyroid",1,"train","all","OPTSTEL",0.973333333333333,0.988200589970501,0.934920634920635,0.959783467678205,0.979166666666667,0.990654205607477,0.95,0.969169795310978,0.833333333333333,0.833333333333333,0.5,0.909090909090909,"abl_conf"
"newthyroid",1,"train","covered","OPTSTEL",0.986394557823129,0.993939393939394,0.965789473684211,0.979385878468447,0.985915492957746,0.993650793650794,0.965789473684211,0.979238854238854,1,1,1,1,"abl_conf"
"newthyroid",1,"train","notcovered","OPTSTEL",0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.666666666666667,0,0,0,NA,"abl_conf"
"newthyroid",1,"test","all","OPTSTEL",0.984615384615385,0.99290780141844,0.952380952380952,0.970774744968293,0.983333333333333,0.992424242424242,0.952380952380952,0.970527556734453,1,1,1,1,"abl_conf"
"newthyroid",1,"test","covered","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1,"abl_conf"
"newthyroid",1,"test","notcovered","OPTSTEL",0.5,0.5,0.5,0.666666666666667,0,0,0,NA,1,1,1,1,"abl_conf"
"newthyroid",1,"train","all","OptimalRules",0.973333333333333,0.988200589970501,0.934920634920635,0.959783467678205,0.979166666666667,0.990654205607477,0.95,0.969169795310978,0.833333333333333,0.833333333333333,0.5,0.909090909090909,"abl_supp"
"newthyroid",1,"train","covered","OptimalRules",0.986394557823129,0.993939393939394,0.965789473684211,0.979385878468447,0.985915492957746,0.993650793650794,0.965789473684211,0.979238854238854,1,1,1,1,"abl_supp"
"newthyroid",1,"train","notcovered","OptimalRules",0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.666666666666667,0,0,0,NA,"abl_supp"
"newthyroid",1,"test","all","OptimalRules",0.969230769230769,0.986111111111111,0.924603174603175,0.952774022154226,0.983333333333333,0.992424242424242,0.952380952380952,0.970527556734453,0.8,0.875,0.75,0.761904761904762,"abl_supp"
"newthyroid",1,"test","covered","OptimalRules",0.984126984126984,0.992753623188406,0.972222222222222,0.981844242713808,1,1,1,1,0.75,0.833333333333333,0.75,0.733333333333333,"abl_supp"
"newthyroid",1,"test","notcovered","OptimalRules",0.5,0.5,0.5,0.666666666666667,0,0,0,NA,1,1,1,1,"abl_supp"
"newthyroid",1,"train","all","OPTSTEL",0.973333333333333,0.988200589970501,0.934920634920635,0.959783467678205,0.979166666666667,0.990654205607477,0.95,0.969169795310978,0.833333333333333,0.833333333333333,0.5,0.909090909090909,"abl_supp"
"newthyroid",1,"train","covered","OPTSTEL",0.986394557823129,0.993939393939394,0.965789473684211,0.979385878468447,0.985915492957746,0.993650793650794,0.965789473684211,0.979238854238854,1,1,1,1,"abl_supp"
"newthyroid",1,"train","notcovered","OPTSTEL",0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.666666666666667,0,0,0,NA,"abl_supp"
"newthyroid",1,"test","all","OPTSTEL",0.984615384615385,0.99290780141844,0.952380952380952,0.970774744968293,0.983333333333333,0.992424242424242,0.952380952380952,0.970527556734453,1,1,1,1,"abl_supp"
"newthyroid",1,"test","covered","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1,"abl_supp"
"newthyroid",1,"test","notcovered","OPTSTEL",0.5,0.5,0.5,0.666666666666667,0,0,0,NA,1,1,1,1,"abl_supp"
"newthyroid",1,"train","all","OptimalRules",0.973333333333333,0.988200589970501,0.934920634920635,0.959783467678205,0.979166666666667,0.990654205607477,0.95,0.969169795310978,0.833333333333333,0.833333333333333,0.5,0.909090909090909,"abl_length"
"newthyroid",1,"train","covered","OptimalRules",0.986394557823129,0.993939393939394,0.965789473684211,0.979385878468447,0.985915492957746,0.993650793650794,0.965789473684211,0.979238854238854,1,1,1,1,"abl_length"
"newthyroid",1,"train","notcovered","OptimalRules",0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.666666666666667,0,0,0,NA,"abl_length"
"newthyroid",1,"test","all","OptimalRules",0.969230769230769,0.986111111111111,0.924603174603175,0.952774022154226,0.983333333333333,0.992424242424242,0.952380952380952,0.970527556734453,0.8,0.875,0.75,0.761904761904762,"abl_length"
"newthyroid",1,"test","covered","OptimalRules",0.984126984126984,0.992753623188406,0.972222222222222,0.981844242713808,1,1,1,1,0.75,0.833333333333333,0.75,0.733333333333333,"abl_length"
"newthyroid",1,"test","notcovered","OptimalRules",0.5,0.5,0.5,0.666666666666667,0,0,0,NA,1,1,1,1,"abl_length"
"newthyroid",1,"train","all","OPTSTEL",0.973333333333333,0.988200589970501,0.934920634920635,0.959783467678205,0.979166666666667,0.990654205607477,0.95,0.969169795310978,0.833333333333333,0.833333333333333,0.5,0.909090909090909,"abl_length"
"newthyroid",1,"train","covered","OPTSTEL",0.986394557823129,0.993939393939394,0.965789473684211,0.979385878468447,0.985915492957746,0.993650793650794,0.965789473684211,0.979238854238854,1,1,1,1,"abl_length"
"newthyroid",1,"train","notcovered","OPTSTEL",0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.666666666666667,0,0,0,NA,"abl_length"
"newthyroid",1,"test","all","OPTSTEL",0.984615384615385,0.99290780141844,0.952380952380952,0.970774744968293,0.983333333333333,0.992424242424242,0.952380952380952,0.970527556734453,1,1,1,1,"abl_length"
"newthyroid",1,"test","covered","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1,"abl_length"
"newthyroid",1,"test","notcovered","OPTSTEL",0.5,0.5,0.5,0.666666666666667,0,0,0,NA,1,1,1,1,"abl_length"
"newthyroid",1,"train","all","OptimalRules",0.973333333333333,0.988200589970501,0.934920634920635,0.959783467678205,0.979166666666667,0.990654205607477,0.95,0.969169795310978,0.833333333333333,0.833333333333333,0.5,0.909090909090909,"abl_mod"
"newthyroid",1,"train","covered","OptimalRules",0.986394557823129,0.993939393939394,0.965789473684211,0.979385878468447,0.985915492957746,0.993650793650794,0.965789473684211,0.979238854238854,1,1,1,1,"abl_mod"
