"data","iter","PS_rules","Opt_rules","abl_model","NA"
"newthyroid",1,"1","1","no_abl",NA
"newthyroid",1,"1","1","abl_conf",NA
"newthyroid",1,"1","1","abl_supp",NA
"newthyroid",1,"1","1","abl_length",NA
"newthyroid",1,"1","1","abl_mod",NA
"newthyroid",1,"1","2","abl_acc",NA
"newthyroid",1,"1","2","abl_min_cov",NA
"newthyroid",1,"1","1","abl_max_cov",NA
"newthyroid",1,"1","1","abl_overlap",NA
"newthyroid",1,"1","1","abl_preselect",NA
"newthyroid",2,"1","1","no_abl",NA
"newthyroid",2,"1","3","abl_conf",NA
"newthyroid",2,"1","1","abl_supp",NA
"newthyroid",2,"1","1","abl_length",NA
"newthyroid",2,"1","1","abl_mod",NA
"newthyroid",2,"1","1","abl_acc",NA
"newthyroid",2,"1","1","abl_min_cov",NA
"newthyroid",2,"1","1","abl_max_cov",NA
"newthyroid",2,"1","1","abl_overlap",NA
"newthyroid",2,"1","1","abl_preselect",NA
"newthyroid",3,"1","1","no_abl",NA
"newthyroid",3,"1","1","abl_conf",NA
"newthyroid",3,"1","1","abl_supp",NA
"newthyroid",3,"1","1","abl_length",NA
"newthyroid",3,"1","1","abl_mod",NA
"newthyroid",3,"1","1","abl_acc",NA
"newthyroid",3,"1","2","abl_min_cov",NA
"newthyroid",3,"1","1","abl_max_cov",NA
"newthyroid",3,"1","1","abl_overlap",NA
"newthyroid",3,"1","1","abl_preselect",NA
"newthyroid",4,"1","1","no_abl",NA
"newthyroid",4,"1","1","abl_conf",NA
"newthyroid",4,"1","2","abl_supp",NA
"newthyroid",4,"1","1","abl_length",NA
"newthyroid",4,"1","1","abl_mod",NA
"newthyroid",4,"1","1","abl_acc",NA
"newthyroid",4,"1","1","abl_min_cov",NA
"newthyroid",4,"1","1","abl_max_cov",NA
"newthyroid",4,"1","2","abl_overlap",NA
"newthyroid",4,"1","2","abl_preselect",NA
"newthyroid",5,"1","2","no_abl",NA
"newthyroid",5,"1","2","abl_conf",NA
"newthyroid",5,"1","1","abl_supp",NA
"newthyroid",5,"1","2","abl_length",NA
"newthyroid",5,"1","2","abl_mod",NA
"newthyroid",5,"1","2","abl_acc",NA
"newthyroid",5,"1","2","abl_min_cov",NA
"newthyroid",5,"1","2","abl_max_cov",NA
"newthyroid",5,"1","3","abl_overlap",NA
"newthyroid",5,"1","2","abl_preselect",NA
"newthyroid",6,"1","2","no_abl",NA
"newthyroid",6,"1","3","abl_conf",NA
"newthyroid",6,"1","1","abl_supp",NA
"newthyroid",6,"1","2","abl_length",NA
"newthyroid",6,"1","2","abl_mod",NA
"newthyroid",6,"1","1","abl_acc",NA
"newthyroid",6,"1","2","abl_min_cov",NA
"newthyroid",6,"1","2","abl_max_cov",NA
"newthyroid",6,"1","1","abl_overlap",NA
"newthyroid",6,"1","2","abl_preselect",NA
"newthyroid",7,"1","1","no_abl",NA
"newthyroid",7,"1","1","abl_conf",NA
"newthyroid",7,"1","1","abl_supp",NA
"newthyroid",7,"1","1","abl_length",NA
"newthyroid",7,"1","1","abl_mod",NA
"newthyroid",7,"1","2","abl_acc",NA
"newthyroid",7,"1","2","abl_min_cov",NA
"newthyroid",7,"1","1","abl_max_cov",NA
"newthyroid",7,"1","1","abl_overlap",NA
"newthyroid",7,"1","1","abl_preselect",NA
"newthyroid",8,"1","1","no_abl",NA
"newthyroid",8,"1","2","abl_conf",NA
"newthyroid",8,"1","1","abl_supp",NA
"newthyroid",8,"1","1","abl_length",NA
"newthyroid",8,"1","1","abl_mod",NA
"newthyroid",8,"1","2","abl_acc",NA
"newthyroid",8,"1","2","abl_min_cov",NA
"newthyroid",8,"1","1","abl_max_cov",NA
"newthyroid",8,"1","1","abl_overlap",NA
"newthyroid",8,"1","1","abl_preselect",NA
"newthyroid",9,"1","1","no_abl",NA
"newthyroid",9,"1","1","abl_conf",NA
"newthyroid",9,"1","1","abl_supp",NA
"newthyroid",9,"1","1","abl_length",NA
"newthyroid",9,"1","1","abl_mod",NA
"newthyroid",9,"1","2","abl_acc",NA
"newthyroid",9,"1","2","abl_min_cov",NA
"newthyroid",9,"1","1","abl_max_cov",NA
"newthyroid",9,"1","1","abl_overlap",NA
"newthyroid",9,"1","1","abl_preselect",NA
"newthyroid",10,"1","1","no_abl",NA
"newthyroid",10,"1","1","abl_conf",NA
"newthyroid",10,"1","1","abl_supp",NA
"newthyroid",10,"1","1","abl_length",NA
"newthyroid",10,"1","1","abl_mod",NA
"newthyroid",10,"1","2","abl_acc",NA
"newthyroid",10,"1","1","abl_min_cov",NA
"newthyroid",10,"1","1","abl_max_cov",NA
"newthyroid",10,"1","1","abl_overlap",NA
"newthyroid",10,"1","1","abl_preselect",NA
