"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max","abl_model"
"titatnic",1,"OptimalRules",1.67,1,1.5,2,2,2,"no_abl"
"titatnic",1,"OPTSTEL",1.67,1,1.5,2,2,2,"no_abl"
"titatnic",1,"OptimalRules",1.67,1,1.5,2,2,2,"abl_conf"
"titatnic",1,"OPTSTEL",2,2,2,2,2,2,"abl_conf"
"titatnic",1,"OptimalRules",1.67,1,1.5,2,2,2,"abl_supp"
"titatnic",1,"OPTSTEL",1.67,1,1.5,2,2,2,"abl_supp"
"titatnic",1,"OptimalRules",1.67,1,1.5,2,2,2,"abl_length"
"titatnic",1,"OPTSTEL",1.67,1,1.5,2,2,2,"abl_length"
"titatnic",1,"OptimalRules",1.67,1,1.5,2,2,2,"abl_mod"
"titatnic",1,"OPTSTEL",1.67,1,1.5,2,2,2,"abl_mod"
"titatnic",1,"OptimalRules",1.5,1,1.25,1.5,1.75,2,"abl_acc"
"titatnic",1,"OPTSTEL",1.5,1,1.25,1.5,1.75,2,"abl_acc"
"titatnic",1,"OptimalRules",2,2,2,2,2,2,"abl_min_cov"
"titatnic",1,"OPTSTEL",2,2,2,2,2,2,"abl_min_cov"
"titatnic",1,"OptimalRules",1.67,1,1.5,2,2,2,"abl_max_cov"
"titatnic",1,"OPTSTEL",1.67,1,1.5,2,2,2,"abl_max_cov"
"titatnic",1,"OptimalRules",1.67,1,1.5,2,2,2,"abl_overlap"
"titatnic",1,"OPTSTEL",1.67,1,1.5,2,2,2,"abl_overlap"
"titatnic",1,"OptimalRules",1.33,1,1,1,1.5,2,"abl_preselect"
"titatnic",1,"OPTSTEL",1.33,1,1,1,1.5,2,"abl_preselect"
"titatnic",2,"OptimalRules",1.67,1,1.5,2,2,2,"no_abl"
"titatnic",2,"OPTSTEL",1.67,1,1.5,2,2,2,"no_abl"
"titatnic",2,"OptimalRules",1.67,1,1.5,2,2,2,"abl_conf"
"titatnic",2,"OPTSTEL",2,2,2,2,2,2,"abl_conf"
"titatnic",2,"OptimalRules",1.67,1,1.5,2,2,2,"abl_supp"
"titatnic",2,"OPTSTEL",1.67,1,1.5,2,2,2,"abl_supp"
"titatnic",2,"OptimalRules",1.67,1,1.5,2,2,2,"abl_length"
"titatnic",2,"OPTSTEL",1.67,1,1.5,2,2,2,"abl_length"
"titatnic",2,"OptimalRules",1.67,1,1.5,2,2,2,"abl_mod"
"titatnic",2,"OPTSTEL",1.67,1,1.5,2,2,2,"abl_mod"
"titatnic",2,"OptimalRules",1.5,1,1.25,1.5,1.75,2,"abl_acc"
"titatnic",2,"OPTSTEL",1.5,1,1.25,1.5,1.75,2,"abl_acc"
"titatnic",2,"OptimalRules",2,2,2,2,2,2,"abl_min_cov"
"titatnic",2,"OPTSTEL",2,2,2,2,2,2,"abl_min_cov"
"titatnic",2,"OptimalRules",1.67,1,1.5,2,2,2,"abl_max_cov"
"titatnic",2,"OPTSTEL",1.67,1,1.5,2,2,2,"abl_max_cov"
"titatnic",2,"OptimalRules",1.67,1,1.5,2,2,2,"abl_overlap"
"titatnic",2,"OPTSTEL",1.67,1,1.5,2,2,2,"abl_overlap"
"titatnic",2,"OptimalRules",1.5,1,1.25,1.5,1.75,2,"abl_preselect"
"titatnic",2,"OPTSTEL",1.5,1,1.25,1.5,1.75,2,"abl_preselect"
"titatnic",3,"OptimalRules",1.67,1,1.5,2,2,2,"no_abl"
"titatnic",3,"OPTSTEL",1.67,1,1.5,2,2,2,"no_abl"
"titatnic",3,"OptimalRules",1.67,1,1.5,2,2,2,"abl_conf"
"titatnic",3,"OPTSTEL",2,2,2,2,2,2,"abl_conf"
"titatnic",3,"OptimalRules",1.67,1,1.5,2,2,2,"abl_supp"
"titatnic",3,"OPTSTEL",1.67,1,1.5,2,2,2,"abl_supp"
"titatnic",3,"OptimalRules",1.67,1,1.5,2,2,2,"abl_length"
"titatnic",3,"OPTSTEL",1.67,1,1.5,2,2,2,"abl_length"
"titatnic",3,"OptimalRules",1.67,1,1.5,2,2,2,"abl_mod"
"titatnic",3,"OPTSTEL",1.67,1,1.5,2,2,2,"abl_mod"
"titatnic",3,"OptimalRules",1.5,1,1.25,1.5,1.75,2,"abl_acc"
"titatnic",3,"OPTSTEL",1.5,1,1.25,1.5,1.75,2,"abl_acc"
"titatnic",3,"OptimalRules",2,2,2,2,2,2,"abl_min_cov"
"titatnic",3,"OPTSTEL",2,2,2,2,2,2,"abl_min_cov"
"titatnic",3,"OptimalRules",1.67,1,1.5,2,2,2,"abl_max_cov"
"titatnic",3,"OPTSTEL",1.67,1,1.5,2,2,2,"abl_max_cov"
"titatnic",3,"OptimalRules",1.67,1,1.5,2,2,2,"abl_overlap"
