"data","iter","id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used","abl_model"
"vertebral",1,48,0.990291262135922,0.474654377880184,0.980952380952381,1,2,0.166666666666667,0.117647058823529,"X[,6] %in% c('(16.1,32.3]','(32.3, Inf]')","'SL'","V6","no_abl"
"vertebral",1,49,0.78125,0.147465437788018,0.457142857142857,4,8,0.666666666666667,0.470588235294118,"X[,2] %in% c('(5.19,16.7]') & X[,3] %in% c('(28.9,46]') & X[,5] %in% c('(-Inf,85.3]','(116,137]','(137, Inf]') & X[,6] %in% c('(-Inf,-0.092]','(-0.092,15.5]','(15.5,16.1]')","'NO'","V2,V3,V5,V6","no_abl"
"vertebral",1,52,0.727272727272727,0.0506912442396313,0.157142857142857,4,8,0.666666666666667,0.470588235294118,"X[,2] %in% c('(16.7,28.7]') & X[,3] %in% c('(46,66.8]','(66.8, Inf]') & X[,4] %in% c('(-Inf,16.4]','(27.9,36]','(36,55]','(55, Inf]') & X[,6] %in% c('(-0.092,15.5]')","'NO'","V2,V3,V4,V6","no_abl"
"vertebral",1,114,0.916666666666667,0.0552995391705069,0.285714285714286,3,7,0.5,0.411764705882353,"X[,2] %in% c('(-Inf,5.19]','(16.7,28.7]','(28.7, Inf]') & X[,4] %in% c('(-Inf,16.4]','(16.4,27.9]') & X[,6] %in% c('(-Inf,-0.092]','(-0.092,15.5]')","'DH'","V2,V4,V6","no_abl"
"vertebral",1,172,0.923076923076923,0.0599078341013825,0.185714285714286,4,9,0.666666666666667,0.529411764705882,"X[,1] %in% c('(-Inf,37]','(54.2,75]','(75, Inf]') & X[,2] %in% c('(-Inf,5.19]','(5.19,16.7]') & X[,4] %in% c('(36,55]','(55, Inf]') & X[,6] %in% c('(-Inf,-0.092]','(-0.092,15.5]')","'NO'","V1,V2,V4,V6","no_abl"
"vertebral",1,239,0.833333333333333,0.0552995391705069,0.285714285714286,3,5,0.5,0.294117647058824,"X[,2] %in% c('(16.7,28.7]','(28.7, Inf]') & X[,3] %in% c('(-Inf,28.9]','(28.9,46]') & X[,6] %in% c('(-0.092,15.5]')","'DH'","V2,V3,V6","no_abl"
"vertebral",1,259,0.928571428571429,0.0645161290322581,0.2,4,8,0.666666666666667,0.470588235294118,"X[,2] %in% c('(-Inf,5.19]','(5.19,16.7]') & X[,3] %in% c('(-Inf,28.9]','(46,66.8]','(66.8, Inf]') & X[,5] %in% c('(116,137]','(137, Inf]') & X[,6] %in% c('(-0.092,15.5]')","'NO'","V2,V3,V5,V6","no_abl"
"vertebral",1,432,0.863636363636364,0.101382488479263,0.314285714285714,4,9,0.666666666666667,0.529411764705882,"X[,1] %in% c('(37,54.2]','(54.2,75]') & X[,3] %in% c('(46,66.8]','(66.8, Inf]') & X[,4] %in% c('(-Inf,16.4]','(36,55]','(55, Inf]') & X[,6] %in% c('(-Inf,-0.092]','(-0.092,15.5]')","'NO'","V1,V3,V4,V6","no_abl"
"vertebral",1,464,1,0.0368663594470046,0.114285714285714,4,9,0.666666666666667,0.529411764705882,"X[,1] %in% c('(-Inf,37]','(37,54.2]') & X[,2] %in% c('(-Inf,5.19]','(16.7,28.7]','(28.7, Inf]') & X[,4] %in% c('(27.9,36]','(36,55]','(55, Inf]') & X[,6] %in% c('(-Inf,-0.092]')","'NO'","V1,V2,V4,V6","no_abl"
"vertebral",1,669,0.909090909090909,0.0506912442396313,0.261904761904762,4,9,0.666666666666667,0.529411764705882,"X[,1] %in% c('(-Inf,37]','(37,54.2]') & X[,2] %in% c('(-Inf,5.19]','(5.19,16.7]') & X[,5] %in% c('(-Inf,85.3]','(85.3,116]') & X[,6] %in% c('(-Inf,-0.092]','(-0.092,15.5]','(15.5,16.1]')","'DH'","V1,V2,V5,V6","no_abl"
"vertebral",1,24,0.684210526315789,0.0875576036866359,0.271428571428571,4,9,0.666666666666667,0.529411764705882,"X[,2] %in% c('(-Inf,5.19]','(5.19,16.7]') & X[,4] %in% c('(-Inf,16.4]','(16.4,27.9]','(27.9,36]') & X[,5] %in% c('(116,137]','(137, Inf]') & X[,6] %in% c('(-0.092,15.5]','(15.5,16.1]')","'NO'","V2,V4,V5,V6","abl_conf"
"vertebral",1,48,0.990291262135922,0.474654377880184,0.980952380952381,1,2,0.166666666666667,0.117647058823529,"X[,6] %in% c('(16.1,32.3]','(32.3, Inf]')","'SL'","V6","abl_conf"
"vertebral",1,52,0.727272727272727,0.0506912442396313,0.157142857142857,4,8,0.666666666666667,0.470588235294118,"X[,2] %in% c('(16.7,28.7]') & X[,3] %in% c('(46,66.8]','(66.8, Inf]') & X[,4] %in% c('(-Inf,16.4]','(27.9,36]','(36,55]','(55, Inf]') & X[,6] %in% c('(-0.092,15.5]')","'NO'","V2,V3,V4,V6","abl_conf"
"vertebral",1,114,0.916666666666667,0.0552995391705069,0.285714285714286,3,7,0.5,0.411764705882353,"X[,2] %in% c('(-Inf,5.19]','(16.7,28.7]','(28.7, Inf]') & X[,4] %in% c('(-Inf,16.4]','(16.4,27.9]') & X[,6] %in% c('(-Inf,-0.092]','(-0.092,15.5]')","'DH'","V2,V4,V6","abl_conf"
"vertebral",1,239,0.833333333333333,0.0552995391705069,0.285714285714286,3,5,0.5,0.294117647058824,"X[,2] %in% c('(16.7,28.7]','(28.7, Inf]') & X[,3] %in% c('(-Inf,28.9]','(28.9,46]') & X[,6] %in% c('(-0.092,15.5]')","'DH'","V2,V3,V6","abl_conf"
"vertebral",1,269,0.925925925925926,0.124423963133641,0.385714285714286,5,14,0.833333333333333,0.823529411764706,"X[,1] %in% c('(-Inf,37]','(37,54.2]','(54.2,75]') & X[,2] %in% c('(-Inf,5.19]','(5.19,16.7]') & X[,4] %in% c('(16.4,27.9]','(36,55]','(55, Inf]') & X[,5] %in% c('(-Inf,85.3]','(116,137]','(137, Inf]') & X[,6] %in% c('(-Inf,-0.092]','(-0.092,15.5]','(15.5,16.1]')","'NO'","V1,V2,V4,V5,V6","abl_conf"
"vertebral",1,317,0.846153846153846,0.0599078341013825,0.185714285714286,2,2,0.333333333333333,0.117647058823529,"X[,4] %in% c('(27.9,36]') & X[,6] %in% c('(-Inf,-0.092]')","'NO'","V4,V6","abl_conf"
"vertebral",1,432,0.863636363636364,0.101382488479263,0.314285714285714,4,9,0.666666666666667,0.529411764705882,"X[,1] %in% c('(37,54.2]','(54.2,75]') & X[,3] %in% c('(46,66.8]','(66.8, Inf]') & X[,4] %in% c('(-Inf,16.4]','(36,55]','(55, Inf]') & X[,6] %in% c('(-Inf,-0.092]','(-0.092,15.5]')","'NO'","V1,V3,V4,V6","abl_conf"
"vertebral",1,669,0.909090909090909,0.0506912442396313,0.261904761904762,4,9,0.666666666666667,0.529411764705882,"X[,1] %in% c('(-Inf,37]','(37,54.2]') & X[,2] %in% c('(-Inf,5.19]','(5.19,16.7]') & X[,5] %in% c('(-Inf,85.3]','(85.3,116]') & X[,6] %in% c('(-Inf,-0.092]','(-0.092,15.5]','(15.5,16.1]')","'DH'","V1,V2,V5,V6","abl_conf"
"vertebral",1,759,1,0.0552995391705069,0.171428571428571,3,6,0.5,0.352941176470588,"X[,1] %in% c('(54.2,75]') & X[,2] %in% c('(-Inf,5.19]','(5.19,16.7]') & X[,6] %in% c('(-Inf,-0.092]','(-0.092,15.5]','(15.5,16.1]')","'NO'","V1,V2,V6","abl_conf"
"vertebral",1,48,0.990291262135922,0.474654377880184,0.980952380952381,1,2,0.166666666666667,0.117647058823529,"X[,6] %in% c('(16.1,32.3]','(32.3, Inf]')","'SL'","V6","abl_supp"
"vertebral",1,49,0.78125,0.147465437788018,0.457142857142857,4,8,0.666666666666667,0.470588235294118,"X[,2] %in% c('(5.19,16.7]') & X[,3] %in% c('(28.9,46]') & X[,5] %in% c('(-Inf,85.3]','(116,137]','(137, Inf]') & X[,6] %in% c('(-Inf,-0.092]','(-0.092,15.5]','(15.5,16.1]')","'NO'","V2,V3,V5,V6","abl_supp"
