"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","abl_model"
"vertebral",1,2.4922,7.9356,12.4797,0.407,27.5461,"no_abl"
"vertebral",1,2.4922,7.9356,12.4797,0.418,27.8779,"abl_conf"
"vertebral",1,2.4922,7.9356,12.4797,0.438,27.757,"abl_supp"
"vertebral",1,2.4922,7.9356,12.4797,0.64,27.8172,"abl_length"
"vertebral",1,2.4922,7.9356,12.4797,0.383,27.7566,"abl_mod"
"vertebral",1,2.4922,7.9356,12.4797,0.411,27.873,"abl_acc"
"vertebral",1,2.4922,7.9356,12.4797,0.206,27.5719,"abl_min_cov"
"vertebral",1,2.4922,7.9356,12.4797,0.5,27.979,"abl_max_cov"
"vertebral",1,2.4922,7.9356,12.4797,0.475,27.8352,"abl_overlap"
"vertebral",1,2.4922,3.3148,48.6407,2.049,94.8361,"abl_preselect"
"vertebral",2,2.2384,7.3678,11.4905,0.668,25.8189,"no_abl"
"vertebral",2,2.2384,7.3678,11.4905,0.843,25.9906,"abl_conf"
"vertebral",2,2.2384,7.3678,11.4905,0.486,25.7144,"abl_supp"
"vertebral",2,2.2384,7.3678,11.4905,0.56,25.9065,"abl_length"
"vertebral",2,2.2384,7.3678,11.4905,0.548,25.7201,"abl_mod"
"vertebral",2,2.2384,7.3678,11.4905,0.253,25.3203,"abl_acc"
"vertebral",2,2.2384,7.3678,11.4905,0.153,25.3216,"abl_min_cov"
"vertebral",2,2.2384,7.3678,11.4905,0.686,25.8725,"abl_max_cov"
"vertebral",2,2.2384,7.3678,11.4905,0.649,25.8614,"abl_overlap"
"vertebral",2,2.2384,2.9815,45.4775,0.928,86.9159,"abl_preselect"
"vertebral",3,2.1523,6.7738,11.9367,2.031,27.993,"no_abl"
"vertebral",3,2.1523,6.7738,11.9367,2.973,28.9643,"abl_conf"
"vertebral",3,2.1523,6.7738,11.9367,1.648,27.6133,"abl_supp"
"vertebral",3,2.1523,6.7738,11.9367,1.706,27.65,"abl_length"
"vertebral",3,2.1523,6.7738,11.9367,2.446,28.2719,"abl_mod"
"vertebral",3,2.1523,6.7738,11.9367,0.192,26.0316,"abl_acc"
"vertebral",3,2.1523,6.7738,11.9367,0.213,26.1116,"abl_min_cov"
"vertebral",3,2.1523,6.7738,11.9367,2.277,28.1895,"abl_max_cov"
"vertebral",3,2.1523,6.7738,11.9367,2.485,28.3883,"abl_overlap"
"vertebral",3,2.1523,3.0119,46.3862,5.476,91.996,"abl_preselect"
"vertebral",4,2.309,7.3863,12.3052,0.459,27.4214,"no_abl"
"vertebral",4,2.309,7.3863,12.3052,0.627,27.6367,"abl_conf"
"vertebral",4,2.309,7.3863,12.3052,0.917,28.0555,"abl_supp"
"vertebral",4,2.309,7.3863,12.3052,0.502,27.4096,"abl_length"
"vertebral",4,2.309,7.3863,12.3052,0.412,27.4194,"abl_mod"
"vertebral",4,2.309,7.3863,12.3052,0.922,27.8643,"abl_acc"
"vertebral",4,2.309,7.3863,12.3052,0.193,27.436,"abl_min_cov"
"vertebral",4,2.309,7.3863,12.3052,0.562,27.5059,"abl_max_cov"
"vertebral",4,2.309,7.3863,12.3052,0.467,27.337,"abl_overlap"
"vertebral",4,2.309,3.2502,48.9907,2.11,93.303,"abl_preselect"
"vertebral",5,2.3161,7.0555,11.3266,1.373,26.1936,"no_abl"
"vertebral",5,2.3161,7.0555,11.3266,1.631,26.6047,"abl_conf"
"vertebral",5,2.3161,7.0555,11.3266,1.065,26.0858,"abl_supp"
"vertebral",5,2.3161,7.0555,11.3266,1.437,26.174,"abl_length"
"vertebral",5,2.3161,7.0555,11.3266,1.699,26.763,"abl_mod"
"vertebral",5,2.3161,7.0555,11.3266,0.132,24.9874,"abl_acc"
"vertebral",5,2.3161,7.0555,11.3266,0.212,25.0399,"abl_min_cov"
"vertebral",5,2.3161,7.0555,11.3266,1.246,25.93,"abl_max_cov"
"vertebral",5,2.3161,7.0555,11.3266,1.709,26.614,"abl_overlap"
"vertebral",5,2.3161,3.2813,50.4742,1.426,92.8486,"abl_preselect"
"vertebral",6,2.5178,7.355,11.2506,3.452,27.7742,"no_abl"
"vertebral",6,2.5178,7.355,11.2506,1.671,26.0212,"abl_conf"
"vertebral",6,2.5178,7.355,11.2506,0.724,24.8817,"abl_supp"
"vertebral",6,2.5178,7.355,11.2506,1.273,25.5259,"abl_length"
"vertebral",6,2.5178,7.355,11.2506,3.665,27.8645,"abl_mod"
"vertebral",6,2.5178,7.355,11.2506,0.69,24.9198,"abl_acc"
"vertebral",6,2.5178,7.355,11.2506,0.173,24.3821,"abl_min_cov"
"vertebral",6,2.5178,7.355,11.2506,1.473,25.7855,"abl_max_cov"
"vertebral",6,2.5178,7.355,11.2506,3.711,28.0728,"abl_overlap"
"vertebral",6,2.5178,3.7097,56.0736,11.663,112.3924,"abl_preselect"
"vertebral",7,2.3922,7.6985,12.3949,1.276,28.1306,"no_abl"
"vertebral",7,2.3922,7.6985,12.3949,1.293,28.5377,"abl_conf"
"vertebral",7,2.3922,7.6985,12.3949,1.245,28.2279,"abl_supp"
"vertebral",7,2.3922,7.6985,12.3949,1.348,28.176,"abl_length"
"vertebral",7,2.3922,7.6985,12.3949,1.673,28.5122,"abl_mod"
"vertebral",7,2.3922,7.6985,12.3949,0.21,27.1917,"abl_acc"
"vertebral",7,2.3922,7.6985,12.3949,0.252,27.0199,"abl_min_cov"
"vertebral",7,2.3922,7.6985,12.3949,1.011,27.8493,"abl_max_cov"
"vertebral",7,2.3922,7.6985,12.3949,1.388,28.0942,"abl_overlap"
"vertebral",7,2.3922,3.3099,49.8048,2.275,93.4933,"abl_preselect"
"vertebral",8,2.4261,7.4345,11.1026,1.143,25.4231,"no_abl"
"vertebral",8,2.4261,7.4345,11.1026,0.985,25.5907,"abl_conf"
"vertebral",8,2.4261,7.4345,11.1026,1.211,25.8474,"abl_supp"
"vertebral",8,2.4261,7.4345,11.1026,0.881,25.1899,"abl_length"
"vertebral",8,2.4261,7.4345,11.1026,0.718,24.9684,"abl_mod"
"vertebral",8,2.4261,7.4345,11.1026,1.071,25.3698,"abl_acc"
"vertebral",8,2.4261,7.4345,11.1026,0.178,24.4768,"abl_min_cov"
"vertebral",8,2.4261,7.4345,11.1026,0.836,25.5691,"abl_max_cov"
"vertebral",8,2.4261,7.4345,11.1026,0.925,25.3414,"abl_overlap"
"vertebral",8,2.4261,3.4832,52.5387,7.588,102.0209,"abl_preselect"
"vertebral",9,2.5186,7.8286,12.0862,1.991,27.947,"no_abl"
"vertebral",9,2.5186,7.8286,12.0862,3.054,29.2668,"abl_conf"
"vertebral",9,2.5186,7.8286,12.0862,1.274,27.7911,"abl_supp"
"vertebral",9,2.5186,7.8286,12.0862,1.916,27.9817,"abl_length"
"vertebral",9,2.5186,7.8286,12.0862,1.972,27.8908,"abl_mod"
"vertebral",9,2.5186,7.8286,12.0862,0.423,26.6418,"abl_acc"
"vertebral",9,2.5186,7.8286,12.0862,0.21,26.4097,"abl_min_cov"
"vertebral",9,2.5186,7.8286,12.0862,1.902,28.0099,"abl_max_cov"
"vertebral",9,2.5186,7.8286,12.0862,1.889,27.8931,"abl_overlap"
"vertebral",9,2.5186,3.6588,54.7861,15.704,113.4299,"abl_preselect"
"vertebral",10,2.3544,7.2527,11.5639,2.962,27.9192,"no_abl"
"vertebral",10,2.3544,7.2527,11.5639,3.538,28.4652,"abl_conf"
"vertebral",10,2.3544,7.2527,11.5639,1.248,26.1853,"abl_supp"
"vertebral",10,2.3544,7.2527,11.5639,1.813,26.8226,"abl_length"
"vertebral",10,2.3544,7.2527,11.5639,4.783,29.5884,"abl_mod"
"vertebral",10,2.3544,7.2527,11.5639,0.244,25.1766,"abl_acc"
"vertebral",10,2.3544,7.2527,11.5639,0.193,24.9775,"abl_min_cov"
"vertebral",10,2.3544,7.2527,11.5639,6.475,31.423,"abl_max_cov"
"vertebral",10,2.3544,7.2527,11.5639,3.565,28.5937,"abl_overlap"
"vertebral",10,2.3544,3.3427,50.5634,8.491,100.8575,"abl_preselect"
