"data","iter","PS_rules","Opt_rules","abl_model","NA"
"vertebral",1,"SL","DH","no_abl",NA
"vertebral",1,"SL","DH","abl_conf",NA
"vertebral",1,"SL","DH","abl_supp",NA
"vertebral",1,"SL","DH","abl_length",NA
"vertebral",1,"SL","DH","abl_mod",NA
"vertebral",1,"SL","DH","abl_acc",NA
"vertebral",1,"SL","NO","abl_min_cov",NA
"vertebral",1,"SL","DH","abl_max_cov",NA
"vertebral",1,"SL","DH","abl_overlap",NA
"vertebral",1,"SL","DH","abl_preselect",NA
"vertebral",2,"SL","DH","no_abl",NA
"vertebral",2,"SL","NO","abl_conf",NA
"vertebral",2,"SL","NO","abl_supp",NA
"vertebral",2,"SL","DH","abl_length",NA
"vertebral",2,"SL","DH","abl_mod",NA
"vertebral",2,"SL","NO","abl_acc",NA
"vertebral",2,"SL","NO","abl_min_cov",NA
"vertebral",2,"SL","DH","abl_max_cov",NA
"vertebral",2,"SL","DH","abl_overlap",NA
"vertebral",2,"SL","DH","abl_preselect",NA
"vertebral",3,"SL","DH","no_abl",NA
"vertebral",3,"SL","DH","abl_conf",NA
"vertebral",3,"SL","NO","abl_supp",NA
"vertebral",3,"SL","DH","abl_length",NA
"vertebral",3,"SL","DH","abl_mod",NA
"vertebral",3,"SL","NO","abl_acc",NA
"vertebral",3,"SL","NO","abl_min_cov",NA
"vertebral",3,"SL","DH","abl_max_cov",NA
"vertebral",3,"SL","DH","abl_overlap",NA
"vertebral",3,"SL","DH","abl_preselect",NA
"vertebral",4,"SL","DH","no_abl",NA
"vertebral",4,"SL","DH","abl_conf",NA
"vertebral",4,"SL","DH","abl_supp",NA
"vertebral",4,"SL","DH","abl_length",NA
"vertebral",4,"SL","DH","abl_mod",NA
"vertebral",4,"SL","DH","abl_acc",NA
"vertebral",4,"SL","NO","abl_min_cov",NA
"vertebral",4,"SL","DH","abl_max_cov",NA
"vertebral",4,"SL","DH","abl_overlap",NA
"vertebral",4,"SL","DH","abl_preselect",NA
"vertebral",5,"SL","NO","no_abl",NA
"vertebral",5,"SL","NO","abl_conf",NA
"vertebral",5,"SL","NO","abl_supp",NA
"vertebral",5,"SL","NO","abl_length",NA
"vertebral",5,"SL","NO","abl_mod",NA
"vertebral",5,"SL","NO","abl_acc",NA
"vertebral",5,"SL","NO","abl_min_cov",NA
"vertebral",5,"SL","NO","abl_max_cov",NA
"vertebral",5,"SL","NO","abl_overlap",NA
"vertebral",5,"SL","NO","abl_preselect",NA
"vertebral",6,"SL","NO","no_abl",NA
"vertebral",6,"SL","DH","abl_conf",NA
"vertebral",6,"SL","NO","abl_supp",NA
"vertebral",6,"SL","NO","abl_length",NA
"vertebral",6,"SL","NO","abl_mod",NA
"vertebral",6,"SL","DH","abl_acc",NA
"vertebral",6,"SL","NO","abl_min_cov",NA
"vertebral",6,"SL","NO","abl_max_cov",NA
"vertebral",6,"SL","NO","abl_overlap",NA
"vertebral",6,"SL","NO","abl_preselect",NA
"vertebral",7,"SL","DH","no_abl",NA
"vertebral",7,"SL","DH","abl_conf",NA
"vertebral",7,"SL","DH","abl_supp",NA
"vertebral",7,"SL","DH","abl_length",NA
"vertebral",7,"SL","DH","abl_mod",NA
"vertebral",7,"SL","DH","abl_acc",NA
"vertebral",7,"SL","NO","abl_min_cov",NA
"vertebral",7,"SL","DH","abl_max_cov",NA
"vertebral",7,"SL","DH","abl_overlap",NA
"vertebral",7,"SL","DH","abl_preselect",NA
"vertebral",8,"SL","NO","no_abl",NA
"vertebral",8,"SL","NO","abl_conf",NA
"vertebral",8,"SL","NO","abl_supp",NA
"vertebral",8,"SL","NO","abl_length",NA
"vertebral",8,"SL","NO","abl_mod",NA
"vertebral",8,"SL","NO","abl_acc",NA
"vertebral",8,"SL","NO","abl_min_cov",NA
"vertebral",8,"SL","NO","abl_max_cov",NA
"vertebral",8,"SL","NO","abl_overlap",NA
"vertebral",8,"SL","DH","abl_preselect",NA
"vertebral",9,"SL","NO","no_abl",NA
"vertebral",9,"SL","DH","abl_conf",NA
"vertebral",9,"SL","NO","abl_supp",NA
"vertebral",9,"SL","NO","abl_length",NA
"vertebral",9,"SL","NO","abl_mod",NA
"vertebral",9,"SL","NO","abl_acc",NA
"vertebral",9,"SL","NO","abl_min_cov",NA
"vertebral",9,"SL","NO","abl_max_cov",NA
"vertebral",9,"SL","NO","abl_overlap",NA
"vertebral",9,"SL","NO","abl_preselect",NA
"vertebral",10,"SL","DH","no_abl",NA
"vertebral",10,"SL","DH","abl_conf",NA
"vertebral",10,"SL","DH","abl_supp",NA
"vertebral",10,"SL","DH","abl_length",NA
"vertebral",10,"SL","DH","abl_mod",NA
"vertebral",10,"SL","NO","abl_acc",NA
"vertebral",10,"SL","NO","abl_min_cov",NA
"vertebral",10,"SL","DH","abl_max_cov",NA
"vertebral",10,"SL","DH","abl_overlap",NA
"vertebral",10,"SL","DH","abl_preselect",NA
