"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr","abl_model"
"wine",1,0.01,0.025,0.976,0,0.0082,0.3361,"Optimal",0.681,8.8054,406,5,"no_abl"
"wine",1,0.01,0.025,0.976,0,0.0082,0.3361,"Optimal",0.904,9.2555,406,5,"abl_conf"
"wine",1,0.01,0.025,0.976,0,0.0082,0.3689,"Optimal",0.695,9.0502,406,5,"abl_supp"
"wine",1,0.01,0.025,0.976,0,0.0082,0.3361,"Optimal",0.871,9.2969,406,5,"abl_length"
"wine",1,0.01,0.025,0.976,0,0.0082,0.3361,"Optimal",0.76,9.2909,406,5,"abl_mod"
"wine",1,0.999,0.025,0.976,0,0.0328,0.3279,"Optimal",0.252,8.7074,406,4,"abl_acc"
"wine",1,0.01,0.999,0.352,0,0,0,"Optimal",0.09,8.5902,406,1,"abl_min_cov"
"wine",1,0.01,0.025,0.976,0,0.0082,0.3361,"Optimal",0.788,9.1873,406,5,"abl_max_cov"
"wine",1,0.01,0.025,0.976,0,0.0082,0.3361,"Optimal",0.843,9.3218,406,5,"abl_overlap"
"wine",1,0.01,0.025,0.976,0,0.0082,0.3443,"Optimal",1.828,22.5188,998,5,"abl_preselect"
"wine",2,0.01,0.025,0.976,0,0.0082,0.2049,"Optimal",0.374,10.0646,471,4,"no_abl"
"wine",2,0.01,0.025,0.976,0,0.0082,0.2049,"Optimal",0.521,10.4161,471,4,"abl_conf"
"wine",2,0.01,0.025,0.984,0,0.0081,0.1707,"Optimal",0.328,10.1298,471,4,"abl_supp"
"wine",2,0.01,0.025,0.976,0,0.0082,0.2049,"Optimal",0.482,10.338,471,4,"abl_length"
"wine",2,0.01,0.025,0.976,0,0.0082,0.2049,"Optimal",0.329,10.1689,471,4,"abl_mod"
"wine",2,0.999,0.025,0.976,0,0.0328,0.3361,"Optimal",0.26,10.0687,471,4,"abl_acc"
"wine",2,0.01,0.999,0.336,0,0,0,"Optimal",0.154,9.917,471,1,"abl_min_cov"
"wine",2,0.01,0.025,0.976,0,0.0082,0.2049,"Optimal",0.997,10.8503,471,4,"abl_max_cov"
"wine",2,0.01,0.025,0.976,0,0.0082,0.2049,"Optimal",0.529,10.3427,471,4,"abl_overlap"
"wine",2,0.01,0.025,0.976,0,0.0082,0.2049,"Optimal",0.845,23.596,1089,4,"abl_preselect"
"wine",3,0.01,0.025,0.976,0,0.0082,0.4344,"Optimal",1.48,11.5767,487,5,"no_abl"
"wine",3,0.01,0.025,0.976,0,0.0082,0.4918,"Optimal",1.323,11.5928,487,5,"abl_conf"
"wine",3,0.01,0.025,0.976,0,0.0082,0.4344,"Optimal",1.274,11.5011,487,5,"abl_supp"
"wine",3,0.01,0.025,0.976,0,0.0082,0.4344,"Optimal",1.526,11.7556,487,5,"abl_length"
"wine",3,0.01,0.025,0.976,0,0.0082,0.4344,"Optimal",1.293,11.4563,487,5,"abl_mod"
"wine",3,0.999,0.025,0.976,0,0.0574,0.2623,"Optimal",0.248,10.4325,487,4,"abl_acc"
"wine",3,0.01,0.999,0.32,0,0,0,"Optimal",0.135,10.3888,487,1,"abl_min_cov"
"wine",3,0.01,0.025,0.976,0,0.0082,0.4344,"Optimal",2.06,12.246,487,5,"abl_max_cov"
"wine",3,0.01,0.025,0.976,0,0.0082,0.4344,"Optimal",1.365,11.5784,487,5,"abl_overlap"
"wine",3,0.01,0.025,0.976,0,0.0082,0.4344,"Optimal",1.795,26,1160,5,"abl_preselect"
"wine",4,0.01,0.025,0.984,0,0.0081,0.3171,"Optimal",1.774,12.5217,514,5,"no_abl"
"wine",4,0.01,0.025,0.984,0,0.0081,0.3171,"Optimal",1.473,12.1899,514,5,"abl_conf"
"wine",4,0.01,0.025,0.984,0,0.0081,0.3171,"Optimal",1.584,12.3558,514,5,"abl_supp"
"wine",4,0.01,0.025,0.984,0,0.0081,0.3333,"Optimal",1.703,12.4259,514,5,"abl_length"
"wine",4,0.01,0.025,0.984,0,0.0081,0.3171,"Optimal",1.408,12.1875,514,5,"abl_mod"
"wine",4,0.999,0.025,0.976,0,0.0738,0.3689,"Optimal",0.439,11.1304,514,4,"abl_acc"
"wine",4,0.01,0.999,0.32,0,0,0,"Optimal",0.153,10.8766,514,1,"abl_min_cov"
"wine",4,0.01,0.025,0.984,0,0.0081,0.3171,"Optimal",1.711,12.5183,514,5,"abl_max_cov"
"wine",4,0.01,0.025,0.984,0,0.0081,0.3171,"Optimal",1.538,12.2526,514,5,"abl_overlap"
"wine",4,0.01,0.025,0.976,0,0.0082,0.459,"Optimal",2.58,27.0981,1177,5,"abl_preselect"
"wine",5,0.01,0.025,0.976,0,0.0082,0.3361,"Optimal",1.763,12.3029,502,5,"no_abl"
"wine",5,0.01,0.025,0.976,0,0.0082,0.3361,"Optimal",1.723,12.2301,502,5,"abl_conf"
"wine",5,0.01,0.025,0.976,0,0,0.2623,"Optimal",2.282,12.8066,502,5,"abl_supp"
"wine",5,0.01,0.025,0.976,0,0.0082,0.3361,"Optimal",1.966,12.5265,502,5,"abl_length"
"wine",5,0.01,0.025,0.976,0,0.0082,0.3361,"Optimal",1.667,12.2586,502,5,"abl_mod"
"wine",5,0.999,0.025,0.992,0,0.0887,0.371,"Optimal",0.369,10.8839,502,4,"abl_acc"
"wine",5,0.01,0.999,0.32,0,0,0,"Optimal",0.166,10.6575,502,1,"abl_min_cov"
"wine",5,0.01,0.025,0.976,0,0.0082,0.3361,"Optimal",2.168,12.6085,502,5,"abl_max_cov"
"wine",5,0.01,0.025,0.976,0,0.0082,0.3361,"Optimal",1.712,12.3002,502,5,"abl_overlap"
"wine",5,0.01,0.025,0.976,0,0.0082,0.3361,"Optimal",2.706,26.8612,1158,5,"abl_preselect"
"wine",6,0.01,0.025,0.984,0,0.0081,0.4309,"Optimal",1.581,11.8226,488,5,"no_abl"
"wine",6,0.01,0.025,0.984,0,0.0081,0.4309,"Optimal",1.535,11.7598,488,5,"abl_conf"
"wine",6,0.01,0.025,0.984,0,0.0081,0.4309,"Optimal",1.67,11.927,488,5,"abl_supp"
"wine",6,0.01,0.025,0.984,0,0.0081,0.4553,"Optimal",1.792,12.1218,488,5,"abl_length"
"wine",6,0.01,0.025,0.984,0,0.0081,0.4553,"Optimal",1.316,11.5035,488,5,"abl_mod"
"wine",6,0.999,0.025,0.976,0,0.0656,0.0246,"Optimal",0.075,10.3591,488,3,"abl_acc"
"wine",6,0.01,0.999,0.312,0,0,0,"Optimal",0.189,10.4611,488,1,"abl_min_cov"
"wine",6,0.01,0.025,0.984,0,0.0081,0.4309,"Optimal",1.861,12.1894,488,5,"abl_max_cov"
"wine",6,0.01,0.025,0.984,0,0.0081,0.4309,"Optimal",1.64,11.938,488,5,"abl_overlap"
"wine",6,0.01,0.025,0.984,0,0.0081,0.439,"Optimal",1.86,24.8322,1105,5,"abl_preselect"
"wine",7,0.01,0.025,0.976,0,0.0082,0.5,"Optimal",1.757,11.9672,487,5,"no_abl"
"wine",7,0.01,0.025,0.976,0,0.0082,0.5,"Optimal",1.39,11.5918,487,5,"abl_conf"
