"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"BCo",1,"CBA",2.62,2,2,3,3,4
"BCo",1,"RIPPER",1.1,1,1,1,1,2
"BCo",1,"SBRL",1.25,1,1,1,1.25,2
"BCo",2,"CBA",2.67,1,2,3,3,4
"BCo",2,"RIPPER",1.3,1,1,1,1,3
"BCo",2,"SBRL",1,1,1,1,1,1
"BCo",3,"CBA",2.56,2,2,2,3,4
"BCo",3,"RIPPER",1.1,1,1,1,1,2
"BCo",3,"SBRL",1.25,1,1,1,1.25,2
"BCo",4,"CBA",2.7,2,2,3,3,4
"BCo",4,"RIPPER",1.09,1,1,1,1,2
"BCo",4,"SBRL",1.75,1,1,1.5,2.25,3
"BCo",5,"CBA",2.32,1,2,2,3,3
"BCo",5,"RIPPER",1.22,1,1,1,1,2
"BCo",5,"SBRL",1.5,1,1,1.5,2,2
"BCo",6,"CBA",2.64,2,2,3,3,3
"BCo",6,"RIPPER",1,1,1,1,1,1
"BCo",6,"SBRL",1.25,1,1,1,1.25,2
"BCo",7,"CBA",2.5,2,2,2,3,4
"BCo",7,"RIPPER",1.25,1,1,1,1.25,2
"BCo",7,"SBRL",1.75,1,1.75,2,2,2
"BCo",8,"CBA",2.79,2,2,3,3,4
"BCo",8,"RIPPER",1.38,1,1,1,2,2
"BCo",8,"SBRL",1.25,1,1,1,1.25,2
"BCo",9,"CBA",2.47,2,2,2,3,3
"BCo",9,"RIPPER",1.1,1,1,1,1,2
"BCo",9,"SBRL",1.5,1,1,1,1.5,3
"BCo",10,"CBA",2.53,2,2,3,3,3
"BCo",10,"RIPPER",1.09,1,1,1,1,2
"BCo",10,"SBRL",1.5,1,1,1.5,2,2
