"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"CAR",1,"CBA",1.25,1,1,1,1.25,2
"CAR",1,"RIPPER",3.74,2,3,4,4,5
"CAR",2,"CBA",1,1,1,1,1,1
"CAR",2,"RIPPER",3.54,2,3,4,4,5
"CAR",3,"CBA",1.25,1,1,1,1.25,2
"CAR",3,"RIPPER",3.71,2,3,4,4,5
"CAR",4,"CBA",1.2,1,1,1,1,2
"CAR",4,"RIPPER",3.71,2,3,4,4,5
"CAR",5,"CBA",1,1,1,1,1,1
"CAR",5,"RIPPER",3.73,2,3,4,4,5
"CAR",6,"CBA",1.2,1,1,1,1,2
"CAR",6,"RIPPER",3.87,2,3,4,4,5
"CAR",7,"CBA",1.25,1,1,1,1.25,2
"CAR",7,"RIPPER",3.92,3,4,4,4,5
"CAR",8,"CBA",1,1,1,1,1,1
"CAR",8,"RIPPER",3.8,3,3,4,4,5
"CAR",9,"CBA",1,1,1,1,1,1
"CAR",9,"RIPPER",3.86,2,3,4,4,5
"CAR",10,"CBA",1,1,1,1,1,1
"CAR",10,"RIPPER",3.76,2,3,4,4,5
