"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"TICTACTOE",1,"CBA",2,2,2,2,2,2
"TICTACTOE",1,"RIPPER",3.11,3,3,3,3,4
"TICTACTOE",1,"SBRL",3,3,3,3,3,3
"TICTACTOE",2,"CBA",2,2,2,2,2,2
"TICTACTOE",2,"RIPPER",3.27,3,3,3,3.5,4
"TICTACTOE",2,"SBRL",3,3,3,3,3,3
"TICTACTOE",3,"CBA",2,2,2,2,2,2
"TICTACTOE",3,"RIPPER",3.22,3,3,3,3,5
"TICTACTOE",3,"SBRL",3,3,3,3,3,3
"TICTACTOE",4,"CBA",2,2,2,2,2,2
"TICTACTOE",4,"RIPPER",3,3,3,3,3,3
"TICTACTOE",4,"SBRL",3,3,3,3,3,3
"TICTACTOE",5,"CBA",2,2,2,2,2,2
"TICTACTOE",5,"RIPPER",3.3,3,3,3,3,5
"TICTACTOE",5,"SBRL",3,3,3,3,3,3
"TICTACTOE",6,"CBA",2.04,2,2,2,2,3
"TICTACTOE",6,"RIPPER",3,3,3,3,3,3
"TICTACTOE",6,"SBRL",3,3,3,3,3,3
"TICTACTOE",7,"CBA",2,2,2,2,2,2
"TICTACTOE",7,"RIPPER",3,3,3,3,3,3
"TICTACTOE",7,"SBRL",3,3,3,3,3,3
"TICTACTOE",8,"CBA",2,2,2,2,2,2
"TICTACTOE",8,"RIPPER",3,3,3,3,3,3
"TICTACTOE",8,"SBRL",3,3,3,3,3,3
"TICTACTOE",9,"CBA",2.08,2,2,2,2,3
"TICTACTOE",9,"RIPPER",3.18,3,3,3,3,4
"TICTACTOE",9,"SBRL",3,3,3,3,3,3
"TICTACTOE",10,"CBA",2,2,2,2,2,2
"TICTACTOE",10,"RIPPER",3.2,3,3,3,3,4
"TICTACTOE",10,"SBRL",3,3,3,3,3,3
