"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"XOR",1,"CBA",1.33,1,1,1,1.75,2
"XOR",1,"RIPPER",2.12,2,2,2,2,3
"XOR",1,"SBRL",1.5,1,1,1.5,2,2
"XOR",2,"CBA",1.29,1,1,1,1.5,2
"XOR",2,"RIPPER",2.25,2,2,2,2.25,3
"XOR",2,"SBRL",1.5,1,1,1.5,2,2
"XOR",3,"CBA",1.33,1,1,1,1.75,2
"XOR",3,"RIPPER",2.12,2,2,2,2,3
"XOR",3,"SBRL",1.5,1,1,1.5,2,2
"XOR",4,"CBA",1,1,1,1,1,1
"XOR",4,"RIPPER",2.12,2,2,2,2,3
"XOR",4,"SBRL",1.5,1,1,1.5,2,2
"XOR",5,"CBA",1.5,1,1,1.5,2,2
"XOR",5,"RIPPER",2.12,2,2,2,2,3
"XOR",5,"SBRL",1.5,1,1,1.5,2,2
"XOR",6,"CBA",1.43,1,1,1,2,2
"XOR",6,"RIPPER",2.12,2,2,2,2,3
"XOR",6,"SBRL",1.5,1,1,1.5,2,2
"XOR",7,"CBA",1.5,1,1,1.5,2,2
"XOR",7,"RIPPER",2,2,2,2,2,2
"XOR",7,"SBRL",1.5,1,1,1.5,2,2
"XOR",8,"CBA",2,2,2,2,2,2
"XOR",8,"RIPPER",2.25,2,2,2,2.25,3
"XOR",8,"SBRL",1.5,1,1,1.5,2,2
"XOR",9,"CBA",1.5,1,1,1.5,2,2
"XOR",9,"RIPPER",2,2,2,2,2,2
"XOR",9,"SBRL",1.5,1,1,1.5,2,2
"XOR",10,"CBA",1.5,1,1,1.5,2,2
"XOR",10,"RIPPER",2.12,2,2,2,2,3
"XOR",10,"SBRL",1.5,1,1,1.5,2,2
