"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"cryotherapy",1,"CBA",2.14,1,2,2,2.5,3
"cryotherapy",1,"RIPPER",1.5,1,1.25,1.5,1.75,2
"cryotherapy",1,"SBRL",1,1,1,1,1,1
"cryotherapy",2,"CBA",2,1,1.25,2,2.75,3
"cryotherapy",2,"RIPPER",1,1,1,1,1,1
"cryotherapy",2,"SBRL",1,1,1,1,1,1
"cryotherapy",3,"CBA",1.89,1,1,2,2,3
"cryotherapy",3,"RIPPER",1,1,1,1,1,1
"cryotherapy",3,"SBRL",1.5,1,1.25,1.5,1.75,2
"cryotherapy",4,"CBA",2.33,1,2,3,3,3
"cryotherapy",4,"RIPPER",1,1,1,1,1,1
"cryotherapy",4,"SBRL",1,1,1,1,1,1
"cryotherapy",5,"CBA",2,1,1,2,3,3
"cryotherapy",5,"RIPPER",1,1,1,1,1,1
"cryotherapy",5,"SBRL",1,1,1,1,1,1
"cryotherapy",6,"CBA",2,1,2,2,2,3
"cryotherapy",6,"RIPPER",1.5,1,1,1.5,2,2
"cryotherapy",6,"SBRL",1.5,1,1.25,1.5,1.75,2
"cryotherapy",7,"CBA",1.75,1,1,2,2,3
"cryotherapy",7,"RIPPER",2,1,1.75,2,2.25,3
"cryotherapy",7,"SBRL",1,1,1,1,1,1
"cryotherapy",8,"CBA",1.67,1,1,2,2,3
"cryotherapy",8,"RIPPER",1.75,1,1.75,2,2,2
"cryotherapy",8,"SBRL",1.33,1,1,1,1.5,2
"cryotherapy",9,"CBA",1.8,1,1,1,3,3
"cryotherapy",9,"RIPPER",1,1,1,1,1,1
"cryotherapy",9,"SBRL",1,1,1,1,1,1
"cryotherapy",10,"CBA",1.91,1,1.5,2,2,3
"cryotherapy",10,"RIPPER",1.5,1,1.25,1.5,1.75,2
"cryotherapy",10,"SBRL",1.5,1,1.25,1.5,1.75,2
