"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"ecoli",1,"CBA",2.05,1,2,2,2,3
"ecoli",1,"RIPPER",1.75,1,1,1.5,2,4
"ecoli",2,"CBA",2.18,1,2,2,3,4
"ecoli",2,"RIPPER",1.67,1,1,2,2,3
"ecoli",3,"CBA",2,1,2,2,2,3
"ecoli",3,"RIPPER",2,1,1,2,2,5
"ecoli",4,"CBA",2.05,1,2,2,2,3
"ecoli",4,"RIPPER",1.71,1,1,1,2,4
"ecoli",5,"CBA",2.12,1,2,2,2.25,4
"ecoli",5,"RIPPER",1.71,1,1,2,2,3
"ecoli",6,"CBA",2,1,2,2,2,3
"ecoli",6,"RIPPER",1.67,1,1,2,2,3
"ecoli",7,"CBA",2.2,1,2,2,2.75,3
"ecoli",7,"RIPPER",1.67,1,1,2,2,3
"ecoli",8,"CBA",1.94,1,2,2,2,3
"ecoli",8,"RIPPER",1.67,1,1,2,2,3
"ecoli",9,"CBA",2,1,2,2,2,3
"ecoli",9,"RIPPER",1.62,1,1,1.5,2,3
"ecoli",10,"CBA",1.94,1,2,2,2,3
"ecoli",10,"RIPPER",1.62,1,1,1.5,2,3
