"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"haberman",1,"CBA",3,3,3,3,3,3
"haberman",1,"RIPPER",1,1,1,1,1,1
"haberman",1,"SBRL",1,1,1,1,1,1
"haberman",2,"CBA",1.57,1,1,2,2,2
"haberman",2,"RIPPER",2,2,2,2,2,2
"haberman",2,"SBRL",1,1,1,1,1,1
"haberman",3,"CBA",2,2,2,2,2,2
"haberman",3,"RIPPER",2,2,2,2,2,2
"haberman",3,"SBRL",1,1,1,1,1,1
"haberman",4,"CBA",1.62,1,1,2,2,2
"haberman",4,"RIPPER",1,1,1,1,1,1
"haberman",4,"SBRL",1,1,1,1,1,1
"haberman",5,"CBA",1.56,1,1,2,2,2
"haberman",5,"RIPPER",1,1,1,1,1,1
"haberman",5,"SBRL",1,1,1,1,1,1
"haberman",6,"CBA",2,2,2,2,2,2
"haberman",6,"RIPPER",1,1,1,1,1,1
"haberman",6,"SBRL",1,1,1,1,1,1
"haberman",7,"CBA",1.57,1,1,2,2,2
"haberman",7,"RIPPER",1.5,1,1.25,1.5,1.75,2
"haberman",7,"SBRL",1,1,1,1,1,1
"haberman",8,"CBA",2,2,2,2,2,2
"haberman",8,"RIPPER",2,2,2,2,2,2
"haberman",8,"SBRL",1,1,1,1,1,1
"haberman",9,"CBA",2,2,2,2,2,2
"haberman",9,"RIPPER",1,1,1,1,1,1
"haberman",9,"SBRL",1,1,1,1,1,1
"haberman",10,"CBA",3,3,3,3,3,3
"haberman",10,"RIPPER",2,2,2,2,2,2
"haberman",10,"SBRL",1,1,1,1,1,1
