"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"heart",1,"CBA",3.22,2,3,3,4,4
"heart",1,"RIPPER",2.5,2,2,2,2.75,4
"heart",1,"SBRL",1.5,1,1.25,1.5,1.75,2
"heart",2,"CBA",3.19,2,3,3,4,4
"heart",2,"RIPPER",2.5,2,2,2.5,3,3
"heart",2,"SBRL",1.33,1,1,1,1.5,2
"heart",3,"CBA",3.13,2,3,3,4,4
"heart",3,"RIPPER",2.4,2,2,2,3,3
"heart",3,"SBRL",1.5,1,1.25,1.5,1.75,2
"heart",4,"CBA",3.14,2,3,3,3,4
"heart",4,"RIPPER",2.25,2,2,2,2.25,3
"heart",4,"SBRL",1.5,1,1.25,1.5,1.75,2
"heart",5,"CBA",3.17,2,3,3,3,4
"heart",5,"RIPPER",2,1,2,2,2,3
"heart",5,"SBRL",1.5,1,1.25,1.5,1.75,2
"heart",6,"CBA",3.06,2,3,3,3,4
"heart",6,"RIPPER",1.8,1,2,2,2,2
"heart",6,"SBRL",1.5,1,1.25,1.5,1.75,2
"heart",7,"CBA",3.23,2,3,3,4,4
"heart",7,"RIPPER",1.6,1,1,2,2,2
"heart",7,"SBRL",1.5,1,1.25,1.5,1.75,2
"heart",8,"CBA",3.33,2,3,3,4,4
"heart",8,"RIPPER",2,2,2,2,2,2
"heart",8,"SBRL",1.5,1,1.25,1.5,1.75,2
"heart",9,"CBA",3.29,2,3,3,4,4
"heart",9,"RIPPER",2,1,2,2,2,3
"heart",9,"SBRL",1.5,1,1.25,1.5,1.75,2
"heart",10,"CBA",3.44,3,3,3,4,4
"heart",10,"RIPPER",2,1,2,2,2,3
"heart",10,"SBRL",1.5,1,1.25,1.5,1.75,2
