"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"ion",1,"CBA",3.33,2,3,3,4,4
"ion",1,"RIPPER",1.78,1,1,2,2,3
"ion",1,"SBRL",1.67,1,1.5,2,2,2
"ion",2,"CBA",3.31,2,3,3,4,4
"ion",2,"RIPPER",1.71,1,1,2,2,3
"ion",2,"SBRL",1.5,1,1.25,1.5,1.75,2
"ion",3,"CBA",3.15,2,3,3,4,4
"ion",3,"RIPPER",1.5,1,1,1.5,2,2
"ion",3,"SBRL",1.5,1,1.25,1.5,1.75,2
"ion",4,"CBA",3.12,1,3,3,4,4
"ion",4,"RIPPER",1,1,1,1,1,1
"ion",4,"SBRL",2,2,2,2,2,2
"ion",5,"CBA",3.12,2,3,3,3.75,4
"ion",5,"RIPPER",1.67,1,1,2,2,2
"ion",5,"SBRL",1.67,1,1.5,2,2,2
"ion",6,"CBA",3,2,3,3,3,4
"ion",6,"RIPPER",1.25,1,1,1,1.25,2
"ion",6,"SBRL",2,1,1.5,2,2.5,3
"ion",7,"CBA",2.93,1,3,3,3,4
"ion",7,"RIPPER",1,1,1,1,1,1
"ion",7,"SBRL",1,1,1,1,1,1
"ion",8,"CBA",2.94,1,3,3,3,4
"ion",8,"RIPPER",1.33,1,1,1,1.5,2
"ion",8,"SBRL",2.33,1,2,3,3,3
"ion",9,"CBA",3.33,2,3,3,4,4
"ion",9,"RIPPER",1.2,1,1,1,1,2
"ion",9,"SBRL",1.5,1,1.25,1.5,1.75,2
"ion",10,"CBA",2.97,1,3,3,3,4
"ion",10,"RIPPER",1.17,1,1,1,1,2
"ion",10,"SBRL",2,2,2,2,2,2
