"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"mammographic",1,"CBA",2.33,1,2,2,3,4
"mammographic",1,"RIPPER",1.8,1,2,2,2,2
"mammographic",1,"SBRL",1,1,1,1,1,1
"mammographic",2,"CBA",2.21,1,2,2,3,4
"mammographic",2,"RIPPER",1.67,1,1.5,2,2,2
"mammographic",2,"SBRL",1,1,1,1,1,1
"mammographic",3,"CBA",2.13,1,2,2,3,4
"mammographic",3,"RIPPER",1.67,1,1.5,2,2,2
"mammographic",3,"SBRL",1,1,1,1,1,1
"mammographic",4,"CBA",2.21,1,2,2,3,4
"mammographic",4,"RIPPER",1.5,1,1,1.5,2,2
"mammographic",4,"SBRL",1,1,1,1,1,1
"mammographic",5,"CBA",2.56,1,2,3,3,4
"mammographic",5,"RIPPER",1.5,1,1,1.5,2,2
"mammographic",5,"SBRL",1,1,1,1,1,1
"mammographic",6,"CBA",2.04,1,1.5,2,2.5,4
"mammographic",6,"RIPPER",1.33,1,1,1,1.5,2
"mammographic",6,"SBRL",1,1,1,1,1,1
"mammographic",7,"CBA",2.33,1,2,2,3,4
"mammographic",7,"RIPPER",1.33,1,1,1,1.5,2
"mammographic",7,"SBRL",1.2,1,1,1,1,2
"mammographic",8,"CBA",1.96,1,1,2,2.25,3
"mammographic",8,"RIPPER",1.33,1,1,1,1.5,2
"mammographic",8,"SBRL",1,1,1,1,1,1
"mammographic",9,"CBA",2.32,1,2,2,3,4
"mammographic",9,"RIPPER",1.67,1,1.5,2,2,2
"mammographic",9,"SBRL",1,1,1,1,1,1
"mammographic",10,"CBA",2.17,1,2,2,3,4
"mammographic",10,"RIPPER",1.33,1,1,1,1.5,2
"mammographic",10,"SBRL",1,1,1,1,1,1
