"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"phoneme",1,"CBA",2.59,1,2,3,3,4
"phoneme",1,"RIPPER",3.08,2,3,3,4,4
"phoneme",1,"SBRL",1.55,1,1,1,2,3
"phoneme",2,"CBA",2.6,1,2,3,3,4
"phoneme",2,"RIPPER",3.08,2,3,3,3,4
"phoneme",2,"SBRL",1.75,1,1.75,2,2,2
"phoneme",3,"CBA",2.62,1,2,3,3,4
"phoneme",3,"RIPPER",3,2,2.5,3,3,5
"phoneme",3,"SBRL",1.67,1,1,2,2,2
"phoneme",4,"CBA",2.62,1,2,3,3,4
"phoneme",4,"RIPPER",3.09,2,3,3,3.5,4
"phoneme",4,"SBRL",2.12,1,2,2,2.25,3
"phoneme",5,"CBA",2.65,1,2,3,3,4
"phoneme",5,"RIPPER",3.2,2,3,3,3.5,5
"phoneme",5,"SBRL",1.64,1,1,2,2,3
"phoneme",6,"CBA",2.47,1,2,3,3,4
"phoneme",6,"RIPPER",2.75,2,2,3,3,4
"phoneme",6,"SBRL",1.82,1,1.5,2,2,3
"phoneme",7,"CBA",2.44,1,2,2.5,3,4
"phoneme",7,"RIPPER",3.07,2,2,3,4,4
"phoneme",7,"SBRL",1.55,1,1,2,2,2
"phoneme",8,"CBA",2.44,1,2,2.5,3,4
"phoneme",8,"RIPPER",3.25,2,3,3,4,4
"phoneme",8,"SBRL",1.91,1,1,2,2.5,3
"phoneme",9,"CBA",2.5,1,2,2.5,3,4
"phoneme",9,"RIPPER",3,2,3,3,3,4
"phoneme",9,"SBRL",1.73,1,1,2,2,3
"phoneme",10,"CBA",2.56,1,2,3,3,4
"phoneme",10,"RIPPER",2.81,2,2.75,3,3,4
"phoneme",10,"SBRL",1.64,1,1,2,2,2
