"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"titatnic",1,"CBA",1.83,1,1.25,2,2,3
"titatnic",1,"RIPPER",2,2,2,2,2,2
"titatnic",2,"CBA",2,1,2,2,2,3
"titatnic",2,"RIPPER",2,2,2,2,2,2
"titatnic",3,"CBA",2.33,2,2,2,2.5,3
"titatnic",3,"RIPPER",2,2,2,2,2,2
"titatnic",4,"CBA",2.33,2,2,2,2.5,3
"titatnic",4,"RIPPER",1,1,1,1,1,1
"titatnic",5,"CBA",2.33,2,2,2,2.5,3
"titatnic",5,"RIPPER",2,2,2,2,2,2
"titatnic",6,"CBA",2.33,2,2,2,2.5,3
"titatnic",6,"RIPPER",1.5,1,1.25,1.5,1.75,2
"titatnic",7,"CBA",2.33,2,2,2,2.5,3
"titatnic",7,"RIPPER",2,2,2,2,2,2
"titatnic",8,"CBA",2,1,2,2,2,3
"titatnic",8,"RIPPER",2,2,2,2,2,2
"titatnic",9,"CBA",2,1,2,2,2,3
"titatnic",9,"RIPPER",2,2,2,2,2,2
"titatnic",10,"CBA",2.33,2,2,2,2.5,3
"titatnic",10,"RIPPER",2,2,2,2,2,2
