"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"vertebral",1,"CBA",1.89,1,2,2,2,3
"vertebral",1,"RIPPER",2,1,1.75,2,2.25,3
"vertebral",2,"CBA",1.79,1,1,2,2,3
"vertebral",2,"RIPPER",1.6,1,1,2,2,2
"vertebral",3,"CBA",1.84,1,2,2,2,3
"vertebral",3,"RIPPER",2.17,1,2,2,2.75,3
"vertebral",4,"CBA",1.79,1,1.5,2,2,3
"vertebral",4,"RIPPER",1.5,1,1.25,1.5,1.75,2
"vertebral",5,"CBA",1.72,1,1.25,2,2,2
"vertebral",5,"RIPPER",1.67,1,1.5,2,2,2
"vertebral",6,"CBA",1.5,1,1.25,1.5,1.75,2
"vertebral",6,"RIPPER",1.5,1,1.25,1.5,1.75,2
"vertebral",7,"CBA",1.75,1,1,2,2,3
"vertebral",7,"RIPPER",1.8,1,1,2,2,3
"vertebral",8,"CBA",1.77,1,2,2,2,2
"vertebral",8,"RIPPER",1.8,1,1,2,2,3
"vertebral",9,"CBA",1.67,1,1.5,2,2,2
"vertebral",9,"RIPPER",1.75,1,1.75,2,2,2
"vertebral",10,"CBA",1.89,1,2,2,2,2
"vertebral",10,"RIPPER",1.67,1,1.5,2,2,2
