"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"vote",1,"CBA",3.09,2,3,3,3.75,4
"vote",1,"RIPPER",2,2,2,2,2,2
"vote",1,"SBRL",1,1,1,1,1,1
"vote",2,"CBA",2.95,2,3,3,3,4
"vote",2,"RIPPER",1,1,1,1,1,1
"vote",2,"SBRL",1,1,1,1,1,1
"vote",3,"CBA",2.95,2,3,3,3,4
"vote",3,"RIPPER",1,1,1,1,1,1
"vote",3,"SBRL",1.5,1,1.25,1.5,1.75,2
"vote",4,"CBA",2.82,2,2,3,3,4
"vote",4,"RIPPER",2,2,2,2,2,2
"vote",4,"SBRL",1.5,1,1.25,1.5,1.75,2
"vote",5,"CBA",3.08,2,3,3,3,4
"vote",5,"RIPPER",1,1,1,1,1,1
"vote",5,"SBRL",1.5,1,1.25,1.5,1.75,2
"vote",6,"CBA",3.32,2,3,3,4,4
"vote",6,"RIPPER",1,1,1,1,1,1
"vote",6,"SBRL",1.5,1,1.25,1.5,1.75,2
"vote",7,"CBA",3.4,2,3,3,4,4
"vote",7,"RIPPER",1,1,1,1,1,1
"vote",7,"SBRL",1.5,1,1.25,1.5,1.75,2
"vote",8,"CBA",3.26,2,3,3,4,4
"vote",8,"RIPPER",2.33,2,2,2,2.5,3
"vote",8,"SBRL",1.5,1,1.25,1.5,1.75,2
"vote",9,"CBA",3.2,2,3,3,4,4
"vote",9,"RIPPER",2,2,2,2,2,2
"vote",9,"SBRL",2.5,2,2.25,2.5,2.75,3
"vote",10,"CBA",2.69,2,2,2.5,3,4
"vote",10,"RIPPER",1,1,1,1,1,1
"vote",10,"SBRL",1,1,1,1,1,1
