"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"wisconsin",1,"CBA",2.47,1,2,2,3,4
"wisconsin",1,"RIPPER",1.2,1,1,1,1,2
"wisconsin",1,"SBRL",1.75,1,1.75,2,2,2
"wisconsin",2,"CBA",2.71,1,2,3,3,4
"wisconsin",2,"RIPPER",1.43,1,1,1,2,2
"wisconsin",2,"SBRL",1.5,1,1,1.5,2,2
"wisconsin",3,"CBA",2.71,2,2,3,3,4
"wisconsin",3,"RIPPER",1.43,1,1,1,1.5,3
"wisconsin",3,"SBRL",1.33,1,1,1,1.5,2
"wisconsin",4,"CBA",2.47,1,2,2,3,4
"wisconsin",4,"RIPPER",1,1,1,1,1,1
"wisconsin",4,"SBRL",1.33,1,1,1,1.5,2
"wisconsin",5,"CBA",2.32,1,2,2,3,4
"wisconsin",5,"RIPPER",1.62,1,1,2,2,2
"wisconsin",5,"SBRL",1.33,1,1,1,1.5,2
"wisconsin",6,"CBA",2.58,1,2,3,3,4
"wisconsin",6,"RIPPER",1.67,1,1,1,2,3
"wisconsin",6,"SBRL",1.67,1,1.5,2,2,2
"wisconsin",7,"CBA",2.38,1,2,2,3,4
"wisconsin",7,"RIPPER",1.67,1,1,1.5,2,3
"wisconsin",7,"SBRL",1.25,1,1,1,1.25,2
"wisconsin",8,"CBA",2.53,1,2,3,3,4
"wisconsin",8,"RIPPER",1.2,1,1,1,1,2
"wisconsin",8,"SBRL",1.67,1,1.5,2,2,2
"wisconsin",9,"CBA",2.67,2,2,3,3,4
"wisconsin",9,"RIPPER",1.25,1,1,1,1.25,2
"wisconsin",9,"SBRL",1.33,1,1,1,1.5,2
"wisconsin",10,"CBA",2.33,1,2,2,3,4
"wisconsin",10,"RIPPER",1.43,1,1,1,1.5,3
"wisconsin",10,"SBRL",1.67,1,1.5,2,2,2
